 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, rowcost
C major (0), 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/1, 1/0, 1/0, 0/0, 1/1, 1/0, 1/0, 1/0, 2/1, 0/0, 2/1, 0/0, 1/0, 0/0, 3/2, 2/2, 2/0, 1/0, 1/0, 1/0, 1/0, 0/0, 3/2, 2/2, 2/0, 1/0, 1/0, 0/0, 1/0, 45/12
A minor (0), 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 1/1, 1/2, 2/1, 0/0, 1/1, 1/2, 1/1, 0/0, 1/1, 1/2, 1/1, 0/0, 2/1, 1/2, 1/1, 1/1, 2/2, 0/0, 2/1, 0/0, 1/2, 0/0, 4/2, 3/1, 2/1, 1/1, 1/1, 1/0, 1/0, 0/0, 4/2, 3/1, 2/1, 1/1, 1/0, 0/0, 1/0, 51/36
F major (1b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 2/2, 2/2, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 2/2, 2/2, 2/1, 0/0, 0/0, 0/0, 0/0, 26/12
G major (1#), 0/0, 1/0, 0/0, 1/2, 1/0, 2/1, 1/0, 2/0, 0/0, 0/0, 0/0, 1/0, 1/0, 2/1, 0/0, 1/1, 0/0, 0/0, 1/0, 2/0, 2/0, 2/0, 1/0, 2/0, 2/0, 2/0, 1/0, 2/1, 2/0, 2/0, 1/0, 2/1, 2/0, 2/0, 1/1, 3/2, 0/0, 2/1, 0/0, 1/2, 1/0, 4/2, 1/1, 1/1, 1/0, 1/0, 1/0, 2/1, 1/0, 4/2, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 70/20
D minor (1b), 0/0, 0/0, 0/0, 0/1, 0/0, 0/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/1, 1/0, 1/0, 0/0, 1/1, 1/0, 1/0, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 2/2, 2/0, 1/0, 0/0, 0/0, 0/0, 0/1, 0/0, 2/3, 2/0, 1/0, 0/0, 0/0, 0/0, 0/0, 24/12
E minor (1#), 0/0, 1/0, 0/0, 1/2, 1/0, 3/1, 1/1, 2/1, 0/0, 0/0, 0/0, 1/1, 1/0, 3/1, 0/0, 2/1, 0/0, 0/0, 1/2, 2/1, 2/2, 3/1, 1/0, 2/1, 2/2, 2/1, 1/0, 2/1, 2/2, 2/1, 1/0, 3/1, 2/2, 2/1, 1/1, 3/2, 0/0, 1/0, 0/0, 4/2, 1/4, 4/3, 2/1, 1/1, 1/0, 2/1, 1/1, 3/2, 1/0, 4/4, 2/1, 1/1, 1/1, 2/1, 0/0, 1/1, 82/53
Bb major (2b), 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 4/2, 1/2, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 4/2, 1/2, 2/1, 0/0, 0/0, 0/0, 0/0, 24/13
D major (2#), 0/0, 1/0, 1/0, 2/1, 1/0, 3/1, 1/0, 2/0, 1/0, 1/0, 0/0, 1/0, 1/0, 3/1, 0/0, 1/0, 0/0, 0/0, 1/0, 2/1, 2/2, 2/1, 1/0, 2/1, 2/2, 2/1, 1/0, 2/1, 2/2, 2/1, 1/0, 3/2, 2/2, 3/1, 2/1, 3/1, 0/0, 2/1, 1/0, 1/0, 1/0, 5/3, 1/1, 1/1, 1/0, 2/1, 2/0, 3/0, 1/0, 5/3, 1/1, 1/1, 1/0, 1/0, 1/0, 2/0, 87/34
G minor (2b), 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/1, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 3/2, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/2, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 20/16
B minor (2#), 0/0, 1/0, 1/0, 4/2, 1/1, 4/2, 1/0, 4/3, 1/0, 1/0, 0/0, 3/2, 1/1, 4/2, 0/0, 2/1, 0/0, 0/0, 2/2, 2/4, 2/5, 3/2, 2/1, 2/4, 2/5, 2/2, 2/1, 2/5, 2/5, 2/3, 2/1, 4/6, 2/5, 3/2, 2/1, 3/4, 0/0, 1/0, 1/0, 4/2, 1/4, 6/5, 2/1, 1/1, 1/0, 3/1, 2/1, 4/2, 1/2, 6/3, 2/1, 1/1, 1/0, 2/1, 1/0, 2/1, 111/98
Eb major (3b), 1/0, 0/0, 0/0, 2/1, 0/0, 1/0, 0/0, 2/1, 1/1, 1/0, 1/0, 3/1, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 2/2, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 1/2, 1/0, 1/0, 1/1, 0/0, 1/0, 1/0, 4/3, 1/2, 3/1, 0/0, 1/0, 0/0, 1/0, 1/0, 4/3, 1/2, 3/1, 0/0, 1/0, 1/0, 0/0, 48/27
A major (3#), 0/0, 1/0, 1/0, 3/1, 1/0, 3/1, 1/0, 2/0, 1/0, 1/0, 0/0, 2/1, 1/0, 3/1, 1/0, 2/1, 1/0, 1/0, 2/0, 2/1, 2/2, 4/1, 1/0, 2/1, 2/2, 3/1, 1/0, 3/1, 2/2, 3/1, 1/0, 5/1, 2/2, 4/1, 2/1, 4/1, 1/0, 3/1, 2/0, 2/0, 2/0, 6/3, 2/1, 2/1, 2/0, 3/1, 3/2, 3/1, 1/0, 6/2, 2/1, 2/1, 2/1, 2/1, 1/0, 2/0, 119/39
C minor (3b), 1/0, 0/0, 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 1/0, 1/0, 1/0, 2/0, 0/0, 1/1, 0/0, 1/1, 1/0, 1/0, 2/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 1/2, 1/0, 1/1, 0/0, 1/2, 1/0, 4/2, 1/2, 2/0, 0/0, 1/0, 0/0, 1/1, 1/0, 4/2, 1/0, 2/0, 0/0, 1/0, 1/0, 0/0, 43/16
F# minor (3#), 0/0, 1/0, 1/1, 5/3, 1/0, 4/2, 1/0, 4/1, 1/0, 1/0, 0/0, 4/2, 1/0, 4/2, 1/0, 3/1, 1/0, 1/0, 3/2, 2/1, 2/0, 4/3, 2/2, 2/1, 2/0, 3/4, 2/2, 3/3, 2/0, 3/4, 2/2, 5/3, 2/0, 4/4, 2/1, 4/3, 1/2, 2/0, 2/4, 5/2, 2/4, 6/4, 2/1, 2/1, 2/0, 4/2, 3/2, 4/3, 1/2, 6/4, 2/1, 2/1, 2/0, 3/1, 1/1, 2/2, 137/84
