 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
G mixolydian (1#), 1, 4, 3, 4, 3, 3, 4, 2, 0, 3, 3, 2, 1, 2, 2, 1, 0, 4, 1, 2, 2, 4, 0, 2, 3, 4, 3, 4, 3, 3, 4, 2, 0, 79
F aeolian (1b), 0, 2, 2, 3, 3, 2, 5, 1, 0, 3, 3, 1, 1, 1, 3, 2, 0, 3, 2, 2, 3, 1, 0, 2, 2, 2, 2, 3, 3, 2, 5, 1, 0, 65
G aeolian (1#), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 2, 3, 1, 3, 2, 0, 1, 5, 0, 1, 3, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 78
F locrian (1b), 0, 3, 2, 3, 1, 1, 3, 2, 1, 2, 4, 1, 1, 0, 4, 4, 0, 1, 2, 3, 2, 1, 1, 2, 2, 3, 2, 3, 1, 1, 3, 2, 1, 62
G locrian (1#), 0, 3, 2, 4, 3, 2, 5, 2, 0, 2, 2, 1, 1, 1, 3, 2, 0, 3, 2, 1, 2, 3, 0, 2, 2, 3, 2, 4, 3, 2, 5, 2, 0, 69
Bb major (2b), 0, 2, 3, 4, 2, 2, 3, 2, 1, 3, 3, 2, 2, 1, 3, 5, 0, 2, 2, 2, 2, 1, 0, 3, 3, 2, 3, 4, 2, 2, 3, 2, 1, 72
D major (2#), 1, 4, 4, 4, 3, 4, 7, 2, 1, 4, 1, 3, 3, 4, 3, 1, 1, 6, 0, 2, 2, 3, 1, 2, 2, 4, 4, 4, 3, 4, 7, 2, 1, 97
G minor (2b), 0, 2, 4, 4, 2, 2, 5, 2, 1, 1, 1, 3, 2, 2, 3, 2, 1, 3, 1, 0, 2, 2, 1, 4, 3, 2, 4, 4, 2, 2, 5, 2, 1, 75
B minor (2#), 0, 4, 2, 5, 2, 2, 6, 3, 1, 3, 1, 4, 3, 3, 4, 2, 1, 4, 0, 3, 3, 1, 2, 4, 1, 4, 2, 5, 2, 2, 6, 3, 1, 89
G minor mel (2b), 0, 2, 3, 3, 3, 2, 6, 1, 0, 1, 1, 2, 1, 2, 3, 1, 1, 4, 1, 0, 3, 2, 1, 3, 2, 2, 3, 3, 3, 2, 6, 1, 0, 68
B minor mel (2#), 0, 3, 1, 4, 1, 3, 5, 3, 1, 4, 1, 5, 2, 4, 3, 3, 2, 3, 0, 4, 4, 1, 2, 3, 0, 3, 1, 4, 1, 3, 5, 3, 1, 83
Bb major blues (2b), 0, 3, 3, 4, 4, 2, 4, 2, 1, 3, 4, 2, 2, 1, 5, 7, 0, 4, 3, 4, 3, 2, 2, 3, 3, 3, 3, 4, 4, 2, 4, 2, 1, 94
D major blues (2#), 1, 5, 4, 5, 3, 5, 8, 3, 1, 6, 3, 4, 3, 5, 3, 3, 2, 6, 1, 4, 4, 4, 1, 3, 3, 5, 4, 5, 3, 5, 8, 3, 1, 124
G minor blues (2b), 0, 4, 3, 5, 4, 2, 5, 3, 1, 2, 4, 2, 2, 1, 5, 5, 0, 4, 3, 3, 3, 4, 2, 3, 3, 4, 3, 5, 4, 2, 5, 3, 1, 100
B minor blues (2#), 1, 6, 4, 6, 2, 4, 8, 4, 1, 6, 4, 6, 3, 5, 3, 3, 2, 6, 1, 4, 5, 3, 1, 5, 3, 6, 4, 6, 2, 4, 8, 4, 1, 131
