 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 2, 3, 3, 1, 3, 3, 3, 0, 0, 3, 1, 2, 24
A minor (0), 1, 3, 4, 2, 3, 3, 4, 0, 0, 4, 2, 1, 27
F major (1b), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
G major (1#), 3, 3, 3, 2, 3, 3, 3, 1, 1, 3, 2, 1, 28
D minor (1b), 2, 1, 1, 1, 1, 3, 1, 0, 0, 1, 1, 0, 12
E minor (1#), 3, 2, 3, 3, 2, 2, 3, 2, 1, 3, 3, 2, 29
Bb major (2b), 1, 2, 4, 1, 2, 3, 4, 0, 0, 4, 2, 2, 25
D major (2#), 3, 2, 2, 1, 2, 4, 2, 1, 1, 2, 2, 0, 22
G minor (2b), 2, 2, 4, 2, 2, 2, 4, 1, 1, 4, 3, 1, 28
B minor (2#), 2, 3, 5, 1, 3, 2, 5, 1, 1, 5, 4, 0, 32
Eb major (3b), 2, 1, 4, 1, 1, 3, 4, 0, 0, 4, 2, 2, 24
A major (3#), 2, 3, 4, 1, 3, 4, 4, 1, 1, 4, 3, 0, 30
C minor (3b), 1, 2, 4, 1, 2, 3, 4, 0, 0, 4, 2, 2, 25
F# minor (3#), 3, 3, 5, 1, 3, 2, 5, 0, 0, 5, 4, 0, 31
Ab major (4b), 3, 3, 3, 2, 3, 2, 3, 1, 0, 3, 3, 1, 27
E major (4#), 3, 3, 3, 2, 3, 3, 3, 2, 1, 3, 4, 1, 31
F minor (4b), 3, 1, 2, 2, 1, 1, 2, 1, 0, 2, 2, 1, 18
C# minor (4#), 3, 3, 6, 1, 3, 3, 6, 2, 1, 6, 7, 1, 42
Db major (5b), 5, 4, 5, 2, 4, 2, 5, 2, 0, 5, 6, 2, 42
B major (5#), 3, 4, 5, 2, 4, 2, 5, 2, 1, 5, 6, 1, 40
Bb minor (5b), 2, 3, 4, 2, 3, 2, 4, 1, 0, 4, 4, 1, 30
G# minor (5#), 3, 2, 5, 4, 2, 1, 5, 3, 1, 5, 5, 2, 38
Gb major (6b), 5, 6, 6, 3, 6, 1, 6, 2, 0, 6, 7, 2, 50
F# major (6#), 4, 4, 4, 2, 4, 1, 4, 1, 0, 4, 5, 1, 34
Eb minor (6b), 2, 2, 5, 2, 2, 2, 5, 0, 0, 5, 3, 2, 30
D# minor (6#), 2, 4, 7, 2, 4, 2, 7, 0, 0, 7, 4, 3, 42
Cb major (7b), 4, 6, 7, 4, 6, 3, 7, 3, 1, 7, 8, 2, 58
C# major (7#), 4, 4, 5, 1, 4, 2, 5, 1, 0, 5, 6, 1, 38
Ab minor (7b), 2, 3, 4, 3, 3, 1, 4, 2, 1, 4, 4, 1, 32
A# minor (7#), 4, 5, 7, 3, 5, 2, 7, 2, 0, 7, 7, 2, 51
