 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, rowcost
C major (0), 0/0, 0/0, 2/1, 0/0, 1/1, 1/0, 2/1, 1/1, 0/0, 1/1, 0/0, 1/0, 1/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 1/1, 1/0, 2/1, 1/1, 0/0, 0/0, 1/0, 0/0, 18/11
A minor (0), 0/0, 0/0, 2/0, 0/0, 1/0, 1/0, 2/3, 2/1, 0/0, 2/1, 0/0, 1/1, 1/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/0, 0/0, 1/0, 1/0, 2/3, 2/1, 0/0, 0/0, 1/0, 0/0, 21/12
F major (1b), 0/0, 1/0, 3/2, 0/0, 1/1, 1/1, 1/1, 1/1, 0/0, 1/1, 0/0, 2/1, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 3/2, 0/0, 1/1, 1/1, 1/1, 1/1, 1/0, 1/0, 1/1, 0/0, 27/15
G major (1#), 0/0, 0/0, 1/1, 0/0, 1/0, 0/0, 1/1, 1/1, 0/0, 1/1, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/0, 0/0, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 10/7
D minor (1b), 0/0, 1/0, 3/1, 0/0, 1/0, 1/0, 2/1, 1/2, 0/0, 1/2, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/2, 1/1, 0/0, 1/0, 3/1, 0/0, 1/0, 1/0, 2/1, 1/2, 1/0, 1/0, 1/0, 0/0, 28/13
E minor (1#), 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/1, 2/1, 0/0, 2/1, 0/0, 0/0, 4/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/1, 2/1, 0/0, 0/0, 0/0, 0/0, 16/7
Bb major (2b), 1/0, 1/4, 2/3, 0/0, 2/1, 2/1, 2/1, 2/1, 1/0, 2/1, 0/0, 3/1, 0/0, 1/1, 1/1, 1/1, 3/4, 1/4, 1/0, 1/4, 2/2, 0/0, 2/1, 2/1, 2/1, 2/1, 1/1, 1/6, 1/1, 0/0, 40/42
D major (2#), 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 1/1, 2/1, 0/0, 2/1, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 1/1, 2/1, 0/0, 0/0, 1/0, 0/0, 14/9
G minor (2b), 1/0, 1/0, 2/1, 0/0, 2/0, 2/0, 3/1, 2/1, 1/0, 2/1, 0/0, 2/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/1, 0/0, 2/0, 2/0, 3/1, 2/1, 1/0, 1/0, 1/0, 0/0, 39/7
B minor (2#), 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 2/1, 3/2, 0/0, 3/2, 0/0, 0/0, 4/2, 0/0, 0/0, 0/0, 1/2, 1/1, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 2/1, 3/2, 0/0, 0/0, 1/0, 0/0, 22/14
Eb major (3b), 1/1, 2/4, 3/2, 1/0, 2/1, 2/2, 4/3, 1/2, 1/1, 1/2, 0/0, 3/2, 1/0, 2/1, 1/1, 2/2, 3/4, 1/4, 1/1, 2/4, 3/2, 1/0, 2/1, 2/2, 4/3, 1/2, 1/1, 2/6, 1/1, 0/0, 51/55
A major (3#), 0/0, 0/0, 1/0, 1/0, 0/0, 1/5, 1/1, 3/1, 0/0, 3/1, 0/0, 1/1, 2/2, 1/0, 0/0, 1/0, 1/2, 1/1, 0/0, 0/0, 1/1, 1/0, 0/0, 1/0, 1/1, 3/2, 0/0, 0/0, 1/0, 1/0, 26/18
C minor (3b), 1/0, 2/0, 3/1, 1/0, 2/0, 2/1, 3/3, 2/3, 1/0, 2/1, 0/0, 2/1, 1/2, 2/0, 1/0, 2/0, 1/0, 1/0, 1/0, 2/0, 3/1, 1/0, 2/0, 2/1, 3/3, 2/3, 1/0, 2/0, 1/0, 0/0, 49/20
F# minor (3#), 0/0, 0/0, 1/1, 1/2, 0/0, 1/0, 2/1, 3/2, 0/0, 3/2, 0/0, 1/0, 5/2, 1/0, 0/0, 1/1, 4/2, 2/1, 0/0, 0/0, 1/1, 1/2, 0/0, 1/0, 2/1, 3/2, 0/0, 0/0, 1/0, 1/1, 35/21
Ab major (4b), 1/1, 3/8, 4/3, 2/8, 1/1, 2/2, 5/5, 2/4, 2/1, 2/2, 1/0, 3/2, 5/4, 3/5, 1/1, 3/3, 4/4, 2/4, 2/1, 3/8, 4/5, 2/8, 1/1, 2/2, 5/5, 2/4, 2/1, 3/8, 1/1, 0/0, 73/102
E major (4#), 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 2/3, 4/1, 1/0, 4/1, 1/0, 1/0, 5/2, 1/0, 0/0, 1/0, 2/2, 2/1, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 2/3, 4/1, 1/0, 0/0, 1/0, 1/0, 38/14
F minor (4b), 1/0, 2/0, 3/2, 1/0, 1/0, 2/1, 3/1, 3/1, 2/0, 3/1, 1/0, 3/1, 1/0, 2/1, 1/0, 2/0, 2/0, 2/0, 2/0, 2/0, 3/2, 1/0, 1/0, 2/1, 3/1, 3/1, 2/0, 2/0, 1/1, 0/0, 57/14
C# minor (4#), 0/0, 0/0, 0/1, 2/4, 0/0, 3/10, 3/3, 4/2, 1/1, 4/4, 1/1, 2/2, 6/10, 2/6, 0/0, 2/2, 5/4, 3/2, 1/0, 0/0, 0/1, 2/4, 0/0, 3/10, 3/3, 4/2, 1/0, 0/0, 1/0, 2/0, 55/72
Db major (5b), 1/1, 3/8, 3/3, 3/8, 1/1, 3/2, 5/6, 6/5, 3/3, 6/5, 2/2, 2/2, 6/8, 4/5, 1/0, 4/3, 5/8, 3/6, 3/3, 3/8, 3/3, 3/8, 1/1, 3/2, 5/6, 6/5, 3/2, 3/8, 0/0, 1/0, 95/122
B major (5#), 0/0, 1/0, 1/0, 2/0, 0/0, 1/0, 3/1, 4/2, 1/0, 4/2, 1/0, 1/0, 4/2, 2/0, 0/0, 2/1, 2/2, 2/1, 1/0, 1/0, 1/0, 2/0, 0/0, 1/0, 3/1, 4/2, 1/0, 1/0, 1/0, 1/0, 48/14
Bb minor (5b), 1/0, 2/4, 2/1, 2/0, 1/0, 3/1, 2/3, 3/3, 2/0, 3/1, 1/0, 2/2, 2/0, 3/1, 1/0, 3/1, 4/4, 2/4, 2/0, 2/4, 2/1, 2/0, 1/0, 3/1, 2/3, 3/3, 2/1, 2/6, 0/1, 1/0, 61/45
