 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, rowcost
C major (0), 0, 0, 2, 0, 1, 1, 2, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 2, 1, 0, 0, 1, 0, 18
A minor (0), 0, 0, 2, 1, 1, 2, 2, 2, 0, 2, 0, 2, 2, 1, 0, 1, 0, 0, 0, 0, 2, 1, 1, 2, 2, 2, 0, 0, 1, 1, 30
F major (1b), 0, 1, 3, 0, 1, 1, 1, 1, 0, 1, 0, 2, 0, 1, 1, 1, 1, 1, 0, 1, 3, 0, 1, 1, 1, 1, 1, 1, 1, 0, 27
G major (1#), 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 10
D minor (1b), 0, 1, 3, 0, 0, 1, 2, 2, 0, 2, 0, 1, 0, 1, 1, 1, 2, 2, 0, 1, 3, 0, 0, 1, 2, 2, 1, 1, 2, 0, 32
E minor (1#), 0, 0, 0, 0, 1, 0, 2, 3, 1, 3, 1, 0, 4, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2, 3, 1, 0, 0, 0, 25
Bb major (2b), 1, 1, 2, 0, 2, 2, 2, 2, 1, 2, 0, 3, 0, 1, 1, 1, 3, 1, 1, 1, 2, 0, 2, 2, 2, 2, 1, 1, 1, 0, 40
D major (2#), 0, 0, 1, 0, 0, 0, 1, 2, 0, 2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 14
G minor (2b), 1, 1, 1, 0, 2, 1, 2, 2, 1, 2, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 2, 2, 1, 1, 0, 0, 31
B minor (2#), 0, 1, 2, 1, 0, 0, 2, 3, 0, 3, 0, 0, 3, 1, 0, 1, 1, 1, 0, 1, 2, 1, 0, 0, 2, 3, 0, 1, 1, 0, 30
Eb major (3b), 1, 2, 3, 1, 2, 2, 4, 1, 1, 1, 0, 3, 1, 2, 1, 2, 3, 1, 1, 2, 3, 1, 2, 2, 4, 1, 1, 2, 1, 0, 51
A major (3#), 0, 0, 1, 1, 0, 1, 1, 3, 0, 3, 0, 1, 2, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 3, 0, 0, 1, 1, 26
C minor (3b), 1, 1, 2, 1, 2, 2, 3, 2, 1, 2, 0, 2, 2, 1, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 3, 2, 0, 1, 1, 0, 39
F# minor (3#), 1, 0, 1, 1, 1, 2, 3, 4, 1, 4, 0, 2, 5, 1, 0, 1, 4, 2, 1, 0, 1, 1, 1, 2, 3, 4, 0, 0, 1, 1, 48
Ab major (4b), 1, 3, 4, 2, 1, 2, 5, 2, 2, 2, 1, 3, 5, 3, 1, 3, 4, 2, 2, 3, 4, 2, 1, 2, 5, 2, 2, 3, 1, 0, 73
E major (4#), 0, 0, 0, 1, 0, 1, 2, 4, 1, 4, 1, 1, 5, 1, 0, 1, 2, 2, 1, 0, 0, 1, 0, 1, 2, 4, 1, 0, 1, 1, 38
F minor (4b), 0, 2, 4, 1, 0, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 4, 1, 0, 1, 2, 2, 2, 2, 1, 0, 46
C# minor (4#), 0, 1, 1, 2, 0, 3, 3, 3, 1, 3, 1, 2, 6, 3, 1, 3, 4, 2, 1, 1, 1, 2, 0, 3, 3, 3, 2, 1, 0, 2, 58
Db major (5b), 1, 3, 3, 3, 1, 3, 5, 6, 3, 6, 2, 2, 6, 4, 1, 4, 5, 3, 3, 3, 3, 3, 1, 3, 5, 6, 3, 3, 0, 1, 95
B major (5#), 0, 1, 1, 2, 0, 1, 3, 4, 1, 4, 1, 1, 4, 2, 0, 2, 2, 2, 1, 1, 1, 2, 0, 1, 3, 4, 1, 1, 1, 1, 48
Bb minor (5b), 1, 1, 1, 1, 1, 3, 2, 3, 2, 3, 1, 2, 1, 2, 1, 2, 4, 2, 2, 1, 1, 1, 1, 3, 2, 3, 2, 1, 0, 1, 51
