 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, rowcost
C major (0), 0, 1, 0, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 2, 3, 1, 2, 4, 2, 2, 3, 1, 32
A minor (0), 0, 1, 0, 3, 1, 1, 2, 3, 2, 0, 2, 1, 1, 1, 2, 2, 1, 5, 4, 4, 4, 1, 41
A minor mel (0), 1, 1, 1, 3, 1, 1, 2, 3, 2, 0, 3, 1, 1, 0, 1, 3, 1, 6, 4, 4, 5, 1, 45
C major blues (0), 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 3, 4, 2, 2, 5, 3, 2, 4, 1, 41
A minor blues (0), 1, 1, 1, 3, 1, 1, 2, 3, 2, 0, 3, 1, 1, 3, 4, 2, 2, 5, 4, 3, 4, 1, 48
C dorian (0), 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 1, 2, 2, 2, 5, 2, 2, 4, 1, 36
C phrygian (0), 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 3, 1, 1, 2, 0, 17
C lydian (0), 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 1, 2, 2, 2, 5, 2, 2, 4, 1, 36
C mixolydian (0), 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 3, 1, 1, 2, 0, 17
C aeolian (0), 0, 1, 0, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 2, 3, 1, 2, 4, 2, 2, 3, 1, 32
C locrian (0), 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 3, 3, 0, 1, 2, 2, 0, 1, 0, 16
F major (1b), 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 2, 1, 1, 2, 0, 16
G major (1#), 1, 1, 1, 3, 1, 1, 2, 3, 2, 0, 3, 1, 1, 1, 2, 2, 2, 5, 3, 2, 4, 1, 42
D minor (1b), 0, 0, 0, 2, 0, 0, 1, 2, 0, 1, 1, 0, 0, 2, 2, 0, 2, 3, 1, 2, 3, 0, 22
E minor (1#), 1, 1, 1, 3, 1, 2, 1, 3, 2, 0, 3, 1, 1, 1, 2, 3, 6, 4, 4, 3, 3, 1, 47
D minor mel (1b), 0, 1, 0, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 3, 1, 3, 4, 2, 3, 4, 1, 37
E minor mel (1#), 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 2, 3, 7, 4, 3, 4, 4, 1, 46
F major blues (1b), 0, 1, 0, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 3, 4, 1, 3, 3, 3, 3, 3, 1, 38
G major blues (1#), 1, 1, 1, 3, 1, 1, 2, 3, 2, 1, 3, 1, 1, 2, 3, 2, 3, 5, 3, 3, 5, 1, 48
D minor blues (1b), 0, 1, 0, 3, 1, 2, 2, 3, 2, 1, 2, 1, 1, 3, 4, 1, 3, 4, 4, 3, 3, 1, 45
E minor blues (1#), 1, 1, 1, 3, 1, 2, 2, 3, 2, 1, 3, 1, 1, 2, 3, 2, 6, 5, 3, 5, 5, 1, 54
F dorian (1b), 0, 1, 0, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 2, 3, 1, 2, 3, 2, 2, 3, 1, 31
G dorian (1#), 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 2, 3, 5, 2, 3, 5, 1, 41
F phrygian (1b), 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 3, 3, 0, 1, 1, 2, 0, 1, 0, 15
G phrygian (1#), 0, 1, 0, 3, 1, 1, 2, 3, 2, 0, 2, 1, 1, 2, 3, 1, 2, 4, 3, 2, 3, 1, 38
F lydian (1b), 0, 1, 0, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 2, 3, 1, 2, 3, 2, 2, 3, 1, 31
G lydian (1#), 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 2, 3, 5, 2, 3, 5, 1, 41
F mixolydian (1b), 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 3, 3, 0, 1, 1, 2, 0, 1, 0, 15
G mixolydian (1#), 0, 1, 0, 3, 1, 1, 2, 3, 2, 0, 2, 1, 1, 2, 3, 1, 2, 4, 3, 2, 3, 1, 38
F aeolian (1b), 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 2, 1, 1, 2, 0, 16
G aeolian (1#), 1, 1, 1, 3, 1, 1, 2, 3, 2, 0, 3, 1, 1, 1, 2, 2, 2, 5, 3, 2, 4, 1, 42
F locrian (1b), 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 2, 2, 0, 2, 1, 2, 1, 0, 0, 16
G locrian (1#), 0, 0, 0, 3, 0, 0, 1, 3, 1, 0, 2, 0, 0, 2, 2, 0, 1, 3, 2, 1, 2, 0, 23
Bb major (2b), 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 3, 3, 0, 1, 1, 2, 0, 1, 0, 15
D major (2#), 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 2, 3, 5, 2, 3, 5, 1, 41
G minor (2b), 1, 0, 1, 3, 0, 0, 0, 3, 1, 0, 3, 0, 0, 2, 2, 1, 1, 3, 3, 0, 2, 0, 26
B minor (2#), 1, 0, 1, 2, 0, 1, 1, 2, 0, 2, 2, 0, 0, 1, 1, 1, 5, 2, 1, 4, 4, 0, 31
G minor mel (2b), 1, 0, 1, 3, 0, 0, 1, 3, 1, 0, 3, 0, 0, 1, 1, 1, 1, 4, 2, 1, 3, 0, 27
B minor mel (2#), 1, 0, 1, 2, 0, 1, 1, 2, 0, 2, 2, 0, 0, 0, 0, 2, 4, 3, 2, 5, 5, 0, 33
Bb major blues (2b), 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 3, 3, 1, 3, 2, 3, 3, 2, 0, 27
D major blues (2#), 1, 1, 1, 3, 1, 1, 2, 3, 2, 1, 3, 1, 1, 2, 3, 3, 3, 6, 4, 4, 6, 1, 53
G minor blues (2b), 0, 0, 0, 3, 0, 1, 1, 3, 1, 1, 2, 0, 0, 3, 3, 1, 3, 3, 4, 3, 2, 0, 34
B minor blues (2#), 1, 1, 1, 3, 1, 2, 2, 3, 2, 1, 3, 1, 1, 2, 3, 3, 6, 5, 4, 6, 6, 1, 58
Bb dorian (2b), 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 2, 1, 1, 2, 0, 16
D dorian (2#), 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 0, 1, 3, 2, 6, 3, 4, 6, 1, 43
Bb phrygian (2b), 0, 1, 0, 3, 1, 1, 2, 3, 2, 0, 2, 1, 1, 1, 2, 2, 1, 5, 4, 4, 4, 1, 41
D phrygian (2#), 1, 1, 1, 3, 1, 1, 2, 3, 2, 0, 3, 1, 1, 0, 1, 3, 1, 6, 4, 4, 5, 1, 45
Bb lydian (2b), 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 3, 4, 2, 2, 5, 3, 2, 4, 1, 41
D lydian (2#), 1, 1, 1, 3, 1, 1, 2, 3, 2, 0, 3, 1, 1, 3, 4, 2, 2, 5, 4, 3, 4, 1, 48
Bb mixolydian (2b), 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 1, 2, 2, 2, 5, 2, 2, 4, 1, 36
D mixolydian (2#), 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 3, 1, 1, 2, 0, 17
Bb aeolian (2b), 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 1, 2, 2, 2, 5, 2, 2, 4, 1, 36
D aeolian (2#), 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 3, 1, 1, 2, 0, 17
Bb locrian (2b), 0, 1, 0, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 2, 3, 1, 2, 4, 2, 2, 3, 1, 32
D locrian (2#), 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 3, 3, 0, 1, 2, 2, 0, 1, 0, 16
Eb major (3b), 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 2, 1, 1, 2, 0, 16
A major (3#), 1, 1, 1, 3, 1, 1, 2, 3, 2, 0, 3, 1, 1, 1, 2, 2, 2, 5, 3, 2, 4, 1, 42
C minor (3b), 0, 0, 0, 2, 0, 0, 1, 2, 0, 1, 1, 0, 0, 2, 2, 0, 2, 3, 1, 2, 3, 0, 22
F# minor (3#), 1, 1, 1, 3, 1, 2, 1, 3, 2, 0, 3, 1, 1, 1, 2, 3, 6, 4, 4, 3, 3, 1, 47
C minor mel (3b), 0, 1, 0, 1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 3, 4, 1, 2, 3, 3, 1, 2, 1, 31
F# minor mel (3#), 0, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 6, 2, 5, 5, 4, 1, 41
Eb major blues (3b), 0, 1, 0, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 2, 3, 1, 2, 4, 2, 2, 3, 1, 32
A major blues (3#), 0, 1, 0, 3, 1, 1, 2, 3, 2, 0, 2, 1, 1, 1, 2, 2, 1, 5, 4, 4, 4, 1, 41
C minor blues (3b), 1, 1, 1, 3, 1, 1, 2, 3, 2, 0, 3, 1, 1, 0, 1, 3, 1, 6, 4, 4, 5, 1, 45
F# minor blues (3#), 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 3, 4, 2, 2, 5, 3, 2, 4, 1, 41
Eb dorian (3b), 1, 1, 1, 3, 1, 1, 2, 3, 2, 0, 3, 1, 1, 3, 4, 2, 2, 5, 4, 3, 4, 1, 48
A dorian (3#), 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 1, 2, 2, 2, 5, 2, 2, 4, 1, 36
Eb phrygian (3b), 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 3, 1, 1, 2, 0, 17
A phrygian (3#), 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 1, 2, 2, 2, 5, 2, 2, 4, 1, 36
Eb lydian (3b), 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 3, 1, 1, 2, 0, 17
A lydian (3#), 0, 1, 0, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 2, 3, 1, 2, 4, 2, 2, 3, 1, 32
Eb mixolydian (3b), 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 3, 3, 0, 1, 2, 2, 0, 1, 0, 16
A mixolydian (3#), 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 2, 1, 1, 2, 0, 16
Eb aeolian (3b), 1, 1, 1, 3, 1, 1, 2, 3, 2, 0, 3, 1, 1, 1, 2, 2, 2, 5, 3, 2, 4, 1, 42
A aeolian (3#), 0, 0, 0, 2, 0, 0, 1, 2, 0, 1, 1, 0, 0, 2, 2, 0, 2, 3, 1, 2, 3, 0, 22
Eb locrian (3b), 0, 1, 0, 3, 1, 1, 2, 3, 2, 0, 2, 1, 1, 1, 2, 2, 1, 5, 4, 4, 4, 1, 41
A locrian (3#), 1, 1, 1, 3, 1, 1, 2, 3, 2, 0, 3, 1, 1, 0, 1, 3, 1, 6, 4, 4, 5, 1, 45
Ab major (4b), 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 3, 4, 2, 2, 5, 3, 2, 4, 1, 41
E major (4#), 1, 1, 1, 3, 1, 1, 2, 3, 2, 0, 3, 1, 1, 3, 4, 2, 2, 5, 4, 3, 4, 1, 48
F minor (4b), 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 1, 2, 2, 2, 5, 2, 2, 4, 1, 36
C# minor (4#), 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 3, 1, 1, 2, 0, 17
