 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, rowcost
C major (0), 0, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 0, 2, 0, 1, 2, 0, 0, 1, 0, 0, 3, 3, 1, 1, 1, 1, 0, 2, 0, 2, 0, 1, 3, 1, 3, 2, 0,  , 2, 2, 1, 3, 2, 4, 3,  , 2, 4, 3, 0, 1, 1, 4, 1, 1, 0, 0, 2, 3, 4, 1, 0, 0, 86
A minor (0), 0, 2, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 1, 3, 0, 2, 3, 0, 1, 2, 1, 0, 4, 5, 2, 2, 2, 2, 1, 3, 0, 3, 1, 2, 3, 0, 4, 4, 0,  , 3, 1, 2, 4, 3, 5, 3,  , 4, 3, 6, 0, 3, 1, 6, 2, 1, 1, 1, 1, 2, 5, 1, 0, 0, 132
A minor mel (0), 0, 2, 3, 2, 3, 2, 4, 1, 2, 2, 3, 2, 3, 2, 4, 0, 3, 4, 0, 2, 3, 2, 0, 3, 6, 2, 3, 2, 3, 2, 4, 0, 2, 2, 2, 4, 0, 3, 5, 0,  , 2, 2, 2, 4, 2, 6, 4,  , 4, 2, 7, 0, 4, 2, 5, 3, 1, 1, 1, 1, 1, 6, 2, 0, 0, 154
C major blues (0), 2, 1, 2, 1, 2, 2, 3, 1, 1, 1, 2, 1, 2, 2, 3, 0, 2, 4, 0, 1, 2, 3, 1, 4, 5, 1, 2, 1, 2, 2, 3, 0, 2, 2, 1, 4, 1, 3, 3, 1,  , 3, 4, 1, 3, 2, 5, 4,  , 2, 4, 5, 0, 4, 2, 4, 3, 1, 0, 2, 3, 4, 5, 2, 1, 0, 140
A minor blues (0), 2, 1, 2, 1, 2, 2, 3, 1, 2, 1, 2, 1, 2, 2, 3, 0, 2, 4, 0, 1, 2, 3, 1, 4, 6, 1, 2, 1, 2, 2, 3, 0, 2, 2, 1, 4, 1, 3, 4, 1,  , 3, 3, 1, 4, 2, 6, 3,  , 3, 4, 8, 0, 5, 2, 5, 3, 1, 0, 2, 3, 4, 6, 2, 1, 0, 150
C dorian (0), 0, 1, 2, 1, 2, 1, 3, 1, 1, 1, 2, 1, 2, 1, 3, 0, 2, 3, 0, 1, 2, 1, 0, 2, 4, 1, 2, 1, 2, 1, 3, 0, 1, 1, 1, 4, 1, 2, 3, 0,  , 1, 3, 1, 3, 1, 5, 4,  , 2, 3, 4, 0, 2, 2, 3, 2, 1, 0, 0, 2, 2, 5, 2, 0, 0, 108
C phrygian (0), 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 3, 1, 0,  , 1, 2, 0, 2, 1, 3, 2,  , 1, 4, 3, 0, 2, 1, 3, 0, 0, 0, 1, 1, 3, 3, 0, 0, 0, 55
C lydian (0), 0, 1, 2, 1, 2, 1, 3, 1, 1, 1, 2, 1, 2, 1, 3, 0, 2, 3, 0, 1, 2, 1, 0, 2, 4, 1, 2, 1, 2, 1, 3, 0, 1, 1, 1, 4, 1, 2, 3, 0,  , 1, 3, 1, 3, 1, 5, 4,  , 2, 3, 4, 0, 2, 2, 3, 2, 1, 0, 0, 2, 2, 5, 2, 0, 0, 108
C mixolydian (0), 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 3, 1, 0,  , 1, 2, 0, 2, 1, 3, 2,  , 1, 4, 3, 0, 2, 1, 3, 0, 0, 0, 1, 1, 3, 3, 0, 0, 0, 55
C aeolian (0), 0, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 0, 2, 0, 1, 2, 0, 0, 1, 0, 0, 3, 3, 1, 1, 1, 1, 0, 2, 0, 2, 0, 1, 3, 1, 3, 2, 0,  , 2, 2, 1, 3, 2, 4, 3,  , 2, 4, 3, 0, 1, 1, 4, 1, 1, 0, 0, 2, 3, 4, 1, 0, 0, 86
C locrian (0), 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 2, 1, 3, 3, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 2, 1, 2, 1, 1,  , 2, 3, 0, 1, 1, 2, 2,  , 0, 3, 4, 0, 3, 1, 3, 1, 0, 0, 2, 2, 4, 2, 0, 1, 0, 68
F major (1b), 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 2, 1, 0,  , 4, 2, 0, 2, 1, 3, 2,  , 1, 4, 3, 0, 2, 1, 3, 0, 0, 0, 1, 1, 3, 3, 0, 0, 0, 57
G major (1#), 0, 1, 2, 1, 2, 1, 3, 1, 1, 1, 2, 1, 2, 1, 3, 0, 2, 3, 0, 1, 2, 1, 0, 2, 5, 1, 2, 1, 2, 1, 3, 0, 1, 1, 1, 4, 1, 2, 4, 0,  , 1, 3, 1, 4, 1, 5, 4,  , 2, 3, 4, 0, 2, 2, 4, 2, 1, 0, 0, 2, 2, 5, 2, 0, 0, 112
D minor (1b), 2, 0, 0, 1, 0, 0, 2, 1, 2, 0, 0, 1, 0, 0, 2, 1, 1, 2, 1, 0, 1, 1, 0, 3, 2, 0, 0, 1, 0, 0, 2, 1, 2, 0, 1, 1, 2, 4, 1, 1,  , 1, 2, 0, 4, 2, 4, 2,  , 2, 5, 2, 0, 2, 0, 3, 1, 1, 1, 2, 2, 4, 4, 1, 1, 0, 85
