 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, rowcost
C major (0), 0, 1, 2, 1, 0, 1, 5, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 1, 0, 2, 1, 0, 0, 0, 28
A minor (0), 1, 1, 5, 1, 1, 1, 5, 0, 0, 1, 0, 2, 1, 1, 0, 0, 1, 0, 1, 1, 1, 4, 2, 1, 1, 4, 1, 0, 1, 0, 2, 1, 1, 0, 0, 42
A minor mel (0), 1, 2, 5, 2, 1, 2, 4, 1, 0, 1, 0, 2, 1, 2, 1, 1, 2, 0, 1, 1, 1, 4, 2, 1, 1, 4, 1, 0, 1, 0, 2, 1, 2, 1, 1, 52
C major blues (0), 0, 2, 2, 2, 0, 2, 5, 1, 0, 1, 0, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 1, 0, 2, 1, 1, 1, 1, 39
A minor blues (0), 0, 2, 5, 2, 0, 2, 5, 1, 0, 1, 0, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 5, 1, 1, 1, 5, 0, 0, 1, 0, 2, 1, 1, 1, 1, 48
C dorian (0), 0, 2, 2, 2, 0, 2, 4, 1, 0, 1, 0, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 1, 0, 2, 1, 1, 1, 1, 38
C phrygian (0), 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 10
C lydian (0), 0, 2, 2, 2, 0, 2, 4, 1, 0, 1, 0, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 1, 0, 2, 1, 1, 1, 1, 38
C mixolydian (0), 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 10
C aeolian (0), 0, 1, 2, 1, 0, 1, 5, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 1, 0, 2, 1, 0, 0, 0, 28
C locrian (0), 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9
