 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, rowcost
C major (0), 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9
A minor (0), 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 15
A minor mel (0), 1, 0, 1, 3, 1, 2, 0, 0, 0, 3, 1, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 1, 1, 0, 2, 1, 2, 1, 25
C major blues (0), 2, 1, 2, 3, 1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 31
A minor blues (0), 2, 1, 2, 3, 1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 31
C dorian (0), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
C phrygian (0), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
C lydian (0), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
C mixolydian (0), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
C aeolian (0), 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9
C locrian (0), 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 13
F major (1b), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
G major (1#), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
D minor (1b), 1, 0, 1, 2, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 15
E minor (1#), 2, 0, 2, 2, 2, 1, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 2, 1, 1, 23
D minor mel (1b), 1, 0, 1, 3, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 2, 0, 0, 1, 0, 0, 18
E minor mel (1#), 3, 0, 3, 3, 2, 0, 1, 1, 1, 2, 0, 0, 0, 1, 1, 0, 0, 3, 0, 1, 1, 1, 2, 0, 1, 3, 1, 1, 32
F major blues (1b), 1, 1, 1, 2, 0, 2, 0, 0, 0, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 24
G major blues (1#), 2, 0, 2, 4, 1, 2, 1, 1, 1, 2, 0, 1, 0, 1, 1, 0, 0, 2, 0, 1, 2, 1, 2, 0, 1, 2, 1, 1, 32
D minor blues (1b), 1, 1, 1, 2, 0, 2, 0, 0, 0, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 24
E minor blues (1#), 2, 0, 2, 4, 1, 2, 1, 1, 1, 2, 0, 1, 0, 1, 1, 0, 0, 2, 0, 1, 2, 1, 2, 0, 1, 2, 1, 1, 32
F dorian (1b), 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9
G dorian (1#), 2, 0, 2, 4, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 1, 1, 2, 0, 1, 2, 1, 1, 28
F phrygian (1b), 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 13
G phrygian (1#), 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9
F lydian (1b), 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9
G lydian (1#), 2, 0, 2, 4, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 1, 1, 2, 0, 1, 2, 1, 1, 28
F mixolydian (1b), 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 13
G mixolydian (1#), 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9
F aeolian (1b), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
G aeolian (1#), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
F locrian (1b), 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 18
G locrian (1#), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
Bb major (2b), 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 13
D major (2#), 2, 0, 2, 4, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 1, 1, 2, 0, 1, 2, 1, 1, 28
G minor (2b), 2, 1, 2, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 1, 2, 1, 0, 0, 0, 1, 2, 1, 1, 23
B minor (2#), 2, 0, 2, 3, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0, 1, 0, 0, 2, 0, 3, 1, 0, 1, 1, 2, 2, 1, 1, 32
G minor mel (2b), 1, 0, 1, 2, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 16
B minor mel (2#), 2, 0, 2, 3, 1, 1, 1, 1, 1, 4, 2, 0, 2, 0, 2, 0, 0, 2, 0, 3, 1, 0, 1, 1, 3, 2, 2, 1, 38
Bb major blues (2b), 2, 1, 2, 1, 1, 2, 0, 0, 0, 1, 1, 1, 1, 2, 0, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 2, 0, 0, 26
D major blues (2#), 2, 0, 2, 4, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 2, 0, 0, 2, 0, 1, 1, 1, 2, 0, 2, 2, 2, 1, 37
G minor blues (2b), 2, 1, 2, 1, 1, 2, 0, 0, 0, 1, 1, 1, 1, 2, 0, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 2, 0, 0, 26
B minor blues (2#), 2, 0, 2, 4, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 2, 0, 0, 2, 0, 3, 1, 1, 2, 0, 2, 2, 2, 1, 39
Bb dorian (2b), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
D dorian (2#), 2, 0, 2, 4, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0, 2, 0, 0, 2, 0, 1, 1, 1, 2, 0, 2, 2, 2, 1, 34
Bb phrygian (2b), 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 15
D phrygian (2#), 1, 0, 1, 3, 1, 2, 0, 0, 0, 3, 1, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 1, 1, 0, 2, 1, 2, 1, 25
Bb lydian (2b), 2, 1, 2, 3, 1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 31
D lydian (2#), 2, 1, 2, 3, 1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 31
Bb mixolydian (2b), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
D mixolydian (2#), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
Bb aeolian (2b), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
D aeolian (2#), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
Bb locrian (2b), 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9
D locrian (2#), 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 13
Eb major (3b), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
A major (3#), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
C minor (3b), 1, 0, 1, 2, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 15
F# minor (3#), 2, 0, 2, 2, 2, 1, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 2, 1, 1, 23
C minor mel (3b), 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 16
F# minor mel (3#), 4, 1, 4, 2, 1, 0, 1, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 4, 1, 4, 2, 1, 2, 0, 1, 4, 1, 0, 43
Eb major blues (3b), 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9
A major blues (3#), 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 15
C minor blues (3b), 1, 0, 1, 3, 1, 2, 0, 0, 0, 3, 1, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 1, 1, 0, 2, 1, 2, 1, 25
F# minor blues (3#), 2, 1, 2, 3, 1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 31
Eb dorian (3b), 2, 1, 2, 3, 1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 31
A dorian (3#), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
Eb phrygian (3b), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
A phrygian (3#), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
Eb lydian (3b), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
A lydian (3#), 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9
Eb mixolydian (3b), 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 13
A mixolydian (3#), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
Eb aeolian (3b), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
A aeolian (3#), 1, 0, 1, 2, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 15
Eb locrian (3b), 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 15
A locrian (3#), 1, 0, 1, 3, 1, 2, 0, 0, 0, 3, 1, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 1, 1, 0, 2, 1, 2, 1, 25
Ab major (4b), 2, 1, 2, 3, 1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 31
E major (4#), 2, 1, 2, 3, 1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 31
F minor (4b), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
C# minor (4#), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
F minor mel (4b), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
C# minor mel (4#), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
Ab major blues (4b), 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9
E major blues (4#), 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 13
F minor blues (4b), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
C# minor blues (4#), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
Ab dorian (4b), 1, 0, 1, 2, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 15
E dorian (4#), 2, 0, 2, 2, 2, 1, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 2, 1, 1, 23
Ab phrygian (4b), 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 16
E phrygian (4#), 4, 1, 4, 2, 1, 0, 1, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 4, 1, 4, 2, 1, 2, 0, 1, 4, 1, 0, 43
Ab lydian (4b), 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9
E lydian (4#), 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 15
Ab mixolydian (4b), 1, 0, 1, 3, 1, 2, 0, 0, 0, 3, 1, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 1, 1, 0, 2, 1, 2, 1, 25
E mixolydian (4#), 2, 1, 2, 3, 1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 31
Ab aeolian (4b), 2, 1, 2, 3, 1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 31
E aeolian (4#), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
Ab locrian (4b), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
E locrian (4#), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
Db major (5b), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
B major (5#), 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9
Bb minor (5b), 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 13
G# minor (5#), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
Bb minor mel (5b), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
G# minor mel (5#), 1, 0, 1, 2, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 15
Db major blues (5b), 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9
B major blues (5#), 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 15
Bb minor blues (5b), 1, 0, 1, 3, 1, 2, 0, 0, 0, 3, 1, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 1, 1, 0, 2, 1, 2, 1, 25
G# minor blues (5#), 2, 1, 2, 3, 1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 31
Db dorian (5b), 2, 1, 2, 3, 1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 31
B dorian (5#), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
Db phrygian (5b), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
B phrygian (5#), 1, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 19
Db lydian (5b), 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6
B lydian (5#), 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 9
Db mixolydian (5b), 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 13
