 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, rowcost
C major (0), 2, 1, 2, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 3, 2, 2, 2, 0, 3, 3, 7, 3, 0, 2, 1, 2, 0, 1, 0, 3, 0, 0, 64
A minor (0), 3, 1, 3, 0, 2, 0, 4, 1, 3, 1, 1, 1, 1, 3, 3, 4, 0, 3, 3, 5, 5, 3, 3, 4, 0, 3, 3, 5, 4, 1, 3, 1, 3, 0, 2, 0, 4, 1, 1, 88
F major (1b), 1, 1, 2, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 2, 0, 2, 1, 4, 0, 0, 54
G major (1#), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
D minor (1b), 1, 1, 1, 1, 3, 1, 5, 0, 1, 0, 0, 0, 1, 2, 2, 2, 0, 3, 3, 5, 4, 2, 2, 2, 0, 3, 3, 5, 3, 0, 1, 1, 1, 1, 3, 1, 5, 0, 0, 69
E minor (1#), 2, 0, 2, 1, 2, 0, 3, 0, 2, 0, 0, 0, 0, 3, 3, 4, 2, 3, 2, 5, 6, 3, 3, 4, 2, 3, 2, 5, 5, 1, 2, 0, 2, 1, 2, 0, 3, 0, 0, 78
Bb major (2b), 1, 1, 2, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 5, 4, 1, 1, 1, 0, 1, 1, 5, 1, 0, 1, 1, 2, 0, 1, 1, 3, 0, 0, 44
D major (2#), 1, 0, 1, 1, 2, 0, 4, 0, 1, 0, 0, 0, 1, 4, 4, 4, 1, 5, 4, 7, 5, 4, 4, 4, 1, 5, 4, 7, 5, 0, 1, 0, 1, 1, 2, 0, 4, 0, 0, 88
G minor (2b), 0, 0, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 2, 2, 2, 1, 2, 1, 6, 5, 2, 2, 2, 1, 2, 1, 6, 2, 0, 0, 0, 0, 0, 1, 1, 3, 0, 0, 49
B minor (2#), 2, 0, 0, 1, 2, 0, 4, 0, 2, 0, 0, 0, 1, 3, 3, 3, 1, 4, 3, 4, 9, 3, 3, 3, 1, 4, 3, 4, 6, 0, 2, 0, 0, 1, 2, 0, 4, 0, 0, 78
