 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, rowcost
C major (0), 0/0, 3/0, 2/0, 3/1, 2/0, 3/1, 4/2, 2/2, 2/1, 1/0, 5/1, 1/0, 3/1, 0/0, 31/9
A minor (0), 0/0, 3/2, 2/1, 3/2, 2/1, 3/3, 3/2, 3/2, 2/1, 1/0, 5/6, 1/0, 3/2, 0/0, 31/22
F major (1b), 0/0, 2/0, 2/0, 4/1, 2/0, 2/0, 4/1, 3/1, 3/1, 1/0, 4/1, 1/0, 2/1, 0/0, 30/6
G major (1#), 0/0, 4/4, 3/0, 4/1, 3/0, 4/1, 5/2, 3/2, 3/2, 2/1, 6/7, 2/1, 4/1, 1/0, 44/22
D minor (1b), 0/0, 2/5, 2/1, 4/4, 2/1, 2/4, 4/4, 4/3, 3/2, 1/1, 4/3, 1/1, 2/2, 0/0, 31/31
E minor (1#), 0/0, 4/3, 3/4, 4/3, 3/4, 4/3, 4/5, 4/3, 3/1, 2/1, 4/2, 2/1, 4/3, 1/1, 42/34
Bb major (2b), 0/0, 1/0, 1/0, 2/1, 1/0, 1/0, 3/2, 3/2, 2/1, 1/0, 2/1, 1/0, 1/0, 0/0, 19/7
D major (2#), 1/0, 4/7, 4/1, 4/4, 3/1, 5/4, 6/2, 4/2, 3/1, 2/0, 6/5, 2/1, 5/5, 1/1, 50/34
G minor (2b), 0/0, 1/0, 1/0, 3/1, 1/0, 1/1, 3/2, 4/2, 3/1, 1/0, 3/1, 1/0, 1/1, 0/0, 23/9
B minor (2#), 1/0, 4/3, 4/1, 4/0, 3/0, 5/1, 6/3, 5/2, 3/0, 2/0, 4/0, 2/0, 5/2, 1/0, 49/12
Eb major (3b), 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 2/1, 2/2, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 7/5
A major (3#), 1/0, 3/4, 3/4, 3/4, 2/4, 4/4, 4/6, 3/4, 2/2, 1/1, 5/4, 1/1, 4/4, 1/1, 37/43
C minor (3b), 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 2/2, 3/2, 2/1, 0/0, 2/1, 0/0, 0/0, 0/0, 11/7
F# minor (3#), 1/0, 3/0, 3/0, 3/0, 2/0, 4/1, 4/3, 4/2, 2/0, 1/0, 3/0, 1/0, 4/2, 1/0, 36/8
Ab major (4b), 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/1, 2/2, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 6/6
E major (4#), 1/0, 2/3, 2/4, 2/3, 1/4, 3/3, 3/6, 3/3, 2/1, 1/1, 2/2, 1/1, 3/3, 1/1, 27/35
F minor (4b), 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 1/1, 3/2, 2/1, 0/0, 2/1, 0/0, 0/0, 0/0, 10/6
C# minor (4#), 1/0, 2/0, 2/0, 2/1, 1/0, 3/0, 3/1, 5/1, 2/1, 1/0, 2/0, 1/0, 3/0, 1/0, 29/4
Db major (5b), 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/1, 3/2, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 7/5
B major (5#), 1/0, 1/3, 2/1, 1/0, 1/0, 2/1, 4/3, 3/2, 1/0, 1/0, 1/0, 1/0, 2/2, 1/0, 22/12
Bb minor (5b), 0/0, 0/0, 0/0, 1/0, 0/0, 0/1, 1/3, 3/1, 1/0, 0/0, 1/0, 0/0, 0/2, 0/0, 7/7
G# minor (5#), 1/0, 1/0, 2/0, 1/0, 1/0, 2/1, 3/1, 4/1, 1/0, 1/0, 1/0, 1/0, 2/2, 1/0, 22/5
Gb major (6b), 1/0, 0/0, 1/0, 0/0, 0/0, 1/0, 2/1, 3/4, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 9/5
F# major (6#), 1/0, 0/0, 1/0, 0/0, 0/0, 1/0, 2/1, 2/2, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 8/3
Eb minor (6b), 1/0, 0/0, 1/0, 0/0, 0/0, 1/0, 2/2, 2/2, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 8/4
D# minor (6#), 1/0, 0/0, 1/1, 0/0, 0/0, 1/1, 2/3, 3/3, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 9/8
Cb major (7b), 2/2, 1/0, 3/2, 1/0, 1/0, 3/2, 5/5, 4/4, 1/0, 1/0, 1/0, 1/0, 3/4, 1/0, 28/19
C# major (7#), 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/1, 4/3, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 8/4
Ab minor (7b), 1/0, 1/0, 2/0, 1/1, 1/0, 2/0, 3/1, 3/2, 1/1, 1/0, 1/1, 1/0, 2/0, 1/0, 21/6
A# minor (7#), 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 2/2, 5/4, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 10/6
