 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C major (0), 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 3, 1, 2, 1, 1, 0, 1, 0, 1, 0, 0, 16
A minor (0), 1, 2, 0, 1, 1, 2, 0, 0, 1, 2, 0, 0, 0, 3, 0, 2, 0, 2, 0, 2, 1, 2, 0, 0, 22
A minor mel (0), 1, 3, 1, 2, 2, 2, 0, 0, 2, 2, 1, 1, 0, 4, 0, 3, 1, 2, 0, 2, 2, 2, 1, 1, 35
C major blues (0), 1, 3, 2, 2, 2, 1, 0, 0, 2, 1, 1, 1, 1, 4, 1, 4, 2, 1, 0, 2, 2, 1, 1, 1, 36
A minor blues (0), 1, 3, 2, 2, 2, 1, 0, 0, 2, 1, 1, 1, 1, 4, 1, 4, 2, 1, 0, 2, 2, 1, 1, 1, 36
C dorian (0), 1, 2, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 3, 2, 1, 0, 1, 1, 1, 1, 1, 29
C phrygian (0), 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9
C lydian (0), 1, 2, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 3, 2, 1, 0, 1, 1, 1, 1, 1, 29
C mixolydian (0), 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9
C aeolian (0), 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 3, 1, 2, 1, 1, 0, 1, 0, 1, 0, 0, 16
C locrian (0), 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 2, 1, 0, 0, 0, 13
F major (1b), 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9
G major (1#), 1, 2, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 3, 2, 1, 0, 1, 1, 1, 1, 1, 29
D minor (1b), 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 2, 1, 0, 1, 2, 0, 0, 0, 0, 16
E minor (1#), 2, 3, 2, 3, 1, 3, 0, 0, 1, 3, 1, 1, 1, 3, 1, 2, 2, 1, 1, 2, 1, 3, 1, 1, 39
D minor mel (1b), 2, 1, 1, 2, 0, 1, 0, 0, 0, 1, 0, 0, 1, 4, 1, 3, 1, 1, 1, 2, 0, 1, 0, 0, 23
E minor mel (1#), 3, 3, 3, 4, 1, 3, 0, 0, 1, 3, 1, 1, 1, 4, 1, 3, 2, 1, 2, 3, 1, 3, 1, 1, 46
F major blues (1b), 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 0, 0, 1, 3, 1, 3, 1, 1, 0, 2, 2, 2, 0, 0, 33
G major blues (1#), 2, 2, 3, 3, 1, 1, 0, 0, 1, 1, 1, 1, 1, 5, 1, 4, 2, 1, 1, 2, 1, 1, 1, 1, 37
D minor blues (1b), 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 0, 0, 1, 3, 1, 3, 1, 1, 0, 2, 2, 2, 0, 0, 33
E minor blues (1#), 2, 2, 3, 3, 1, 2, 0, 0, 1, 2, 1, 1, 1, 5, 1, 4, 2, 1, 1, 2, 1, 2, 1, 1, 40
F dorian (1b), 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 3, 1, 2, 1, 1, 0, 1, 0, 1, 0, 0, 16
G dorian (1#), 2, 2, 2, 3, 1, 1, 0, 0, 1, 1, 1, 1, 1, 5, 1, 4, 2, 1, 1, 2, 1, 1, 1, 1, 36
F phrygian (1b), 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 2, 1, 0, 0, 0, 13
G phrygian (1#), 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 3, 1, 2, 1, 1, 0, 1, 0, 1, 0, 0, 16
F lydian (1b), 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 3, 1, 2, 1, 1, 0, 1, 0, 1, 0, 0, 16
G lydian (1#), 2, 2, 2, 3, 1, 1, 0, 0, 1, 1, 1, 1, 1, 5, 1, 4, 2, 1, 1, 2, 1, 1, 1, 1, 36
F mixolydian (1b), 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 2, 1, 0, 0, 0, 13
G mixolydian (1#), 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 3, 1, 2, 1, 1, 0, 1, 0, 1, 0, 0, 16
F aeolian (1b), 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9
G aeolian (1#), 1, 2, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 3, 2, 1, 0, 1, 1, 1, 1, 1, 29
F locrian (1b), 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 2, 1, 0, 0, 19
G locrian (1#), 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9
Bb major (2b), 0, 1, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 2, 1, 0, 0, 0, 14
D major (2#), 2, 2, 2, 3, 1, 1, 0, 0, 1, 1, 1, 1, 1, 5, 1, 4, 2, 1, 1, 2, 1, 1, 1, 1, 36
G minor (2b), 0, 2, 2, 1, 2, 0, 0, 0, 2, 0, 1, 1, 1, 2, 1, 3, 2, 0, 0, 2, 2, 0, 1, 1, 26
B minor (2#), 3, 2, 2, 4, 3, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 5, 2, 0, 1, 2, 3, 1, 1, 1, 44
G minor mel (2b), 1, 1, 2, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 3, 1, 2, 2, 0, 0, 1, 1, 0, 1, 1, 22
B minor mel (2#), 3, 3, 2, 4, 4, 2, 1, 1, 4, 2, 1, 1, 0, 3, 0, 5, 1, 1, 1, 3, 4, 2, 1, 1, 50
Bb major blues (2b), 3, 2, 3, 2, 2, 2, 1, 1, 2, 2, 0, 0, 1, 2, 1, 2, 1, 0, 1, 3, 2, 2, 0, 0, 35
D major blues (2#), 2, 3, 2, 3, 2, 2, 0, 0, 2, 2, 1, 1, 1, 5, 1, 4, 2, 2, 1, 3, 2, 2, 1, 1, 45
G minor blues (2b), 3, 2, 2, 2, 2, 2, 1, 1, 2, 2, 0, 0, 1, 2, 1, 2, 1, 0, 1, 3, 2, 2, 0, 0, 34
B minor blues (2#), 2, 4, 2, 3, 3, 3, 0, 0, 3, 3, 1, 1, 1, 5, 1, 6, 2, 2, 1, 3, 3, 3, 1, 1, 54
Bb dorian (2b), 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 10
D dorian (2#), 2, 3, 2, 3, 2, 2, 0, 0, 2, 2, 1, 1, 0, 5, 0, 4, 1, 2, 1, 3, 2, 2, 1, 1, 42
Bb phrygian (2b), 1, 2, 0, 1, 1, 2, 0, 0, 1, 2, 0, 0, 0, 3, 0, 2, 0, 2, 0, 2, 1, 2, 0, 0, 22
D phrygian (2#), 1, 3, 1, 2, 2, 2, 0, 0, 2, 2, 1, 1, 0, 4, 0, 3, 1, 2, 0, 2, 2, 2, 1, 1, 35
Bb lydian (2b), 1, 3, 2, 2, 2, 1, 0, 0, 2, 1, 1, 1, 1, 4, 1, 4, 2, 1, 0, 2, 2, 1, 1, 1, 36
D lydian (2#), 1, 3, 2, 2, 2, 1, 0, 0, 2, 1, 1, 1, 1, 4, 1, 4, 2, 1, 0, 2, 2, 1, 1, 1, 36
Bb mixolydian (2b), 1, 2, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 3, 2, 1, 0, 1, 1, 1, 1, 1, 29
D mixolydian (2#), 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9
Bb aeolian (2b), 1, 2, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 3, 2, 1, 0, 1, 1, 1, 1, 1, 29
D aeolian (2#), 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9
Bb locrian (2b), 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 3, 1, 2, 1, 1, 0, 1, 0, 1, 0, 0, 16
D locrian (2#), 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 2, 1, 0, 0, 0, 13
Eb major (3b), 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9
A major (3#), 1, 2, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 3, 2, 1, 0, 1, 1, 1, 1, 1, 29
C minor (3b), 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 2, 1, 0, 1, 2, 0, 0, 0, 0, 16
F# minor (3#), 2, 3, 2, 3, 1, 3, 0, 0, 1, 3, 1, 1, 1, 3, 1, 2, 2, 1, 1, 2, 1, 3, 1, 1, 39
C minor mel (3b), 0, 2, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 2, 1, 3, 1, 1, 0, 2, 1, 1, 0, 0, 20
F# minor mel (3#), 3, 4, 2, 3, 2, 4, 0, 0, 2, 4, 0, 0, 0, 2, 0, 6, 0, 2, 2, 5, 2, 4, 0, 0, 47
Eb major blues (3b), 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 3, 1, 2, 1, 1, 0, 1, 0, 1, 0, 0, 16
A major blues (3#), 1, 2, 0, 1, 1, 2, 0, 0, 1, 2, 0, 0, 0, 3, 0, 2, 0, 2, 0, 2, 1, 2, 0, 0, 22
C minor blues (3b), 1, 3, 1, 2, 2, 2, 0, 0, 2, 2, 1, 1, 0, 4, 0, 3, 1, 2, 0, 2, 2, 2, 1, 1, 35
F# minor blues (3#), 1, 3, 2, 2, 2, 1, 0, 0, 2, 1, 1, 1, 1, 4, 1, 4, 2, 1, 0, 2, 2, 1, 1, 1, 36
Eb dorian (3b), 1, 3, 2, 2, 2, 1, 0, 0, 2, 1, 1, 1, 1, 4, 1, 4, 2, 1, 0, 2, 2, 1, 1, 1, 36
A dorian (3#), 1, 2, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 3, 2, 1, 0, 1, 1, 1, 1, 1, 29
Eb phrygian (3b), 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9
A phrygian (3#), 1, 2, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 3, 2, 1, 0, 1, 1, 1, 1, 1, 29
Eb lydian (3b), 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9
A lydian (3#), 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 3, 1, 2, 1, 1, 0, 1, 0, 1, 0, 0, 16
Eb mixolydian (3b), 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 2, 1, 0, 0, 0, 13
A mixolydian (3#), 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9
Eb aeolian (3b), 1, 2, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 3, 2, 1, 0, 1, 1, 1, 1, 1, 29
A aeolian (3#), 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 2, 1, 0, 1, 2, 0, 0, 0, 0, 16
Eb locrian (3b), 1, 2, 0, 1, 1, 2, 0, 0, 1, 2, 0, 0, 0, 3, 0, 2, 0, 2, 0, 2, 1, 2, 0, 0, 22
A locrian (3#), 1, 3, 1, 2, 2, 2, 0, 0, 2, 2, 1, 1, 0, 4, 0, 3, 1, 2, 0, 2, 2, 2, 1, 1, 35
Ab major (4b), 1, 3, 2, 2, 2, 1, 0, 0, 2, 1, 1, 1, 1, 4, 1, 4, 2, 1, 0, 2, 2, 1, 1, 1, 36
E major (4#), 1, 3, 2, 2, 2, 1, 0, 0, 2, 1, 1, 1, 1, 4, 1, 4, 2, 1, 0, 2, 2, 1, 1, 1, 36
F minor (4b), 1, 2, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 3, 2, 1, 0, 1, 1, 1, 1, 1, 29
C# minor (4#), 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9
F minor mel (4b), 1, 2, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 3, 2, 1, 0, 1, 1, 1, 1, 1, 29
C# minor mel (4#), 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9
Ab major blues (4b), 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 3, 1, 2, 1, 1, 0, 1, 0, 1, 0, 0, 16
E major blues (4#), 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 2, 1, 0, 0, 0, 13
F minor blues (4b), 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9
C# minor blues (4#), 1, 2, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 3, 2, 1, 0, 1, 1, 1, 1, 1, 29
Ab dorian (4b), 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 2, 1, 0, 1, 2, 0, 0, 0, 0, 16
E dorian (4#), 2, 3, 2, 3, 1, 3, 0, 0, 1, 3, 1, 1, 1, 3, 1, 2, 2, 1, 1, 2, 1, 3, 1, 1, 39
