 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C major (0), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/1
A minor (0), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 1/1, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 4/3
F major (1b), 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 5/1
G major (1#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/1, 2/1, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 5/2
D minor (1b), 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/1, 0/0, 1/0, 0/0, 0/0, 6/3
E minor (1#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 1/1, 3/1, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/1, 0/0, 0/0, 0/0, 0/0, 7/4
Bb major (2b), 1/0, 1/0, 1/0, 2/1, 1/0, 1/0, 0/0, 0/0, 1/1, 1/1, 0/0, 1/0, 1/1, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/2, 0/0, 0/0, 18/6
D major (2#), 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/1, 1/1, 3/1, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 14/3
G minor (2b), 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/1, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 17/1
B minor (2#), 1/1, 1/1, 1/1, 1/1, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 2/1, 2/1, 3/2, 2/1, 0/0, 0/0, 0/0, 1/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 17/10
