 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C major (0), 3/0, 3/0, 3/0, 3/0, 2/0, 2/1, 2/1, 2/1, 1/1, 1/1, 1/1, 1/1, 2/2, 1/1, 1/0, 2/3, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 32/13
A minor (0), 3/4, 3/1, 3/2, 3/1, 2/1, 2/0, 2/0, 2/0, 1/0, 1/0, 1/0, 1/0, 2/0, 1/0, 1/0, 2/1, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 32/11
F major (1b), 2/0, 2/0, 2/0, 2/0, 1/0, 1/0, 2/1, 1/0, 1/0, 1/0, 1/0, 1/0, 2/0, 2/0, 1/1, 3/3, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 28/5
G major (1#), 3/1, 3/1, 3/1, 3/1, 2/0, 2/0, 1/1, 2/0, 1/1, 1/1, 1/1, 1/1, 2/1, 1/1, 0/0, 2/1, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 1/1, 0/0, 30/14
D minor (1b), 2/1, 2/2, 2/1, 2/2, 1/0, 1/0, 2/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/0, 2/0, 1/0, 3/3, 0/0, 1/0, 0/0, 1/0, 0/0, 1/1, 0/0, 0/0, 28/10
E minor (1#), 3/0, 3/0, 3/0, 3/0, 2/0, 2/0, 1/0, 2/0, 1/0, 1/0, 1/0, 1/0, 2/0, 1/0, 0/0, 2/2, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 2/1, 0/0, 32/4
Bb major (2b), 1/0, 2/0, 1/0, 2/0, 0/0, 1/0, 2/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/0, 2/1, 2/1, 2/3, 0/0, 2/1, 0/0, 1/2, 0/0, 2/1, 0/0, 0/0, 27/9
D major (2#), 3/4, 2/3, 3/4, 2/3, 2/3, 1/1, 1/0, 1/1, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/1, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 25/20
G minor (2b), 1/0, 2/1, 1/0, 2/1, 0/0, 1/0, 2/1, 1/0, 1/1, 1/1, 1/1, 1/1, 2/1, 2/1, 2/0, 2/3, 0/0, 2/0, 0/0, 1/0, 0/0, 2/0, 0/0, 0/0, 27/12
B minor (2#), 3/0, 2/0, 3/0, 2/0, 2/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/1, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 2/1, 1/0, 27/3
