 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
B minor (2#), 2, 1, 2, 1, 2, 1, 1, 1, 0, 1, 0, 2, 2, 1, 1, 3, 1, 2, 1, 2, 1, 2, 1, 1, 0, 32
G minor mel (2b), 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 2, 0, 11
B minor mel (2#), 3, 1, 3, 2, 3, 2, 2, 2, 1, 2, 1, 3, 3, 1, 2, 4, 1, 3, 1, 3, 2, 3, 2, 2, 1, 53
Bb major blues (2b), 4, 1, 4, 1, 4, 1, 3, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 4, 1, 4, 1, 4, 1, 3, 0, 42
D major blues (2#), 3, 1, 3, 4, 3, 2, 4, 3, 2, 3, 1, 4, 3, 2, 2, 3, 0, 3, 1, 3, 4, 3, 2, 4, 1, 64
G minor blues (2b), 3, 1, 3, 2, 3, 1, 3, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 3, 1, 3, 2, 3, 1, 3, 0, 38
B minor blues (2#), 3, 1, 3, 4, 3, 2, 4, 3, 2, 3, 1, 4, 3, 2, 2, 3, 0, 3, 1, 3, 4, 3, 2, 4, 1, 64
Bb dorian (2b), 2, 0, 2, 1, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 1, 2, 0, 3, 0, 20
D dorian (2#), 2, 1, 2, 3, 2, 2, 3, 3, 2, 3, 1, 4, 3, 2, 2, 3, 0, 2, 1, 2, 3, 2, 2, 3, 1, 54
Bb phrygian (2b), 3, 0, 3, 4, 3, 1, 4, 2, 2, 2, 1, 2, 1, 1, 1, 1, 0, 3, 0, 3, 4, 3, 1, 4, 1, 50
D phrygian (2#), 2, 0, 2, 4, 2, 1, 4, 2, 2, 2, 1, 3, 2, 1, 1, 2, 0, 2, 0, 2, 4, 2, 1, 4, 1, 47
