 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, rowcost
C major (0), 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 2, 0, 2, 0, 1, 0, 3, 2, 2, 1, 1, 1, 1, 0, 3, 2, 2, 1, 1, 0, 1, 45
A minor (0), 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 3, 0, 1, 1, 2, 0, 2, 1, 2, 0, 3, 1, 2, 1, 3, 1, 3, 1, 2, 1, 4, 3, 3, 2, 2, 2, 1, 0, 4, 3, 3, 2, 2, 0, 1, 77
A minor mel (0), 0, 1, 0, 2, 1, 2, 1, 2, 0, 0, 0, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 4, 1, 2, 2, 3, 1, 3, 2, 3, 1, 4, 2, 3, 1, 4, 1, 3, 1, 2, 2, 5, 2, 2, 2, 2, 2, 2, 1, 5, 2, 2, 2, 2, 0, 1, 102
C major blues (0), 0, 1, 0, 2, 1, 2, 1, 3, 1, 0, 0, 2, 1, 2, 0, 1, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 0, 2, 0, 1, 1, 5, 2, 2, 1, 1, 1, 2, 1, 5, 2, 2, 1, 1, 0, 1, 85
A minor blues (0), 0, 1, 0, 2, 1, 2, 1, 3, 1, 0, 0, 2, 1, 2, 0, 1, 0, 0, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 0, 2, 0, 1, 1, 6, 3, 2, 1, 1, 1, 2, 1, 6, 3, 2, 1, 1, 0, 1, 91
C dorian (0), 0, 1, 0, 1, 1, 2, 1, 2, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 3, 0, 2, 0, 1, 1, 4, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 1, 0, 1, 70
C phrygian (0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 24
C lydian (0), 0, 1, 0, 1, 1, 2, 1, 2, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 3, 0, 2, 0, 1, 1, 4, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 1, 0, 1, 70
C mixolydian (0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 24
C aeolian (0), 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 2, 0, 2, 0, 1, 0, 3, 2, 2, 1, 1, 1, 1, 0, 3, 2, 2, 1, 1, 0, 1, 45
C locrian (0), 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 20
F major (1b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 26
G major (1#), 0, 1, 0, 1, 1, 2, 1, 2, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 3, 0, 2, 0, 1, 1, 4, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 1, 0, 1, 70
D minor (1b), 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 2, 1, 2, 1, 1, 0, 1, 1, 0, 0, 3, 2, 1, 0, 1, 1, 1, 0, 3, 2, 1, 0, 0, 1, 1, 41
E minor (1#), 0, 1, 0, 1, 1, 3, 1, 2, 0, 0, 0, 1, 1, 3, 0, 2, 0, 0, 2, 3, 1, 2, 2, 3, 1, 1, 2, 3, 1, 1, 2, 4, 1, 1, 2, 4, 0, 1, 0, 4, 1, 3, 1, 1, 1, 2, 1, 3, 1, 3, 1, 1, 1, 2, 0, 1, 80
D minor mel (1b), 0, 1, 1, 1, 0, 2, 1, 1, 1, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 2, 1, 2, 2, 2, 0, 2, 1, 1, 0, 4, 2, 2, 1, 2, 2, 2, 0, 4, 2, 2, 1, 1, 1, 2, 62
E minor mel (1#), 0, 1, 1, 2, 1, 4, 1, 2, 1, 1, 0, 1, 1, 4, 0, 2, 0, 0, 2, 3, 1, 2, 2, 3, 1, 1, 2, 3, 1, 1, 2, 5, 1, 2, 3, 4, 0, 1, 1, 4, 1, 4, 1, 1, 1, 3, 2, 4, 1, 4, 1, 1, 1, 2, 1, 2, 97
F major blues (1b), 1, 1, 0, 1, 0, 2, 1, 2, 1, 1, 1, 2, 0, 2, 0, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 0, 2, 1, 5, 2, 4, 1, 2, 1, 2, 1, 5, 2, 4, 1, 2, 1, 1, 81
G major blues (1#), 0, 1, 1, 2, 1, 3, 1, 2, 1, 1, 0, 1, 1, 3, 0, 1, 0, 0, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 3, 2, 3, 2, 3, 0, 2, 1, 1, 1, 5, 2, 2, 1, 2, 2, 3, 1, 5, 2, 2, 1, 1, 1, 2, 91
D minor blues (1b), 1, 1, 0, 1, 0, 2, 1, 2, 1, 1, 1, 2, 0, 2, 0, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 0, 2, 1, 5, 2, 3, 1, 2, 1, 2, 1, 5, 2, 3, 1, 2, 1, 1, 79
E minor blues (1#), 0, 1, 1, 2, 1, 4, 1, 2, 1, 1, 0, 1, 1, 4, 0, 2, 0, 0, 1, 2, 2, 3, 1, 2, 2, 2, 1, 2, 2, 2, 1, 4, 2, 3, 2, 3, 0, 2, 1, 4, 1, 6, 3, 2, 1, 3, 2, 4, 1, 6, 3, 2, 1, 2, 1, 2, 106
