 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
C# minor (4#), 3/1, 2/0, 3/0, 0/0, 1/0, 2/0, 3/0, 1/0, 1/0, 2/0, 2/0, 2/1, 2/1, 1/0, 2/0, 2/0, 4/2, 2/0, 3/0, 0/0, 1/0, 2/0, 6/4, 2/0, 1/0, 2/2, 4/4, 2/0, 3/1, 1/0, 2/1, 0/0, 3/1, 67/18
Db major (5b), 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 2/2, 2/2, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 4/2, 0/0, 1/0, 2/4, 5/4, 1/0, 1/0, 0/0, 2/2, 0/0, 1/0, 33/16
B major (5#), 2/2, 1/1, 1/1, 0/0, 1/0, 1/1, 1/1, 0/0, 0/0, 1/1, 1/1, 2/2, 2/2, 0/0, 1/1, 1/2, 3/2, 1/1, 1/1, 0/0, 1/0, 1/1, 4/2, 1/1, 0/0, 2/2, 4/4, 1/0, 2/0, 0/0, 2/1, 0/0, 2/2, 40/32
Bb minor (5b), 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 2/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 23/0
G# minor (5#), 3/1, 2/0, 2/0, 0/0, 1/0, 2/0, 2/0, 0/0, 0/0, 1/0, 1/0, 3/2, 3/2, 0/0, 1/1, 1/0, 4/2, 2/0, 2/0, 0/0, 1/0, 2/0, 5/6, 1/1, 0/0, 3/6, 3/2, 2/0, 3/1, 0/0, 3/2, 0/0, 3/1, 56/27
Gb major (6b), 2/2, 2/2, 2/2, 0/0, 0/0, 2/2, 2/2, 0/0, 0/0, 1/0, 1/0, 3/2, 3/2, 0/0, 1/0, 1/0, 3/2, 2/2, 2/2, 0/0, 0/0, 2/2, 6/4, 1/0, 0/0, 3/4, 6/4, 2/2, 3/2, 0/0, 3/2, 0/0, 2/2, 55/42
F# major (6#), 1/1, 1/1, 1/0, 0/0, 0/0, 1/1, 1/0, 0/0, 0/0, 1/0, 1/0, 2/1, 2/1, 0/0, 1/0, 1/0, 2/1, 1/1, 1/0, 0/0, 0/0, 1/1, 4/2, 1/1, 0/0, 2/2, 4/4, 1/1, 2/2, 0/0, 2/1, 0/0, 1/1, 35/22
Eb minor (6b), 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 2/0, 2/0, 0/0, 1/0, 1/0, 2/0, 1/0, 1/0, 0/0, 0/0, 1/0, 3/0, 1/0, 0/0, 2/0, 2/0, 1/0, 2/0, 0/0, 2/0, 0/0, 1/0, 32/0
D# minor (6#), 2/1, 2/0, 2/0, 0/0, 0/0, 2/0, 2/0, 0/0, 0/0, 1/0, 1/0, 3/1, 3/1, 0/0, 1/0, 1/0, 3/2, 2/0, 2/0, 0/0, 0/0, 2/0, 5/3, 1/0, 0/0, 3/2, 3/2, 2/0, 3/1, 0/0, 3/1, 0/0, 2/1, 51/15
Cb major (7b), 3/2, 2/2, 2/2, 0/0, 1/0, 2/2, 2/2, 0/0, 0/0, 2/2, 2/2, 4/4, 4/4, 0/0, 2/2, 2/4, 5/4, 2/2, 2/2, 0/0, 1/0, 2/2, 7/6, 2/2, 0/0, 4/8, 7/8, 2/2, 4/4, 0/0, 4/4, 0/0, 3/2, 73/74
C# major (7#), 2/2, 2/2, 2/0, 1/0, 0/0, 2/0, 2/0, 1/0, 0/0, 0/0, 0/0, 1/1, 1/1, 0/0, 0/0, 0/0, 2/2, 2/0, 2/0, 1/0, 0/0, 2/0, 4/2, 0/0, 1/0, 1/2, 3/4, 2/0, 2/1, 0/0, 1/1, 0/0, 2/1, 39/19
Ab minor (7b), 2/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 2/0, 2/0, 0/0, 1/0, 1/0, 3/0, 1/0, 1/0, 0/0, 1/0, 1/0, 3/1, 1/0, 0/0, 2/0, 2/0, 1/0, 2/0, 0/0, 2/0, 0/0, 2/0, 37/1
A# minor (7#), 2/1, 2/0, 2/0, 1/0, 0/0, 2/0, 2/0, 1/0, 0/0, 0/0, 0/0, 2/1, 2/1, 0/0, 0/0, 0/0, 2/2, 2/0, 2/0, 1/0, 0/0, 2/0, 4/3, 0/0, 1/0, 2/2, 2/2, 2/0, 2/1, 0/0, 2/1, 0/0, 2/1, 42/15
