 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, rowcost
D aeolian (2#), 1, 2, 1,  , 1, 2, 1, 3, 3, 3, 1, 1, 0, 3, 1, 1, 3, 3, 3, 0, 3, 6, 2, 2, 1, 1, 1, 2, 1, 4, 1, 0, 2, 1, 1, 4, 0, 4, 3,  , 3, 3, 3, 0, 3, 1, 1, 0, 5, 5, 1, 0, 2, 4, 4, 1, 1, 1, 4, 1, 0, 1, 2, 1, 0, 119
Bb locrian (2b), 1, 2, 1,  , 1, 2, 1, 3, 3, 3, 1, 1, 0, 3, 1, 1, 3, 3, 3, 0, 3, 6, 2, 2, 1, 1, 1, 2, 1, 4, 1, 0, 2, 1, 1, 4, 0, 4, 3,  , 3, 3, 3, 0, 3, 1, 1, 0, 5, 5, 1, 0, 2, 4, 4, 1, 1, 1, 4, 1, 0, 1, 2, 1, 0, 119
D locrian (2#), 1, 2, 1,  , 1, 2, 1, 3, 3, 3, 1, 1, 0, 3, 1, 1, 3, 3, 3, 0, 3, 6, 2, 2, 1, 1, 1, 2, 1, 4, 1, 0, 2, 1, 1, 4, 0, 4, 3,  , 3, 3, 3, 0, 3, 1, 1, 0, 5, 5, 1, 0, 2, 4, 4, 1, 1, 1, 4, 1, 0, 1, 2, 1, 0, 119
Eb major (3b), 1, 2, 1,  , 1, 2, 1, 3, 3, 3, 1, 1, 0, 3, 1, 1, 3, 3, 3, 0, 3, 6, 2, 2, 1, 1, 1, 2, 1, 4, 1, 0, 2, 1, 1, 4, 0, 4, 3,  , 3, 3, 3, 0, 3, 1, 1, 0, 5, 5, 1, 0, 2, 4, 4, 1, 1, 1, 4, 1, 0, 1, 2, 1, 0, 119
A major (3#), 2, 1, 1,  , 2, 1, 1, 2, 2, 2, 1, 1, 0, 4, 2, 1, 4, 2, 2, 0, 2, 7, 1, 3, 1, 1, 1, 3, 1, 3, 1, 0, 2, 2, 2, 3, 0, 3, 5,  , 2, 4, 2, 0, 2, 2, 2, 0, 4, 4, 1, 0, 1, 4, 3, 2, 1, 1, 3, 2, 0, 1, 3, 2, 0, 118
C minor (3b), 1, 2, 2,  , 1, 2, 2, 5, 5, 5, 2, 1, 0, 2, 2, 1, 5, 3, 4, 1, 4, 5, 3, 2, 1, 1, 1, 3, 1, 5, 1, 0, 3, 2, 2, 4, 0, 3, 2,  , 4, 5, 5, 1, 2, 2, 1, 0, 4, 7, 2, 1, 3, 3, 5, 2, 1, 2, 3, 2, 0, 2, 3, 1, 0, 150
F# minor (3#), 2, 2, 1,  , 2, 2, 1, 4, 3, 4, 2, 1, 0, 3, 3, 1, 6, 3, 4, 0, 4, 5, 1, 4, 1, 1, 1, 4, 1, 3, 1, 0, 3, 2, 2, 3, 0, 4, 4,  , 2, 6, 3, 0, 3, 3, 2, 0, 4, 6, 2, 0, 1, 5, 3, 3, 1, 1, 4, 2, 0, 1, 4, 2, 0, 146
C minor mel (3b), 2, 3, 2,  , 1, 3, 2, 6, 5, 6, 3, 1, 0, 2, 3, 1, 6, 4, 5, 1, 5, 6, 4, 3, 2, 1, 2, 4, 1, 3, 1, 0, 4, 2, 3, 4, 0, 4, 2,  , 3, 6, 5, 1, 2, 3, 2, 0, 3, 8, 3, 1, 3, 4, 5, 3, 1, 2, 3, 2, 0, 3, 4, 2, 0, 176
F# minor mel (3#), 1, 2, 1,  , 1, 2, 1, 3, 3, 3, 1, 1, 0, 3, 1, 1, 3, 3, 3, 0, 3, 6, 2, 2, 1, 1, 1, 2, 1, 4, 1, 0, 2, 1, 1, 4, 0, 4, 3,  , 3, 3, 3, 0, 3, 1, 1, 0, 5, 5, 1, 0, 2, 4, 4, 1, 1, 1, 4, 1, 0, 1, 2, 1, 0, 119
Eb major blues (3b), 2, 3, 1,  , 1, 3, 1, 5, 4, 5, 2, 1, 0, 3, 2, 1, 5, 4, 5, 0, 4, 5, 3, 3, 2, 1, 2, 3, 1, 4, 1, 0, 3, 1, 2, 5, 0, 5, 3,  , 3, 5, 4, 0, 3, 2, 2, 0, 4, 7, 2, 0, 2, 5, 4, 2, 1, 1, 4, 1, 0, 2, 3, 2, 0, 155
