 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 3, 0, 16
A minor (0), 2, 2, 1, 1, 2, 2, 1, 2, 2, 3, 2, 1, 2, 3, 1, 3, 0, 30
A minor mel (0), 2, 3, 1, 1, 2, 3, 1, 3, 2, 4, 3, 1, 2, 4, 2, 2, 1, 37
C major blues (0), 1, 2, 0, 0, 1, 2, 0, 2, 1, 3, 2, 0, 1, 3, 2, 3, 1, 24
A minor blues (0), 1, 2, 0, 0, 1, 2, 0, 2, 1, 3, 2, 0, 1, 3, 2, 3, 1, 24
C dorian (0), 1, 2, 0, 0, 1, 2, 0, 2, 1, 3, 2, 0, 1, 3, 2, 2, 1, 23
C phrygian (0), 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 3, 0, 14
C lydian (0), 1, 2, 0, 0, 1, 2, 0, 2, 1, 3, 2, 0, 1, 3, 2, 2, 1, 23
C mixolydian (0), 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 3, 0, 14
C aeolian (0), 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 3, 0, 16
C locrian (0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2
F major (1b), 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 2, 0, 13
G major (1#), 1, 2, 0, 0, 1, 2, 0, 2, 1, 3, 2, 0, 1, 3, 2, 2, 1, 23
D minor (1b), 1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 1, 0, 2, 1, 1, 4, 0, 17
E minor (1#), 0, 1, 0, 0, 0, 1, 0, 1, 0, 2, 1, 0, 0, 2, 1, 1, 1, 11
D minor mel (1b), 1, 1, 0, 0, 1, 1, 0, 1, 2, 2, 1, 0, 2, 2, 1, 4, 0, 19
E minor mel (1#), 0, 1, 0, 0, 0, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 2, 1, 14
F major blues (1b), 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 2, 0, 15
G major blues (1#), 1, 2, 0, 0, 1, 2, 0, 2, 2, 3, 2, 0, 2, 3, 2, 4, 1, 27
D minor blues (1b), 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 3, 0, 16
E minor blues (1#), 1, 2, 0, 0, 1, 2, 0, 2, 2, 3, 2, 0, 2, 3, 2, 4, 1, 27
F dorian (1b), 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 2, 0, 15
G dorian (1#), 1, 2, 0, 0, 1, 2, 0, 2, 2, 3, 2, 0, 2, 3, 2, 3, 1, 26
F phrygian (1b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
G phrygian (1#), 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 3, 0, 16
F lydian (1b), 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 2, 0, 15
G lydian (1#), 1, 2, 0, 0, 1, 2, 0, 2, 2, 3, 2, 0, 2, 3, 2, 3, 1, 26
F mixolydian (1b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
G mixolydian (1#), 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 3, 0, 16
F aeolian (1b), 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 2, 0, 13
G aeolian (1#), 1, 2, 0, 0, 1, 2, 0, 2, 1, 3, 2, 0, 1, 3, 2, 2, 1, 23
F locrian (1b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
G locrian (1#), 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 3, 0, 14
Bb major (2b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
D major (2#), 1, 2, 0, 0, 1, 2, 0, 2, 2, 3, 2, 0, 2, 3, 2, 3, 1, 26
G minor (2b), 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 9
B minor (2#), 1, 2, 0, 0, 1, 2, 0, 2, 2, 2, 2, 0, 2, 2, 2, 3, 1, 24
G minor mel (2b), 1, 2, 0, 0, 1, 2, 0, 2, 1, 2, 2, 0, 1, 2, 2, 2, 1, 21
B minor mel (2#), 2, 3, 1, 1, 2, 3, 1, 3, 3, 3, 3, 1, 3, 3, 2, 3, 1, 38
Bb major blues (2b), 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 2, 0, 13
D major blues (2#), 2, 3, 1, 1, 2, 3, 1, 3, 3, 4, 3, 1, 3, 4, 2, 4, 1, 41
G minor blues (2b), 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 3, 0, 14
B minor blues (2#), 2, 3, 1, 1, 2, 3, 1, 3, 3, 4, 3, 1, 3, 4, 2, 4, 1, 41
Bb dorian (2b), 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 2, 0, 13
D dorian (2#), 2, 3, 1, 1, 2, 3, 1, 3, 3, 4, 3, 1, 3, 4, 2, 3, 1, 40
Bb phrygian (2b), 2, 2, 1, 1, 2, 2, 1, 2, 2, 3, 2, 1, 2, 3, 1, 3, 0, 30
D phrygian (2#), 2, 3, 1, 1, 2, 3, 1, 3, 2, 4, 3, 1, 2, 4, 2, 2, 1, 37
Bb lydian (2b), 1, 2, 0, 0, 1, 2, 0, 2, 1, 3, 2, 0, 1, 3, 2, 3, 1, 24
D lydian (2#), 1, 2, 0, 0, 1, 2, 0, 2, 1, 3, 2, 0, 1, 3, 2, 3, 1, 24
