 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, rowcost
C major (0), 1, 2, 4, 1, 3, 3, 2, 3, 3, 2, 2, 3, 2, 1, 32
A minor (0), 2, 2, 4, 0, 2, 2, 2, 3, 2, 1, 1, 2, 3, 2, 28
A minor mel (0), 3, 2, 5, 0, 1, 3, 2, 3, 2, 1, 1, 1, 2, 3, 29
C major blues (0), 2, 2, 6, 2, 4, 4, 4, 3, 3, 2, 2, 4, 2, 2, 42
A minor blues (0), 2, 3, 7, 2, 4, 4, 4, 4, 3, 2, 2, 4, 2, 2, 45
C dorian (0), 2, 2, 5, 1, 2, 4, 2, 3, 3, 2, 2, 2, 1, 2, 33
C phrygian (0), 1, 2, 3, 2, 4, 3, 3, 2, 2, 2, 2, 4, 2, 1, 33
C lydian (0), 2, 2, 5, 1, 2, 4, 2, 3, 3, 2, 2, 2, 1, 2, 33
C mixolydian (0), 1, 2, 3, 2, 4, 3, 3, 2, 2, 2, 2, 4, 2, 1, 33
C aeolian (0), 1, 2, 4, 1, 3, 3, 2, 3, 3, 2, 2, 3, 2, 1, 32
C locrian (0), 0, 1, 4, 2, 4, 2, 4, 1, 2, 2, 1, 3, 2, 0, 28
F major (1b), 1, 2, 3, 2, 4, 3, 3, 2, 2, 2, 2, 4, 3, 1, 34
G major (1#), 2, 2, 5, 1, 2, 4, 2, 3, 3, 2, 2, 2, 1, 2, 33
D minor (1b), 1, 3, 3, 3, 5, 4, 3, 2, 1, 1, 2, 4, 2, 1, 35
E minor (1#), 1, 2, 5, 1, 2, 3, 1, 3, 4, 2, 3, 1, 1, 1, 30
D minor mel (1b), 1, 3, 4, 2, 4, 4, 2, 3, 2, 1, 2, 3, 2, 1, 34
E minor mel (1#), 1, 2, 4, 2, 3, 4, 1, 3, 3, 1, 3, 1, 1, 1, 30
F major blues (1b), 1, 2, 5, 2, 4, 3, 4, 3, 3, 2, 3, 4, 3, 1, 40
G major blues (1#), 2, 2, 5, 3, 5, 5, 3, 3, 3, 2, 2, 4, 2, 2, 43
D minor blues (1b), 1, 3, 6, 2, 4, 3, 4, 3, 3, 2, 3, 4, 2, 1, 41
E minor blues (1#), 2, 3, 6, 3, 5, 5, 3, 4, 3, 2, 2, 4, 2, 2, 46
F dorian (1b), 1, 2, 4, 1, 3, 3, 2, 3, 3, 2, 2, 3, 3, 1, 33
G dorian (1#), 2, 2, 4, 2, 3, 5, 2, 3, 2, 1, 2, 2, 1, 2, 33
F phrygian (1b), 0, 1, 4, 2, 4, 2, 4, 1, 2, 2, 1, 3, 3, 0, 29
G phrygian (1#), 1, 2, 4, 1, 3, 3, 2, 3, 3, 2, 2, 3, 2, 1, 32
F lydian (1b), 1, 2, 4, 1, 3, 3, 2, 3, 3, 2, 2, 3, 3, 1, 33
G lydian (1#), 2, 2, 4, 2, 3, 5, 2, 3, 2, 1, 2, 2, 1, 2, 33
F mixolydian (1b), 0, 1, 4, 2, 4, 2, 4, 1, 2, 2, 1, 3, 3, 0, 29
G mixolydian (1#), 1, 2, 4, 1, 3, 3, 2, 3, 3, 2, 2, 3, 2, 1, 32
F aeolian (1b), 1, 2, 3, 2, 4, 3, 3, 2, 2, 2, 2, 4, 3, 1, 34
G aeolian (1#), 2, 2, 5, 1, 2, 4, 2, 3, 3, 2, 2, 2, 1, 2, 33
F locrian (1b), 0, 0, 3, 1, 3, 1, 4, 0, 1, 1, 2, 2, 2, 0, 20
G locrian (1#), 1, 2, 3, 2, 4, 3, 3, 2, 2, 2, 2, 4, 2, 1, 33
Bb major (2b), 0, 1, 4, 5, 4, 2, 3, 1, 2, 2, 1, 3, 3, 0, 31
D major (2#), 2, 3, 5, 2, 3, 5, 2, 3, 2, 1, 2, 2, 1, 2, 35
G minor (2b), 1, 1, 5, 2, 3, 3, 4, 1, 2, 2, 1, 2, 1, 1, 29
B minor (2#), 2, 3, 4, 2, 2, 5, 1, 3, 1, 1, 3, 2, 1, 2, 32
G minor mel (2b), 2, 2, 4, 2, 3, 4, 3, 2, 2, 2, 2, 3, 1, 2, 34
B minor mel (2#), 3, 2, 3, 1, 1, 4, 1, 2, 0, 0, 2, 1, 2, 3, 25
Bb major blues (2b), 1, 2, 4, 5, 4, 3, 3, 3, 3, 2, 4, 4, 3, 1, 42
D major blues (2#), 3, 3, 6, 2, 4, 5, 2, 3, 3, 2, 2, 3, 3, 3, 44
G minor blues (2b), 1, 2, 4, 2, 4, 3, 4, 3, 3, 2, 4, 4, 2, 1, 39
B minor blues (2#), 3, 3, 6, 2, 4, 5, 2, 4, 3, 2, 2, 3, 3, 3, 45
Bb dorian (2b), 1, 2, 3, 5, 4, 3, 2, 2, 2, 2, 2, 4, 3, 1, 36
D dorian (2#), 3, 2, 4, 1, 2, 4, 2, 2, 1, 0, 1, 1, 2, 3, 28
Bb phrygian (2b), 2, 2, 4, 0, 2, 2, 2, 3, 2, 1, 1, 2, 3, 2, 28
D phrygian (2#), 3, 2, 5, 0, 1, 3, 2, 3, 2, 1, 1, 1, 2, 3, 29
Bb lydian (2b), 2, 2, 6, 2, 4, 4, 4, 3, 3, 2, 2, 4, 2, 2, 42
D lydian (2#), 2, 3, 7, 2, 4, 4, 4, 4, 3, 2, 2, 4, 2, 2, 45
Bb mixolydian (2b), 2, 2, 5, 1, 2, 4, 2, 3, 3, 2, 2, 2, 1, 2, 33
D mixolydian (2#), 1, 2, 3, 2, 4, 3, 3, 2, 2, 2, 2, 4, 2, 1, 33
Bb aeolian (2b), 2, 2, 5, 1, 2, 4, 2, 3, 3, 2, 2, 2, 1, 2, 33
