 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, rowcost
C major (0), 0, 0, 0, 1, 2, 3, 2, 2, 3, 3, 0, 0, 0, 1, 1, 1, 1, 1, 21
A minor (0), 1, 1, 0, 0, 3, 2, 3, 1, 2, 3, 0, 0, 0, 1, 1, 1, 1, 2, 22
A minor mel (0), 1, 2, 1, 1, 4, 3, 4, 2, 3, 4, 0, 0, 0, 0, 0, 0, 0, 1, 26
C major blues (0), 1, 1, 2, 2, 3, 4, 3, 3, 4, 4, 0, 0, 0, 1, 2, 2, 3, 3, 38
A minor blues (0), 1, 1, 2, 2, 3, 4, 3, 3, 4, 5, 0, 0, 0, 1, 2, 2, 3, 3, 39
C dorian (0), 0, 1, 1, 2, 3, 4, 3, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 25
C phrygian (0), 0, 0, 0, 1, 1, 2, 1, 1, 2, 3, 0, 0, 0, 1, 1, 2, 2, 2, 19
C lydian (0), 0, 1, 1, 2, 3, 4, 3, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 25
C mixolydian (0), 0, 0, 0, 1, 1, 2, 1, 1, 2, 3, 0, 0, 0, 1, 1, 2, 2, 2, 19
C aeolian (0), 0, 0, 0, 1, 2, 3, 2, 2, 3, 3, 0, 0, 0, 1, 1, 1, 1, 1, 21
C locrian (0), 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 0, 1, 2, 2, 3, 3, 22
F major (1b), 0, 0, 0, 1, 1, 2, 1, 1, 2, 3, 0, 0, 0, 1, 1, 2, 2, 3, 20
G major (1#), 0, 1, 1, 2, 3, 4, 3, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 25
D minor (1b), 1, 0, 1, 2, 1, 1, 1, 1, 2, 4, 1, 1, 1, 2, 1, 2, 2, 2, 26
E minor (1#), 0, 2, 1, 2, 3, 4, 3, 3, 3, 4, 1, 1, 1, 1, 1, 1, 0, 0, 31
D minor mel (1b), 1, 0, 1, 2, 2, 2, 2, 2, 3, 4, 1, 1, 1, 2, 1, 1, 1, 1, 28
E minor mel (1#), 1, 2, 2, 3, 3, 3, 3, 3, 3, 5, 2, 2, 2, 2, 1, 1, 0, 0, 38
F major blues (1b), 1, 0, 1, 1, 2, 3, 2, 2, 3, 3, 1, 1, 1, 2, 3, 3, 4, 5, 38
G major blues (1#), 1, 1, 2, 3, 3, 4, 3, 3, 4, 5, 1, 1, 1, 2, 1, 2, 2, 2, 41
D minor blues (1b), 1, 0, 1, 1, 2, 3, 2, 2, 3, 4, 1, 1, 1, 2, 3, 3, 4, 4, 38
E minor blues (1#), 1, 1, 2, 3, 3, 4, 3, 3, 4, 6, 1, 1, 1, 2, 1, 2, 2, 2, 42
F dorian (1b), 0, 0, 0, 1, 2, 3, 2, 2, 3, 3, 0, 0, 0, 1, 1, 1, 1, 2, 22
G dorian (1#), 1, 1, 2, 3, 3, 3, 3, 3, 4, 5, 1, 1, 1, 1, 0, 0, 0, 0, 32
F phrygian (1b), 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 0, 1, 2, 2, 3, 4, 23
G phrygian (1#), 0, 0, 0, 1, 2, 3, 2, 2, 3, 3, 0, 0, 0, 1, 1, 1, 1, 1, 21
F lydian (1b), 0, 0, 0, 1, 2, 3, 2, 2, 3, 3, 0, 0, 0, 1, 1, 1, 1, 2, 22
G lydian (1#), 1, 1, 2, 3, 3, 3, 3, 3, 4, 5, 1, 1, 1, 1, 0, 0, 0, 0, 32
F mixolydian (1b), 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 0, 1, 2, 2, 3, 4, 23
G mixolydian (1#), 0, 0, 0, 1, 2, 3, 2, 2, 3, 3, 0, 0, 0, 1, 1, 1, 1, 1, 21
F aeolian (1b), 0, 0, 0, 1, 1, 2, 1, 1, 2, 3, 0, 0, 0, 1, 1, 2, 2, 3, 20
G aeolian (1#), 0, 1, 1, 2, 3, 4, 3, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 25
F locrian (1b), 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 2, 3, 3, 4, 5, 24
G locrian (1#), 0, 0, 0, 1, 1, 2, 1, 1, 2, 3, 0, 0, 0, 1, 1, 2, 2, 2, 19
Bb major (2b), 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 0, 1, 2, 2, 3, 4, 23
D major (2#), 1, 1, 2, 3, 3, 3, 3, 3, 4, 5, 1, 1, 1, 1, 0, 0, 0, 0, 32
G minor (2b), 1, 1, 2, 2, 2, 3, 2, 2, 2, 3, 0, 0, 0, 0, 1, 1, 2, 2, 26
B minor (2#), 1, 1, 2, 3, 2, 2, 2, 2, 3, 7, 2, 2, 2, 2, 1, 1, 1, 1, 37
G minor mel (2b), 0, 1, 1, 2, 2, 3, 2, 2, 3, 4, 0, 0, 0, 0, 0, 1, 1, 1, 23
B minor mel (2#), 2, 2, 2, 2, 3, 1, 3, 1, 2, 6, 2, 2, 2, 2, 1, 1, 1, 2, 37
Bb major blues (2b), 1, 1, 1, 1, 1, 2, 1, 1, 2, 4, 2, 2, 2, 3, 4, 4, 4, 5, 41
D major blues (2#), 2, 2, 2, 3, 4, 4, 4, 3, 4, 5, 1, 1, 1, 2, 1, 1, 1, 2, 43
G minor blues (2b), 1, 1, 1, 1, 1, 2, 1, 1, 2, 4, 2, 2, 2, 3, 4, 4, 4, 4, 40
B minor blues (2#), 2, 2, 2, 3, 4, 4, 4, 3, 4, 6, 1, 1, 1, 2, 1, 1, 1, 2, 44
Bb dorian (2b), 0, 0, 0, 1, 1, 2, 1, 1, 2, 3, 0, 0, 0, 1, 1, 2, 2, 3, 20
D dorian (2#), 2, 2, 2, 2, 4, 2, 4, 2, 3, 4, 1, 1, 1, 1, 0, 0, 0, 1, 32
Bb phrygian (2b), 1, 1, 0, 0, 3, 2, 3, 1, 2, 3, 0, 0, 0, 1, 1, 1, 1, 2, 22
D phrygian (2#), 1, 2, 1, 1, 4, 3, 4, 2, 3, 4, 0, 0, 0, 0, 0, 0, 0, 1, 26
Bb lydian (2b), 1, 1, 2, 2, 3, 4, 3, 3, 4, 4, 0, 0, 0, 1, 2, 2, 3, 3, 38
D lydian (2#), 1, 1, 2, 2, 3, 4, 3, 3, 4, 5, 0, 0, 0, 1, 2, 2, 3, 3, 39
Bb mixolydian (2b), 0, 1, 1, 2, 3, 4, 3, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 25
D mixolydian (2#), 0, 0, 0, 1, 1, 2, 1, 1, 2, 3, 0, 0, 0, 1, 1, 2, 2, 2, 19
Bb aeolian (2b), 0, 1, 1, 2, 3, 4, 3, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 25
D aeolian (2#), 0, 0, 0, 1, 1, 2, 1, 1, 2, 3, 0, 0, 0, 1, 1, 2, 2, 2, 19
Bb locrian (2b), 0, 0, 0, 1, 2, 3, 2, 2, 3, 3, 0, 0, 0, 1, 1, 1, 1, 1, 21
D locrian (2#), 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 0, 1, 2, 2, 3, 3, 22
Eb major (3b), 0, 0, 0, 1, 1, 2, 1, 1, 2, 3, 0, 0, 0, 1, 1, 2, 2, 3, 20
A major (3#), 0, 1, 1, 2, 3, 4, 3, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 25
C minor (3b), 1, 0, 1, 2, 1, 1, 1, 1, 2, 4, 1, 1, 1, 2, 1, 2, 2, 2, 26
