 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, rowcost
C major (0),  ,  ,  ,  , 0/0, 2/1, 0/0, 0/0, 1/1, 4/1, 1/0, 0/0, 1/0, 1/1, 1/0, 0/0, 1/1, 0/0,  ,  , 0/0, 1/1, 1/0, 1/0, 1/2, 3/2, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 2/0, 1/0,  ,  , 1/0, 2/2, 2/2, 1/0, 1/3, 4/4, 1/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 40/21
A minor (0),  ,  ,  ,  , 0/0, 3/2, 0/0, 0/0, 1/0, 6/3, 1/0, 0/0, 1/0, 1/1, 1/2, 0/0, 2/1, 0/0,  ,  , 0/0, 1/1, 1/0, 1/0, 2/1, 4/1, 1/0, 0/0, 1/0, 1/1, 0/0, 0/0, 2/3, 1/1,  ,  , 1/0, 2/1, 2/0, 1/0, 1/0, 5/2, 1/0, 0/0, 1/0, 1/1, 0/0, 2/1, 0/0, 0/0, 48/22
F major (1b),  ,  ,  ,  , 0/0, 1/0, 0/0, 0/0, 1/0, 3/1, 1/0, 0/0, 0/0, 0/0, 1/2, 0/0, 1/0, 0/0,  ,  , 0/0, 2/2, 0/0, 0/0, 1/0, 2/1, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/0, 1/0,  ,  , 1/0, 3/3, 2/1, 1/0, 1/0, 3/1, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/2, 0/0, 31/13
G major (1#),  ,  ,  ,  , 0/0, 2/0, 0/0, 0/0, 1/0, 4/2, 0/0, 1/0, 1/0, 1/1, 0/0, 0/0, 1/0, 0/0,  ,  , 0/0, 1/1, 1/0, 1/0, 2/1, 2/1, 0/0, 1/0, 1/0, 1/0, 1/1, 1/0, 2/0, 1/0,  ,  , 1/0, 2/1, 1/2, 0/0, 1/0, 3/2, 0/0, 1/0, 1/0, 1/1, 1/1, 1/0, 0/0, 0/0, 39/14
D minor (1b),  ,  ,  ,  , 0/0, 1/0, 0/0, 0/0, 1/0, 5/3, 1/0, 0/0, 0/0, 0/1, 1/0, 0/0, 1/0, 0/0,  ,  , 0/0, 2/1, 0/0, 0/0, 2/1, 3/1, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/2, 1/1,  ,  , 1/0, 3/1, 2/0, 1/0, 1/0, 4/2, 1/0, 0/0, 0/0, 0/1, 0/0, 1/0, 1/2, 0/0, 36/16
E minor (1#),  ,  ,  ,  , 0/0, 4/2, 0/0, 0/0, 1/0, 5/2, 0/0, 1/1, 1/0, 1/1, 0/0, 0/0, 2/2, 0/0,  ,  , 0/0, 1/1, 1/1, 1/1, 2/1, 3/2, 0/0, 1/0, 1/1, 1/1, 1/1, 1/0, 2/3, 1/0,  ,  , 1/0, 2/1, 1/0, 0/0, 1/0, 4/1, 0/0, 1/1, 1/0, 1/1, 1/0, 2/2, 0/0, 0/0, 46/26
Bb major (2b),  ,  ,  ,  , 0/0, 0/0, 0/0, 0/0, 1/0, 3/1, 1/0, 0/0, 0/0, 1/1, 2/2, 0/0, 0/0, 0/0,  ,  , 0/0, 2/2, 0/0, 0/0, 1/0, 2/2, 1/1, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0,  ,  , 1/0, 3/3, 2/0, 1/0, 1/0, 3/1, 1/0, 0/0, 0/0, 1/1, 1/0, 0/0, 3/2, 0/0, 34/16
D major (2#),  ,  ,  ,  , 0/0, 3/2, 0/0, 0/0, 0/0, 4/3, 0/0, 1/1, 1/1, 2/2, 0/0, 0/0, 2/3, 1/0,  ,  , 0/0, 2/1, 1/0, 1/0, 1/1, 4/1, 0/0, 1/0, 1/0, 2/0, 1/0, 1/0, 2/2, 1/0,  ,  , 0/0, 1/1, 1/0, 0/0, 0/0, 3/2, 0/0, 1/0, 1/0, 2/1, 1/0, 1/0, 1/0, 0/0, 44/21
G minor (2b),  ,  ,  ,  , 0/0, 0/0, 0/0, 0/0, 1/0, 4/2, 1/0, 0/0, 0/0, 1/1, 2/2, 0/0, 0/0, 0/0,  ,  , 0/0, 3/1, 0/0, 0/0, 2/1, 2/1, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0,  ,  , 1/1, 3/2, 2/2, 1/0, 1/0, 3/2, 1/0, 0/0, 0/0, 1/1, 1/0, 0/0, 1/0, 0/0, 35/16
B minor (2#),  ,  ,  ,  , 0/0, 5/3, 0/0, 0/0, 0/0, 4/2, 0/0, 1/0, 1/0, 2/1, 0/0, 0/0, 3/2, 1/0,  ,  , 0/0, 2/1, 1/0, 1/0, 1/1, 4/2, 0/0, 1/0, 1/0, 2/1, 2/1, 1/1, 2/0, 1/0,  ,  , 0/0, 1/0, 1/0, 0/0, 0/0, 3/1, 0/0, 1/0, 1/0, 2/1, 2/1, 2/1, 1/1, 0/0, 50/20
