 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, rowcost
C major (0), 0/0, 1/0, 0/0, 0/0, 2/1, 0/0, 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 6/2
A minor (0), 0/0, 1/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 5/1
F major (1b), 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 1/0, 1/0, 1/1, 0/0, 0/0, 0/0, 5/2
G major (1#), 0/0, 1/0, 0/0, 1/0, 2/1, 0/0, 1/0, 1/1, 0/0, 2/0, 0/0, 1/0, 0/0, 9/2
D minor (1b), 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 4/0
E minor (1#), 0/0, 1/1, 0/0, 1/0, 2/1, 0/0, 1/0, 1/0, 0/0, 2/0, 0/0, 1/1, 0/0, 9/3
Bb major (2b), 1/0, 0/0, 0/0, 0/0, 3/1, 0/0, 0/0, 1/0, 1/1, 1/1, 1/0, 0/0, 0/0, 8/3
D major (2#), 0/0, 2/0, 0/0, 1/0, 1/0, 1/0, 1/0, 2/0, 0/0, 1/1, 0/0, 2/2, 0/0, 11/3
G minor (2b), 1/0, 0/0, 0/0, 0/0, 2/0, 0/0, 0/0, 1/1, 1/0, 1/0, 1/0, 0/0, 0/0, 7/1
B minor (2#), 0/0, 2/1, 0/0, 1/1, 1/1, 1/0, 1/1, 2/0, 0/0, 1/0, 0/0, 2/1, 0/0, 11/5
Eb major (3b), 1/1, 0/0, 1/0, 0/0, 5/2, 1/0, 0/0, 0/0, 2/1, 1/0, 1/1, 0/0, 1/0, 13/5
A major (3#), 0/0, 2/1, 1/0, 1/0, 1/1, 1/0, 2/0, 1/0, 0/0, 1/0, 0/0, 2/1, 0/0, 12/3
C minor (3b), 1/0, 0/0, 1/0, 0/0, 4/1, 1/0, 0/0, 0/0, 2/0, 1/0, 1/0, 0/0, 1/0, 12/1
F# minor (3#), 0/0, 2/1, 1/0, 1/0, 1/1, 1/1, 2/2, 1/1, 0/0, 1/0, 0/0, 2/1, 0/0, 12/7
Ab major (4b), 2/1, 0/0, 2/2, 1/0, 7/4, 2/2, 0/0, 0/0, 3/3, 0/0, 2/1, 0/0, 2/2, 21/15
E major (4#), 1/0, 2/1, 1/0, 2/0, 2/1, 1/0, 2/1, 1/0, 0/0, 1/1, 1/0, 2/1, 0/0, 16/5
F minor (4b), 2/0, 0/0, 1/0, 1/0, 5/1, 1/0, 0/0, 0/0, 2/0, 0/0, 2/0, 0/0, 1/0, 15/1
C# minor (4#), 1/1, 2/0, 2/2, 2/0, 2/1, 1/0, 3/2, 1/0, 0/0, 1/0, 1/0, 2/0, 0/0, 18/6
Db major (5b), 3/3, 0/0, 3/2, 2/2, 6/8, 2/2, 1/0, 0/0, 3/3, 0/0, 3/3, 0/0, 2/2, 25/25
B major (5#), 1/0, 1/1, 2/0, 2/0, 3/2, 2/0, 2/1, 1/1, 1/0, 1/0, 1/0, 1/1, 1/0, 19/6
Bb minor (5b), 2/0, 0/0, 2/0, 1/0, 5/1, 1/0, 1/0, 0/0, 2/1, 0/0, 2/0, 0/0, 1/0, 17/2
G# minor (5#), 2/2, 1/1, 3/1, 3/0, 7/5, 2/0, 3/1, 1/0, 1/0, 1/0, 2/2, 1/1, 1/0, 28/13
Gb major (6b), 3/3, 1/0, 4/4, 2/2, 6/8, 3/2, 2/2, 1/0, 2/2, 0/0, 3/3, 1/0, 2/2, 30/28
F# major (6#), 2/0, 1/1, 2/1, 1/0, 4/1, 2/0, 1/1, 1/0, 1/0, 0/0, 2/0, 1/1, 1/0, 19/5
Eb minor (6b), 2/1, 1/0, 2/0, 1/0, 6/2, 2/0, 1/0, 1/0, 1/1, 0/0, 2/1, 1/0, 1/0, 21/5
D# minor (6#), 3/1, 1/0, 4/2, 2/0, 9/7, 3/2, 2/1, 1/0, 2/2, 0/0, 3/1, 1/0, 2/0, 33/16
Cb major (7b), 2/2, 2/2, 4/4, 3/2, 5/8, 4/4, 3/2, 2/2, 2/2, 1/0, 2/3, 2/2, 2/2, 34/35
C# major (7#), 2/1, 0/0, 3/2, 1/0, 4/3, 1/0, 2/2, 0/0, 2/0, 0/0, 2/1, 0/0, 1/0, 18/9
Ab minor (7b), 1/1, 1/0, 3/2, 2/0, 6/5, 3/2, 2/0, 1/0, 2/2, 1/0, 1/1, 1/0, 2/2, 26/15
A# minor (7#), 4/2, 0/0, 4/2, 2/0, 9/9, 2/2, 2/1, 0/0, 3/2, 0/0, 4/2, 0/0, 2/0, 32/20
