 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, rowcost
C major (0), 0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0, 1, 0, 6
A minor (0), 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 6
F major (1b), 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 0, 0, 0, 5
G major (1#), 0, 1, 0, 1, 2, 0, 1, 1, 0, 2, 0, 1, 0, 9
D minor (1b), 0, 1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 1, 0, 6
E minor (1#), 1, 1, 0, 2, 3, 0, 1, 1, 0, 2, 1, 1, 0, 13
Bb major (2b), 1, 0, 0, 0, 3, 0, 0, 1, 1, 1, 1, 0, 0, 8
D major (2#), 0, 2, 0, 1, 1, 1, 1, 2, 0, 1, 0, 2, 0, 11
G minor (2b), 1, 0, 0, 1, 3, 0, 1, 1, 1, 2, 1, 0, 0, 11
B minor (2#), 0, 1, 1, 1, 2, 2, 1, 2, 1, 1, 0, 1, 1, 14
Eb major (3b), 1, 0, 1, 0, 5, 1, 0, 0, 2, 1, 1, 0, 1, 13
A major (3#), 0, 2, 1, 1, 1, 1, 2, 1, 0, 1, 0, 2, 0, 12
C minor (3b), 1, 1, 1, 0, 4, 1, 0, 0, 1, 1, 1, 1, 1, 13
F# minor (3#), 1, 2, 1, 0, 2, 1, 1, 1, 0, 0, 1, 2, 0, 12
Ab major (4b), 2, 0, 2, 1, 7, 2, 0, 0, 3, 0, 2, 0, 2, 21
E major (4#), 1, 2, 1, 2, 2, 1, 2, 1, 0, 1, 1, 2, 0, 16
F minor (4b), 1, 0, 1, 1, 4, 1, 0, 0, 2, 0, 1, 0, 1, 12
C# minor (4#), 1, 1, 2, 2, 2, 0, 3, 0, 1, 1, 1, 1, 0, 15
Db major (5b), 3, 0, 3, 2, 6, 2, 1, 0, 3, 0, 3, 0, 2, 25
B major (5#), 1, 1, 2, 2, 3, 2, 2, 1, 1, 1, 1, 1, 1, 19
Bb minor (5b), 2, 0, 1, 1, 4, 0, 1, 1, 1, 0, 2, 0, 0, 13
G# minor (5#), 2, 1, 1, 3, 7, 2, 1, 1, 1, 1, 2, 1, 1, 24
Gb major (6b), 3, 1, 4, 2, 6, 3, 2, 1, 2, 0, 3, 1, 2, 30
F# major (6#), 2, 1, 2, 1, 4, 2, 1, 1, 1, 0, 2, 1, 1, 19
Eb minor (6b), 1, 1, 2, 0, 5, 2, 1, 1, 1, 1, 1, 1, 1, 18
D# minor (6#), 1, 1, 4, 0, 7, 3, 2, 1, 2, 1, 1, 1, 2, 26
Cb major (7b), 2, 2, 4, 3, 5, 4, 3, 2, 2, 1, 2, 2, 2, 34
C# major (7#), 2, 0, 3, 1, 4, 1, 2, 0, 2, 0, 2, 0, 1, 18
Ab minor (7b), 1, 1, 2, 2, 6, 3, 1, 1, 2, 1, 1, 1, 2, 24
A# minor (7#), 4, 0, 2, 2, 7, 0, 2, 1, 1, 0, 4, 0, 0, 23
