 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
C major (0), 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6
A minor (0), 1, 0, 1, 1, 1, 0, 2, 0, 1, 0, 1, 0, 2, 0, 2, 0, 2, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 19
A minor mel (0), 1, 1, 1, 1, 1, 1, 2, 0, 1, 0, 1, 0, 1, 0, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 0, 23
C major blues (0), 1, 3, 2, 1, 2, 3, 1, 1, 1, 0, 1, 0, 3, 0, 2, 0, 2, 1, 2, 3, 2, 1, 2, 3, 3, 0, 0, 40
A minor blues (0), 1, 3, 2, 1, 2, 3, 1, 1, 1, 0, 1, 0, 3, 0, 3, 0, 3, 1, 2, 3, 2, 1, 2, 3, 3, 0, 0, 42
C dorian (0), 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 10
C phrygian (0), 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 2, 1, 0, 0, 17
C lydian (0), 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 10
C mixolydian (0), 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 2, 1, 0, 0, 17
C aeolian (0), 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6
C locrian (0), 1, 2, 2, 1, 2, 2, 1, 1, 1, 0, 1, 0, 3, 0, 2, 0, 2, 1, 2, 2, 2, 1, 2, 2, 2, 0, 0, 35
F major (1b), 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 2, 1, 0, 0, 16
G major (1#), 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 10
D minor (1b), 1, 2, 1, 1, 2, 2, 2, 0, 1, 1, 1, 0, 2, 0, 1, 0, 1, 1, 2, 2, 1, 1, 2, 3, 1, 1, 1, 33
E minor (1#), 0, 1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 2, 2, 0, 0, 15
D minor mel (1b), 1, 1, 0, 1, 1, 1, 2, 0, 1, 1, 1, 0, 2, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 2, 0, 1, 1, 22
E minor mel (1#), 1, 2, 0, 2, 1, 2, 3, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 2, 2, 0, 2, 1, 3, 2, 1, 1, 31
F major blues (1b), 1, 3, 2, 2, 2, 3, 1, 1, 1, 0, 1, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 3, 0, 0, 45
G major blues (1#), 1, 3, 1, 1, 2, 3, 2, 0, 1, 1, 1, 0, 2, 0, 1, 0, 1, 1, 2, 3, 1, 1, 2, 4, 2, 1, 1, 38
D minor blues (1b), 1, 3, 2, 2, 2, 3, 1, 1, 1, 0, 1, 1, 3, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 3, 0, 0, 46
E minor blues (1#), 1, 3, 1, 1, 2, 3, 2, 0, 1, 1, 1, 0, 2, 0, 2, 0, 2, 1, 2, 3, 1, 1, 2, 4, 2, 1, 1, 40
F dorian (1b), 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5
G dorian (1#), 1, 2, 0, 1, 1, 2, 2, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 2, 0, 1, 1, 3, 1, 1, 1, 26
F phrygian (1b), 1, 2, 2, 1, 2, 2, 1, 1, 1, 0, 1, 0, 2, 0, 2, 0, 2, 1, 2, 2, 2, 1, 2, 2, 2, 0, 0, 34
