 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
B minor (2#), 2, 1, 2, 0, 5, 2, 3, 1, 1, 2, 3, 1, 1, 2, 3, 1, 1, 2, 1, 2, 0, 5, 2, 3, 1, 47
G minor mel (2b), 1, 0, 1, 0, 4, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 4, 2, 2, 1, 25
B minor mel (2#), 3, 1, 2, 1, 5, 3, 3, 1, 1, 3, 4, 1, 1, 3, 4, 2, 2, 3, 1, 2, 1, 5, 3, 3, 1, 59
Bb major blues (2b), 2, 1, 1, 2, 1, 1, 2, 1, 1, 5, 1, 1, 0, 5, 1, 2, 2, 2, 1, 1, 2, 1, 1, 2, 1, 40
D major blues (2#), 3, 1, 3, 2, 5, 3, 4, 1, 1, 3, 2, 2, 1, 3, 2, 1, 1, 3, 1, 3, 2, 5, 3, 4, 1, 60
G minor blues (2b), 2, 1, 1, 1, 4, 1, 3, 1, 1, 4, 1, 1, 0, 4, 1, 2, 2, 2, 1, 1, 1, 4, 1, 3, 1, 44
B minor blues (2#), 3, 1, 3, 2, 5, 3, 4, 1, 1, 3, 3, 2, 1, 3, 3, 1, 1, 3, 1, 3, 2, 5, 3, 4, 1, 62
Bb dorian (2b), 1, 0, 1, 2, 1, 1, 2, 1, 1, 2, 0, 0, 0, 2, 0, 1, 1, 1, 0, 1, 2, 1, 1, 2, 1, 25
D dorian (2#), 3, 1, 3, 1, 5, 3, 3, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 3, 1, 3, 1, 5, 3, 3, 1, 54
Bb phrygian (2b), 2, 0, 2, 2, 4, 2, 3, 1, 1, 3, 2, 1, 0, 3, 2, 1, 1, 2, 0, 2, 2, 4, 2, 3, 1, 46
D phrygian (2#), 2, 0, 2, 1, 4, 3, 2, 1, 1, 2, 2, 1, 0, 2, 2, 1, 1, 2, 0, 2, 1, 4, 3, 2, 1, 42
Bb lydian (2b), 1, 0, 2, 1, 1, 2, 3, 1, 1, 3, 1, 1, 0, 3, 1, 1, 1, 1, 0, 2, 1, 1, 2, 3, 1, 34
D lydian (2#), 1, 0, 2, 1, 4, 2, 3, 1, 1, 3, 1, 1, 0, 3, 1, 1, 1, 1, 0, 2, 1, 4, 2, 3, 1, 40
Bb mixolydian (2b), 1, 0, 2, 0, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 2, 0, 1, 2, 2, 1, 24
D mixolydian (2#), 1, 0, 1, 1, 1, 1, 3, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 3, 1, 23
Bb aeolian (2b), 1, 0, 2, 0, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 2, 0, 1, 2, 2, 1, 24
D aeolian (2#), 1, 0, 1, 1, 1, 1, 3, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 3, 1, 23
Bb locrian (2b), 1, 0, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 0, 2, 1, 0, 0, 1, 0, 2, 1, 1, 1, 3, 1, 28
D locrian (2#), 0, 0, 0, 1, 1, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 0, 2, 0, 14
Eb major (3b), 1, 0, 1, 2, 1, 1, 2, 1, 1, 2, 0, 0, 0, 2, 0, 1, 1, 1, 0, 1, 2, 1, 1, 2, 1, 25
A major (3#), 1, 0, 2, 0, 4, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 2, 0, 4, 2, 2, 1, 30
C minor (3b), 2, 1, 2, 1, 5, 1, 4, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 2, 1, 2, 1, 5, 1, 4, 1, 41
F# minor (3#), 2, 1, 1, 0, 4, 1, 1, 0, 0, 2, 2, 2, 0, 2, 2, 0, 0, 2, 1, 1, 0, 4, 1, 1, 0, 30
C minor mel (3b), 0, 0, 1, 1, 1, 0, 2, 0, 0, 3, 1, 1, 0, 3, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 19
F# minor mel (3#), 4, 2, 2, 1, 1, 1, 1, 0, 0, 4, 3, 3, 1, 4, 3, 1, 1, 4, 2, 2, 1, 1, 1, 1, 0, 44
Eb major blues (3b), 1, 0, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 0, 2, 1, 0, 0, 1, 0, 2, 1, 1, 1, 3, 1, 28
A major blues (3#), 2, 0, 2, 2, 4, 2, 3, 1, 1, 3, 2, 1, 0, 3, 2, 1, 1, 2, 0, 2, 2, 4, 2, 3, 1, 46
C minor blues (3b), 2, 0, 2, 1, 4, 3, 2, 1, 1, 2, 2, 1, 0, 2, 2, 1, 1, 2, 0, 2, 1, 4, 3, 2, 1, 42
F# minor blues (3#), 1, 0, 2, 1, 1, 2, 3, 1, 1, 3, 1, 1, 0, 3, 1, 1, 1, 1, 0, 2, 1, 1, 2, 3, 1, 34
Eb dorian (3b), 1, 0, 2, 1, 4, 2, 3, 1, 1, 3, 1, 1, 0, 3, 1, 1, 1, 1, 0, 2, 1, 4, 2, 3, 1, 40
A dorian (3#), 1, 0, 2, 0, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 2, 0, 1, 2, 2, 1, 24
Eb phrygian (3b), 1, 0, 1, 1, 1, 1, 3, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 3, 1, 23
A phrygian (3#), 1, 0, 2, 0, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 2, 0, 1, 2, 2, 1, 24
Eb lydian (3b), 1, 0, 1, 1, 1, 1, 3, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 3, 1, 23
A lydian (3#), 1, 0, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 0, 2, 1, 0, 0, 1, 0, 2, 1, 1, 1, 3, 1, 28
Eb mixolydian (3b), 0, 0, 0, 1, 1, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 0, 2, 0, 14
A mixolydian (3#), 1, 0, 1, 2, 1, 1, 2, 1, 1, 2, 0, 0, 0, 2, 0, 1, 1, 1, 0, 1, 2, 1, 1, 2, 1, 25
Eb aeolian (3b), 1, 0, 2, 0, 4, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 2, 0, 4, 2, 2, 1, 30
A aeolian (3#), 2, 1, 2, 1, 5, 1, 4, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 2, 1, 2, 1, 5, 1, 4, 1, 41
