 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, rowcost
C major (0), 0, 2, 1, 1, 0, 2, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 2, 0, 1, 3, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0,  , 0, 2, 1, 1, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 48
A minor (0), 0, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1,  , 0, 1, 1, 1, 1, 1, 2, 1, 2, 2, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 57
F major (1b), 0, 2, 1, 1, 0, 2, 1, 1, 0, 3, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 2, 1, 1, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0,  , 0, 2, 1, 1, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 42
G major (1#), 1, 2, 2, 1, 1, 3, 1, 1, 1, 3, 1, 1, 2, 2, 2, 1, 1, 2, 1, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0,  , 1, 2, 2, 1, 1, 3, 2, 1, 2, 2, 0, 0, 1, 1, 2, 1, 1, 3, 1, 1, 65
D minor (1b), 1, 0, 0, 0, 0, 3, 2, 1, 1, 3, 2, 1, 3, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0,  , 1, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 38
E minor (1#), 2, 3, 2, 1, 2, 1, 0, 0, 4, 2, 2, 0, 5, 4, 2, 1, 3, 3, 1, 0, 0, 2, 0, 1, 1, 2, 0, 0, 0, 1, 1, 1, 4, 3, 0,  , 2, 3, 2, 1, 2, 1, 3, 3, 3, 3, 0, 1, 1, 2, 2, 2, 1, 1, 1, 1, 89
Bb major (2b), 1, 3, 1, 1, 1, 3, 0, 0, 0, 2, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 2, 3, 2, 2, 4, 3, 2, 1, 0, 1, 0, 0, 0, 0, 0,  , 1, 3, 1, 1, 1, 3, 2, 0, 2, 0, 1, 1, 0, 1, 0, 1, 1, 3, 0, 0, 59
D major (2#), 2, 1, 1, 0, 1, 4, 2, 1, 2, 3, 1, 1, 4, 3, 1, 0, 2, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 2, 0,  , 2, 1, 1, 0, 1, 3, 1, 1, 1, 2, 0, 0, 1, 1, 3, 1, 1, 3, 1, 1, 63
G minor (2b), 2, 3, 2, 1, 2, 4, 0, 0, 0, 1, 0, 0, 2, 2, 2, 1, 0, 1, 1, 0, 1, 2, 2, 2, 3, 2, 1, 1, 0, 2, 0, 0, 0, 0, 0,  , 2, 3, 2, 1, 2, 4, 3, 0, 3, 1, 1, 1, 1, 2, 1, 1, 2, 4, 1, 1, 76
B minor (2#), 3, 1, 1, 0, 1, 4, 2, 1, 3, 2, 2, 1, 4, 3, 1, 0, 3, 2, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 3, 0, 1, 4, 3, 0,  , 3, 1, 1, 0, 1, 3, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 3, 3, 1, 1, 77
