id,title,composer,KSgt,KSest,notes,err,time_1,time_2,time_3
0,Afro blue,,(-4),E- major (-3),215,0,0.066,0.016,0.010
0,Afternoon in Paris,,,C major (0),246,1,0.064,0.013,0.010
0,Airegin,,(-4),E- major (-3),270,23,0.075,0.032,0.012
0,Alice in wonderland,,,C major (0),302,10,0.096,0.024,0.014
0,All blues,,,C major (0),69,3,0.020,0.006,0.003
0,All in love is fair,,,F major (-1),281,12,0.077,0.017,0.012
0,All my tomorrows,,,G major (1),319,10,0.085,0.015,0.013
0,All of me,,,C major (0),176,12,0.051,0.015,0.008
0,All of you,,,E- major (-3),228,9,0.068,0.016,0.010
0,All the things you are,,(-4),E- major (-3),226,33,0.067,0.017,0.010
0,Alone together,,,F major (-1),253,22,0.073,0.016,0.011
0,Ana Maria,,,E- major (-3),356,51,0.107,0.026,0.016
0,Angel eyes,,,E- major (-3),397,45,0.107,0.013,0.016
0,Anthropology,,,B- major (-2),318,18,0.079,0.013,0.012
0,April in Paris,,(0),G major (1),272,22,0.078,0.030,0.012
0,April in Paris-mod,,,C major (0),271,18,0.078,0.016,0.011
0,Autumn leaves,,,B- major (-2),163,7,0.048,0.013,0.007
0,Avalon,,,B- major (-2),126,2,0.043,0.016,0.006
0,Beautiful love,,,F major (-1),138,9,0.041,0.010,0.006
0,Bessie's blues,,(-3),A- major (-4),189,2,0.048,0.009,0.008
0,Bewitched,,,C major (0),256,11,0.071,0.013,0.011
0,Birth of the blues,,,C major (0),302,27,0.083,0.013,0.012
0,Black Orpheus,,,C major (0),334,18,0.097,0.021,0.014
0,Black and tan fantasy,,(-5),B- major (-2),205,7,0.056,0.011,0.008
0,Black narcissus,,(-6),E major (4),182,112,0.054,0.034,0.009
0,Black nile,,(-1),B- major (-2),351,29,0.100,0.017,0.015
0,Blessed relief,,,F major (-1),199,8,0.059,0.016,0.009
0,Blue Monk,,,B- major (-2),114,6,0.028,0.012,0.005
0,Blue bossa,,,E- major (-3),102,3,0.030,0.008,0.004
0,Blue in green,,(0),F major (-1),108,10,0.033,0.006,0.005
0,Blue moon,,,E- major (-3),474,28,0.128,0.017,0.019
0,Blue room,,,F major (-1),253,0,0.069,0.013,0.010
0,Blue trane,,,E- major (-3),129,2,0.036,0.007,0.005
0,Bluesette,,(-2),E- major (-3),122,4,0.038,0.012,0.006
0,Bohemia after dark,,,B- major (-2),258,16,0.066,0.024,0.011
0,Boplicity,,,F major (-1),291,14,0.073,0.012,0.011
0,Bud's blues,,(-2),E- major (-3),74,5,0.021,0.005,0.003
0,But beautiful,,,G major (1),256,12,0.072,0.012,0.011
0,Bye bye blackbird,,(0),F major (-1),266,9,0.078,0.016,0.011
0,Caravan,,,A- major (-4),238,20,0.071,0.017,0.010
0,Ceora,,(-4),E- major (-3),284,32,0.070,0.024,0.012
0,Cherokee,,,B- major (-2),313,41,0.099,0.053,0.016
0,Chicken feathers,,,B- major (-2),185,10,0.054,0.013,0.008
0,Come sunday,,,B- major (-2),212,15,0.061,0.012,0.009
0,Con Alma,,(0),F# major (6),130,70,0.038,0.015,0.006
0,Confirmation,,(-1),B- major (-2),379,25,0.093,0.016,0.014
0,Corcovado,,,C major (0),342,15,0.088,0.021,0.013
0,Cottontail,,,A- major (-4),197,9,0.054,0.010,0.008
0,Cry me a river,,(-3),B- major (-2),341,26,0.090,0.012,0.013
0,Crystal silence,,,C major (0),271,13,0.078,0.018,0.012
0,Daahood,,(-3),F# major (6),291,246,0.076,0.015,0.011
0,Dancing on the ceiling,,,F major (-1),200,9,0.058,0.012,0.009
0,Darn that dream,,(1),C major (0),329,11,0.092,0.013,0.013
0,Day of wine and roses,,,F major (-1),249,8,0.073,0.016,0.011
0,Dearly beloved,,,C major (0),166,3,0.051,0.012,0.007
0,Deep purple,,,F major (-1),257,26,0.074,0.017,0.011
0,Deluge,,(-6),B major (5),189,93,0.054,0.011,0.008
0,Desafinado,,,F major (-1),435,40,0.115,0.027,0.017
0,Dindi,,,E- major (-3),282,29,0.076,0.016,0.011
0,Django,,,A- major (-4),131,10,0.037,0.010,0.006
0,Do you know what it means,,,C major (0),360,12,0.096,0.015,0.016
0,Don't blame me,,,C major (0),254,12,0.076,0.013,0.011
0,Don't get around much anymore,,(0),G major (1),330,12,0.088,0.026,0.014
0,Early autumn,,(-2),E- major (-3),312,36,0.077,0.026,0.013
0,Early autumn-C,,,C major (0),290,22,0.077,0.013,0.012
0,East of the sun,,,G major (1),292,9,0.084,0.018,0.012
0,Easy living,,,F major (-1),282,7,0.077,0.012,0.012
0,Easy to love,,,C major (0),158,5,0.048,0.012,0.007
0,Eclypso,,,E- major (-3),263,15,0.068,0.012,0.010
0,Eighty one,,(0),F major (-1),145,0,0.040,0.021,0.007
0,Eighty one-F,,,F major (-1),218,0,0.066,0.029,0.010
0,El gaucho,,(0),F major (-1),186,2,0.049,0.017,0.008
0,Emily,,,C major (0),274,14,0.082,0.019,0.012
0,Emily-G,,,G major (1),312,12,0.094,0.019,0.013
0,Epistrophy,,(1),B major (5),391,31,0.103,0.016,0.015
0,Equinox,,(0),E- major (-3),159,4,0.044,0.010,0.007
0,Equinox-C#,,,E major (4),141,6,0.039,0.010,0.006
0,Everythong happens to me,,,B- major (-2),403,29,0.105,0.013,0.015
0,Eye of the hurricane,,(0),F# major (6),206,102,0.058,0.008,0.009
0,Falling grace,,(0),F major (-1),213,11,0.058,0.013,0.009
0,Favela,,,B- major (-2),410,24,0.113,0.019,0.016
0,Fee-fi-fo-fum,,(0),B- major (-2),225,28,0.062,0.012,0.009
0,Feel like making love,,,E- major (-3),192,13,0.050,0.008,0.008
0,Feels so good,,,F major (-1),404,12,0.109,0.027,0.017
0,Five brothers,,,C major (0),278,11,0.073,0.013,0.011
0,Five hundred miles high,,,C major (0),123,11,0.037,0.011,0.005
0,Five spot after dark,,(-4),C# major (7),85,74,0.022,0.006,0.003
0,Fools rush in,,,C major (0),235,5,0.066,0.017,0.010
0,Footprints,,(0),B- major (-2),184,9,0.049,0.008,0.008
0,Forest flower,,(0),D major (2),192,25,0.056,0.065,0.011
0,Four,,,E- major (-3),346,34,0.089,0.020,0.014
0,Four brothers,,(-4),F major (-1),310,13,0.077,0.037,0.014
0,Four on six,,(0),B- major (-2),304,20,0.087,0.020,0.013
0,Freddie the freeloader,,,E- major (-3),136,0,0.040,0.008,0.006
0,Freedom jazz dance,,(0),A- major (-4),100,8,0.024,0.016,0.004
0,Freight trane,,(-4),E- major (-3),152,14,0.039,0.014,0.007
0,Misty,,,E- major (-3),288,4,0.075,0.013,0.011
0,The fields we know,,(0),F# major (6),151,50,0.040,0.008,0.006
