 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, rowcost
C major (0), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0,  , 0, 2, 0, 0, 7
A minor (0), 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 4, 0, 0,  , 0, 4, 0, 0, 13
A minor mel (0), 0, 0, 0, 0, 1, 1, 1, 2, 2, 0, 0, 0, 0, 1, 4, 0, 0,  , 0, 4, 0, 0, 16
C major blues (0), 0, 1, 2, 1, 2, 0, 1, 2, 2, 0, 0, 1, 1, 2, 2, 0, 0,  , 0, 2, 0, 0, 19
A minor blues (0), 0, 1, 2, 1, 2, 0, 1, 2, 2, 0, 0, 1, 1, 2, 3, 0, 0,  , 0, 3, 0, 0, 21
C dorian (0), 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 2, 2, 0, 0,  , 0, 2, 0, 0, 10
C phrygian (0), 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0,  , 0, 2, 0, 0, 10
C lydian (0), 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 2, 2, 0, 0,  , 0, 2, 0, 0, 10
C mixolydian (0), 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0,  , 0, 2, 0, 0, 10
C aeolian (0), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0,  , 0, 2, 0, 0, 7
C locrian (0), 0, 1, 2, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0,  , 0, 1, 0, 0, 12
F major (1b), 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0,  , 0, 2, 0, 0, 10
G major (1#), 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 2, 2, 0, 0,  , 0, 2, 0, 0, 10
D minor (1b), 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 2, 2, 2, 3, 1, 1,  , 0, 2, 1, 1, 20
E minor (1#), 1, 0, 1, 0, 2, 0, 1, 1, 1, 1, 1, 1, 1, 2, 4, 0, 0,  , 1, 4, 0, 0, 22
D minor mel (1b), 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 3, 3, 1, 1,  , 0, 2, 1, 1, 17
E minor mel (1#), 1, 0, 1, 0, 3, 0, 1, 1, 1, 1, 2, 2, 2, 3, 5, 1, 1,  , 1, 4, 1, 1, 32
F major blues (1b), 0, 1, 3, 1, 2, 0, 0, 1, 1, 0, 0, 1, 1, 2, 2, 0, 0,  , 0, 2, 0, 0, 17
G major blues (1#), 0, 1, 2, 0, 2, 0, 1, 1, 1, 0, 1, 2, 2, 3, 3, 1, 1,  , 0, 2, 1, 1, 25
D minor blues (1b), 0, 1, 3, 1, 2, 0, 0, 1, 1, 0, 0, 1, 1, 2, 2, 0, 0,  , 0, 2, 0, 0, 17
E minor blues (1#), 0, 1, 2, 0, 2, 0, 1, 1, 1, 0, 1, 2, 2, 3, 4, 1, 1,  , 0, 3, 1, 1, 27
F dorian (1b), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0,  , 0, 2, 0, 0, 7
G dorian (1#), 0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 1, 1, 1, 3, 3, 1, 1,  , 0, 2, 1, 1, 20
