 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, rowcost
C major (0), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/2
A minor (0), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/0
F major (1b), 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/1, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 12/2
G major (1#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/1, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 9/2
D minor (1b), 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/1, 1/2, 0/0, 0/0, 12/4
E minor (1#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/3, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 1/1, 0/0, 1/0, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 9/6
Bb major (2b), 1/1, 1/2, 1/0, 1/0, 1/1, 1/2, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/6, 1/6, 2/0, 1/0, 1/1, 1/2, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/1, 1/2, 0/0, 0/0, 25/24
D major (2#), 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 2/0, 1/0, 1/1, 1/2, 1/4, 1/0, 0/0, 0/0, 1/0, 0/0, 1/1, 1/1, 0/0, 0/0, 1/1, 1/0, 0/0, 1/0, 1/0, 2/0, 1/0, 0/0, 1/1, 1/0, 1/0, 1/0, 25/11
G minor (2b), 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/1, 1/2, 1/4, 0/0, 1/0, 1/0, 2/1, 1/0, 1/1, 1/0, 1/0, 1/0, 0/1, 0/2, 1/0, 1/1, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 25/13
B minor (2#), 1/1, 1/1, 0/0, 0/0, 1/1, 1/1, 2/4, 1/1, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/1, 1/2, 0/0, 1/1, 1/0, 2/0, 2/1, 0/0, 1/1, 1/0, 1/0, 1/0, 26/15
