 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, rowcost
C major (0), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/0
A minor (0), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/1
F major (1b), 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/0, 1/0, 0/0, 1/1, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 15/2
G major (1#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/0
D minor (1b), 0/0, 1/0, 1/1, 1/1, 0/0, 0/1, 0/0, 1/1, 0/0, 0/0, 0/1, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/1, 1/1, 0/0, 0/1, 0/0, 1/1, 0/0, 0/0, 1/1, 0/0, 15/10
E minor (1#), 0/0, 0/0, 0/0, 0/1, 0/0, 0/1, 0/0, 0/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/1, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/1, 0/0, 0/1, 0/0, 0/1, 0/0, 0/0, 0/1, 0/0, 3/8
Bb major (2b), 0/0, 2/1, 2/1, 1/1, 1/0, 1/0, 0/0, 2/1, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 2/1, 1/1, 0/0, 0/0, 1/1, 1/0, 0/0, 0/0, 1/1, 0/0, 1/1, 1/0, 2/1, 2/1, 1/1, 1/0, 1/0, 0/0, 2/1, 0/0, 0/0, 2/1, 0/0, 30/14
D major (2#), 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/1, 0/0, 0/0, 0/0, 0/0, 1/0, 2/1, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 23/2
G minor (2b), 0/0, 2/0, 1/0, 1/0, 1/0, 1/0, 0/0, 2/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 2/0, 1/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 2/0, 1/0, 1/0, 1/0, 1/0, 0/0, 2/0, 0/0, 0/0, 2/0, 0/0, 28/1
B minor (2#), 0/0, 0/0, 1/1, 1/1, 0/0, 1/1, 1/0, 1/1, 0/0, 0/0, 1/1, 1/0, 1/0, 1/0, 1/1, 2/1, 0/0, 0/0, 0/0, 0/0, 1/1, 2/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 1/1, 0/0, 1/1, 1/0, 1/1, 0/0, 1/0, 1/1, 0/0, 23/13
