 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, rowcost
C major (0), 1/0, 1/1, 2/1, 1/0, 1/0, 2/0, 2/0, 1/0, 1/0, 1/2, 2/1, 0/0, 0/0, 2/1, 1/0, 2/0, 0/0, 2/1, 1/0, 2/0, 25/7
A minor (0), 2/1, 1/0, 2/0, 3/2, 1/1, 4/2, 2/0, 1/0, 1/0, 1/0, 2/1, 0/0, 0/0, 2/0, 1/1, 2/1, 0/0, 2/0, 1/1, 2/1, 30/11
F major (1b), 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/1, 1/0, 0/0, 3/2, 1/1, 0/0, 2/0, 0/0, 1/0, 0/0, 2/0, 0/0, 1/0, 20/4
G major (1#), 1/1, 2/1, 2/0, 2/0, 1/0, 4/2, 2/0, 1/1, 1/1, 1/0, 2/1, 0/0, 1/0, 2/1, 1/1, 2/2, 1/1, 2/1, 1/1, 2/2, 31/16
D minor (1b), 2/1, 1/0, 1/0, 3/2, 1/0, 3/2, 1/0, 2/0, 1/0, 0/0, 3/1, 1/0, 0/0, 2/1, 0/0, 1/1, 0/0, 2/1, 0/0, 1/1, 25/10
E minor (1#), 2/1, 2/1, 2/1, 4/1, 1/0, 4/2, 2/0, 1/1, 1/0, 3/2, 1/0, 0/0, 1/1, 2/0, 1/1, 2/0, 1/1, 2/0, 1/1, 2/0, 35/13
Bb major (2b), 1/0, 2/1, 1/1, 1/2, 0/0, 1/0, 1/0, 3/1, 1/0, 0/0, 1/2, 2/1, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 18/8
D major (2#), 2/1, 1/2, 1/0, 4/2, 2/0, 3/2, 1/0, 2/0, 2/0, 1/0, 2/1, 1/2, 1/0, 1/1, 2/0, 2/1, 1/0, 1/1, 2/0, 2/1, 34/14
G minor (2b), 1/0, 2/1, 1/1, 1/0, 0/0, 3/2, 1/1, 2/0, 1/0, 0/0, 3/2, 1/1, 0/0, 1/1, 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 20/10
B minor (2#), 2/1, 3/2, 1/0, 4/1, 2/1, 3/2, 1/0, 2/1, 2/0, 3/2, 1/0, 1/0, 1/1, 1/0, 2/1, 2/0, 1/1, 1/0, 2/1, 2/0, 37/14
Eb major (3b), 0/0, 3/1, 1/0, 0/0, 0/0, 1/0, 1/0, 2/1, 0/0, 1/1, 1/2, 2/1, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 14/6
A major (3#), 1/1, 1/2, 1/0, 3/1, 2/0, 3/2, 1/1, 1/0, 1/0, 2/0, 3/1, 2/0, 2/0, 1/0, 2/1, 1/1, 2/1, 1/0, 2/2, 1/1, 33/14
C minor (3b), 0/0, 2/0, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 3/2, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 13/2
F# minor (3#), 1/1, 3/2, 1/0, 3/1, 2/0, 2/0, 1/0, 3/2, 1/0, 4/2, 2/1, 4/2, 2/1, 1/0, 2/0, 1/0, 2/1, 1/0, 2/0, 1/0, 39/13
Ab major (4b), 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 3/2, 1/2, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 10/7
E major (4#), 1/1, 1/2, 1/0, 3/2, 1/1, 3/1, 1/0, 1/2, 1/1, 4/2, 2/1, 2/0, 2/1, 0/0, 2/1, 1/0, 2/2, 0/0, 2/1, 1/0, 31/18
F minor (4b), 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/1, 3/2, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 7/4
C# minor (4#), 2/0, 3/2, 1/0, 3/1, 1/0, 2/0, 1/0, 3/2, 1/0, 5/1, 3/0, 5/4, 3/2, 0/0, 2/0, 1/0, 3/2, 0/0, 2/0, 1/0, 42/14
Db major (5b), 1/0, 2/1, 0/0, 1/0, 0/0, 0/0, 0/0, 2/1, 0/0, 4/2, 2/2, 3/1, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 17/7
B major (5#), 1/1, 3/2, 0/0, 3/2, 1/1, 2/1, 0/0, 1/2, 1/1, 3/1, 1/0, 2/2, 2/1, 0/0, 1/1, 0/0, 2/1, 0/0, 1/1, 0/0, 24/17
Bb minor (5b), 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 2/1, 0/0, 2/1, 2/2, 3/1, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 14/5
G# minor (5#), 2/0, 3/2, 0/0, 3/1, 1/0, 1/0, 0/0, 3/2, 1/0, 4/1, 2/0, 5/4, 3/3, 0/0, 1/0, 0/0, 3/1, 0/0, 1/0, 0/0, 33/14
Gb major (6b), 2/2, 2/1, 0/0, 3/2, 1/0, 1/0, 0/0, 3/1, 1/0, 5/4, 2/2, 5/3, 2/2, 0/0, 1/0, 0/0, 2/2, 0/0, 1/0, 0/0, 31/19
F# major (6#), 1/1, 2/1, 0/0, 2/1, 1/0, 1/0, 0/0, 3/2, 1/0, 3/2, 1/1, 4/3, 1/1, 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 23/13
Eb minor (6b), 1/0, 2/1, 0/0, 1/1, 1/0, 1/0, 0/0, 3/1, 1/0, 2/1, 1/1, 4/1, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 21/6
D# minor (6#), 2/0, 2/2, 0/0, 2/1, 1/0, 1/0, 0/0, 3/2, 1/0, 4/2, 2/0, 5/4, 2/1, 0/0, 1/0, 0/0, 2/1, 0/0, 1/0, 0/0, 29/13
Cb major (7b), 2/2, 3/1, 0/0, 4/2, 2/2, 3/2, 0/0, 2/4, 2/2, 5/4, 2/2, 4/7, 3/2, 0/0, 2/2, 0/0, 3/2, 0/0, 2/2, 0/0, 39/36
C# major (7#), 2/0, 2/2, 0/0, 2/1, 0/0, 0/0, 0/0, 2/1, 0/0, 4/3, 3/0, 4/4, 2/2, 0/0, 0/0, 0/0, 2/2, 0/0, 0/0, 0/0, 23/15
Ab minor (7b), 1/0, 3/1, 0/0, 2/0, 1/0, 1/0, 0/0, 3/1, 1/0, 4/2, 1/0, 4/1, 2/0, 0/0, 1/0, 0/0, 2/0, 0/0, 1/0, 0/0, 27/5
A# minor (7#), 2/0, 2/4, 0/0, 2/1, 0/0, 0/0, 0/0, 2/1, 0/0, 4/2, 3/0, 4/4, 2/2, 0/0, 0/0, 0/0, 2/2, 0/0, 0/0, 0/0, 23/16
