 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C major (0), 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2
A minor (0), 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 11
F major (1b), 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2
G major (1#), 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 11
D minor (1b), 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 11
E minor (1#), 1, 1, 2, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 2, 0, 2, 1, 1, 1, 17
Bb major (2b), 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 7
D major (2#), 1, 1, 1, 1, 2, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 20
G minor (2b), 1, 1, 2, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 0, 1, 1, 1, 16
B minor (2#), 1, 2, 2, 1, 1, 1, 1, 1, 0, 2, 2, 1, 0, 2, 2, 1, 1, 2, 2, 1, 0, 0, 1, 1, 28
Eb major (3b), 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 15
A major (3#), 1, 2, 2, 1, 2, 0, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 0, 1, 1, 29
C minor (3b), 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 15
F# minor (3#), 2, 1, 2, 2, 2, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 0, 0, 27
Ab major (4b), 2, 2, 2, 1, 0, 2, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 2, 2, 2, 1, 1, 2, 0, 0, 29
E major (4#), 2, 2, 3, 1, 2, 0, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 3, 1, 2, 1, 1, 1, 35
F minor (4b), 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 16
C# minor (4#), 1, 3, 5, 1, 1, 0, 2, 1, 2, 3, 0, 0, 2, 3, 0, 0, 1, 3, 5, 1, 2, 1, 1, 1, 39
Db major (5b), 3, 3, 4, 1, 0, 2, 3, 0, 1, 3, 2, 0, 1, 3, 2, 0, 3, 3, 4, 1, 2, 3, 0, 0, 44
B major (5#), 2, 3, 4, 1, 1, 1, 2, 1, 1, 3, 2, 1, 1, 3, 2, 1, 2, 3, 4, 1, 1, 1, 1, 1, 43
Bb minor (5b), 2, 1, 3, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2, 1, 3, 1, 1, 2, 0, 0, 22
G# minor (5#), 3, 2, 4, 2, 1, 1, 1, 1, 0, 2, 2, 1, 0, 2, 2, 1, 3, 2, 4, 2, 2, 2, 1, 1, 42
Gb major (6b), 4, 4, 5, 2, 1, 2, 4, 0, 2, 4, 3, 1, 2, 4, 3, 1, 4, 4, 5, 2, 2, 3, 0, 0, 62
F# major (6#), 3, 2, 3, 2, 1, 1, 2, 0, 1, 2, 2, 1, 1, 2, 2, 1, 3, 2, 3, 2, 1, 2, 0, 0, 39
Eb minor (6b), 2, 2, 2, 2, 1, 1, 2, 0, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 0, 1, 0, 0, 33
D# minor (6#), 2, 4, 3, 2, 1, 2, 4, 0, 2, 4, 3, 1, 2, 4, 3, 1, 2, 4, 3, 2, 0, 1, 0, 0, 50
Cb major (7b), 4, 5, 6, 2, 2, 2, 4, 1, 2, 5, 4, 2, 2, 5, 4, 2, 4, 5, 6, 2, 2, 2, 1, 1, 75
C# major (7#), 2, 3, 4, 1, 0, 1, 3, 0, 2, 3, 1, 0, 2, 3, 1, 0, 2, 3, 4, 1, 1, 2, 0, 0, 39
Ab minor (7b), 2, 3, 3, 2, 1, 2, 2, 1, 0, 3, 3, 1, 0, 3, 3, 1, 2, 3, 3, 2, 1, 1, 1, 1, 44
A# minor (7#), 4, 2, 6, 1, 0, 0, 2, 0, 2, 2, 0, 0, 2, 2, 0, 0, 4, 2, 6, 1, 2, 4, 0, 0, 42
