 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 2, 3, 3, 1, 3, 3, 3, 0, 0, 3, 1, 2, 24
A minor (0), 1, 3, 4, 2, 3, 3, 4, 0, 0, 4, 2, 1, 27
A minor mel (0), 2, 3, 5, 2, 3, 3, 5, 1, 1, 5, 3, 1, 34
C major blues (0), 3, 3, 5, 1, 3, 3, 5, 1, 1, 5, 3, 2, 35
A minor blues (0), 3, 2, 5, 2, 2, 3, 5, 1, 1, 5, 3, 1, 33
C dorian (0), 3, 3, 4, 1, 3, 3, 4, 1, 1, 4, 2, 2, 31
C phrygian (0), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
C lydian (0), 3, 3, 4, 1, 3, 3, 4, 1, 1, 4, 2, 2, 31
C mixolydian (0), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
C aeolian (0), 2, 3, 3, 1, 3, 3, 3, 0, 0, 3, 1, 2, 24
C locrian (0), 1, 2, 4, 1, 2, 2, 4, 0, 0, 4, 2, 2, 24
F major (1b), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
G major (1#), 3, 3, 3, 2, 3, 3, 3, 1, 1, 3, 2, 1, 28
D minor (1b), 2, 1, 1, 1, 1, 3, 1, 0, 0, 1, 1, 0, 12
E minor (1#), 3, 2, 3, 3, 2, 2, 3, 2, 1, 3, 3, 2, 29
D minor mel (1b), 2, 2, 1, 1, 2, 4, 1, 0, 0, 1, 1, 0, 15
E minor mel (1#), 3, 2, 2, 2, 2, 3, 2, 2, 1, 2, 3, 1, 25
F major blues (1b), 2, 3, 4, 1, 3, 3, 4, 0, 0, 4, 2, 2, 28
G major blues (1#), 3, 3, 3, 2, 3, 4, 3, 1, 1, 3, 2, 1, 29
D minor blues (1b), 2, 3, 3, 2, 3, 3, 3, 0, 0, 3, 2, 1, 25
E minor blues (1#), 2, 2, 4, 2, 2, 4, 4, 1, 1, 4, 2, 1, 29
F dorian (1b), 2, 3, 3, 1, 3, 3, 3, 0, 0, 3, 1, 2, 24
G dorian (1#), 3, 3, 2, 1, 3, 4, 2, 1, 1, 2, 2, 0, 24
F phrygian (1b), 1, 2, 4, 1, 2, 2, 4, 0, 0, 4, 2, 2, 24
G phrygian (1#), 2, 3, 2, 2, 3, 3, 2, 0, 0, 2, 1, 1, 21
F lydian (1b), 2, 3, 3, 1, 3, 3, 3, 0, 0, 3, 1, 2, 24
G lydian (1#), 3, 3, 2, 1, 3, 4, 2, 1, 1, 2, 2, 0, 24
F mixolydian (1b), 1, 2, 4, 1, 2, 2, 4, 0, 0, 4, 2, 2, 24
G mixolydian (1#), 2, 3, 2, 2, 3, 3, 2, 0, 0, 2, 1, 1, 21
F aeolian (1b), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
G aeolian (1#), 3, 3, 3, 2, 3, 3, 3, 1, 1, 3, 2, 1, 28
F locrian (1b), 1, 1, 4, 1, 1, 2, 4, 0, 0, 4, 2, 2, 22
G locrian (1#), 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 1, 1, 18
Bb major (2b), 1, 2, 4, 1, 2, 3, 4, 0, 0, 4, 2, 2, 25
D major (2#), 3, 2, 2, 1, 2, 4, 2, 1, 1, 2, 2, 0, 22
G minor (2b), 2, 2, 4, 2, 2, 2, 4, 1, 1, 4, 3, 1, 28
B minor (2#), 2, 3, 5, 1, 3, 2, 5, 1, 1, 5, 4, 0, 32
G minor mel (2b), 3, 2, 3, 2, 2, 2, 3, 1, 1, 3, 2, 1, 25
B minor mel (2#), 2, 4, 6, 1, 4, 2, 6, 1, 1, 6, 5, 0, 38
Bb major blues (2b), 3, 2, 4, 2, 2, 3, 4, 1, 0, 4, 3, 2, 30
D major blues (2#), 3, 3, 4, 2, 3, 4, 4, 1, 1, 4, 3, 1, 33
G minor blues (2b), 3, 2, 4, 3, 2, 2, 4, 1, 0, 4, 3, 2, 30
B minor blues (2#), 2, 3, 7, 2, 3, 3, 7, 1, 1, 7, 5, 1, 42
Bb dorian (2b), 2, 2, 3, 1, 2, 3, 3, 0, 0, 3, 1, 2, 22
D dorian (2#), 3, 3, 3, 1, 3, 4, 3, 1, 1, 3, 3, 0, 28
Bb phrygian (2b), 1, 3, 4, 2, 3, 3, 4, 0, 0, 4, 2, 1, 27
D phrygian (2#), 2, 3, 5, 2, 3, 3, 5, 1, 1, 5, 3, 1, 34
Bb lydian (2b), 3, 3, 5, 1, 3, 3, 5, 1, 1, 5, 3, 2, 35
D lydian (2#), 3, 2, 5, 2, 2, 3, 5, 1, 1, 5, 3, 1, 33
Bb mixolydian (2b), 3, 3, 4, 1, 3, 3, 4, 1, 1, 4, 2, 2, 31
D mixolydian (2#), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
Bb aeolian (2b), 3, 3, 4, 1, 3, 3, 4, 1, 1, 4, 2, 2, 31
D aeolian (2#), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
Bb locrian (2b), 2, 3, 3, 1, 3, 3, 3, 0, 0, 3, 1, 2, 24
D locrian (2#), 1, 2, 4, 1, 2, 2, 4, 0, 0, 4, 2, 2, 24
Eb major (3b), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
A major (3#), 3, 3, 3, 2, 3, 3, 3, 1, 1, 3, 2, 1, 28
C minor (3b), 2, 1, 1, 1, 1, 3, 1, 0, 0, 1, 1, 0, 12
F# minor (3#), 3, 2, 3, 3, 2, 2, 3, 2, 1, 3, 3, 2, 29
C minor mel (3b), 1, 3, 4, 1, 3, 3, 4, 0, 0, 4, 2, 2, 27
F# minor mel (3#), 4, 3, 4, 2, 3, 2, 4, 1, 0, 4, 5, 1, 33
Eb major blues (3b), 2, 3, 3, 1, 3, 3, 3, 0, 0, 3, 1, 2, 24
A major blues (3#), 1, 3, 4, 2, 3, 3, 4, 0, 0, 4, 2, 1, 27
C minor blues (3b), 2, 3, 5, 2, 3, 3, 5, 1, 1, 5, 3, 1, 34
F# minor blues (3#), 3, 3, 5, 1, 3, 3, 5, 1, 1, 5, 3, 2, 35
Eb dorian (3b), 3, 2, 5, 2, 2, 3, 5, 1, 1, 5, 3, 1, 33
A dorian (3#), 3, 3, 4, 1, 3, 3, 4, 1, 1, 4, 2, 2, 31
Eb phrygian (3b), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
A phrygian (3#), 3, 3, 4, 1, 3, 3, 4, 1, 1, 4, 2, 2, 31
Eb lydian (3b), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
A lydian (3#), 2, 3, 3, 1, 3, 3, 3, 0, 0, 3, 1, 2, 24
Eb mixolydian (3b), 1, 2, 4, 1, 2, 2, 4, 0, 0, 4, 2, 2, 24
A mixolydian (3#), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
Eb aeolian (3b), 3, 3, 3, 2, 3, 3, 3, 1, 1, 3, 2, 1, 28
A aeolian (3#), 2, 1, 1, 1, 1, 3, 1, 0, 0, 1, 1, 0, 12
Eb locrian (3b), 1, 3, 4, 2, 3, 3, 4, 0, 0, 4, 2, 1, 27
A locrian (3#), 2, 3, 5, 2, 3, 3, 5, 1, 1, 5, 3, 1, 34
Ab major (4b), 3, 3, 5, 1, 3, 3, 5, 1, 1, 5, 3, 2, 35
E major (4#), 3, 2, 5, 2, 2, 3, 5, 1, 1, 5, 3, 1, 33
F minor (4b), 3, 3, 4, 1, 3, 3, 4, 1, 1, 4, 2, 2, 31
C# minor (4#), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
F minor mel (4b), 3, 3, 4, 1, 3, 3, 4, 1, 1, 4, 2, 2, 31
C# minor mel (4#), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
Ab major blues (4b), 2, 3, 3, 1, 3, 3, 3, 0, 0, 3, 1, 2, 24
E major blues (4#), 1, 2, 4, 1, 2, 2, 4, 0, 0, 4, 2, 2, 24
F minor blues (4b), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
C# minor blues (4#), 3, 3, 3, 2, 3, 3, 3, 1, 1, 3, 2, 1, 28
Ab dorian (4b), 2, 1, 1, 1, 1, 3, 1, 0, 0, 1, 1, 0, 12
E dorian (4#), 3, 2, 3, 3, 2, 2, 3, 2, 1, 3, 3, 2, 29
Ab phrygian (4b), 1, 3, 4, 1, 3, 3, 4, 0, 0, 4, 2, 2, 27
E phrygian (4#), 4, 3, 4, 2, 3, 2, 4, 1, 0, 4, 5, 1, 33
Ab lydian (4b), 2, 3, 3, 1, 3, 3, 3, 0, 0, 3, 1, 2, 24
E lydian (4#), 1, 3, 4, 2, 3, 3, 4, 0, 0, 4, 2, 1, 27
Ab mixolydian (4b), 2, 3, 5, 2, 3, 3, 5, 1, 1, 5, 3, 1, 34
E mixolydian (4#), 3, 3, 5, 1, 3, 3, 5, 1, 1, 5, 3, 2, 35
Ab aeolian (4b), 3, 2, 5, 2, 2, 3, 5, 1, 1, 5, 3, 1, 33
E aeolian (4#), 3, 3, 4, 1, 3, 3, 4, 1, 1, 4, 2, 2, 31
Ab locrian (4b), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
E locrian (4#), 3, 3, 4, 1, 3, 3, 4, 1, 1, 4, 2, 2, 31
Db major (5b), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
B major (5#), 2, 3, 3, 1, 3, 3, 3, 0, 0, 3, 1, 2, 24
Bb minor (5b), 1, 2, 4, 1, 2, 2, 4, 0, 0, 4, 2, 2, 24
G# minor (5#), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
Bb minor mel (5b), 3, 3, 3, 2, 3, 3, 3, 1, 1, 3, 2, 1, 28
G# minor mel (5#), 2, 1, 1, 1, 1, 3, 1, 0, 0, 1, 1, 0, 12
Db major blues (5b), 2, 3, 3, 1, 3, 3, 3, 0, 0, 3, 1, 2, 24
B major blues (5#), 1, 3, 4, 2, 3, 3, 4, 0, 0, 4, 2, 1, 27
Bb minor blues (5b), 2, 3, 5, 2, 3, 3, 5, 1, 1, 5, 3, 1, 34
G# minor blues (5#), 3, 3, 5, 1, 3, 3, 5, 1, 1, 5, 3, 2, 35
Db dorian (5b), 3, 2, 5, 2, 2, 3, 5, 1, 1, 5, 3, 1, 33
B dorian (5#), 3, 3, 4, 1, 3, 3, 4, 1, 1, 4, 2, 2, 31
Db phrygian (5b), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
B phrygian (5#), 3, 3, 4, 1, 3, 3, 4, 1, 1, 4, 2, 2, 31
Db lydian (5b), 2, 2, 3, 1, 2, 2, 3, 0, 0, 3, 1, 2, 21
B lydian (5#), 2, 3, 3, 1, 3, 3, 3, 0, 0, 3, 1, 2, 24
Db mixolydian (5b), 1, 2, 4, 1, 2, 2, 4, 0, 0, 4, 2, 2, 24
