 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 1/0, 2/2, 5/1, 1/0, 1/0, 3/1, 4/1, 1/0, 1/0, 7/4, 4/3, 5/2, 3/1, 1/0, 1/0, 1/0, 1/0, 42/15
A minor (0), 1/0, 4/3, 4/4, 1/0, 1/0, 4/2, 4/2, 1/0, 1/0, 6/4, 4/2, 5/5, 3/6, 1/0, 1/0, 1/0, 1/0, 43/28
F major (1b), 0/0, 1/0, 4/1, 0/0, 0/0, 2/0, 3/0, 0/0, 0/0, 6/3, 3/3, 4/2, 2/0, 0/0, 0/0, 0/0, 0/0, 25/9
G major (1#), 2/0, 3/0, 5/3, 1/0, 1/0, 5/1, 5/1, 1/0, 2/0, 8/5, 3/2, 6/3, 3/2, 1/0, 1/0, 1/0, 2/0, 50/17
D minor (1b), 0/0, 1/2, 4/3, 0/0, 0/0, 3/1, 3/3, 0/0, 0/0, 6/5, 3/3, 4/4, 2/2, 0/0, 0/0, 0/0, 0/0, 26/23
E minor (1#), 2/1, 5/5, 4/3, 1/0, 1/0, 5/5, 5/1, 1/0, 2/1, 6/1, 2/3, 6/4, 3/2, 1/0, 1/0, 1/0, 2/4, 48/30
Bb major (2b), 0/0, 0/0, 3/2, 1/0, 0/0, 1/0, 2/0, 0/0, 0/0, 5/2, 3/3, 3/1, 2/0, 0/0, 0/0, 0/0, 0/0, 20/8
D major (2#), 2/0, 4/3, 4/5, 1/3, 1/2, 6/6, 4/4, 1/3, 2/0, 7/3, 4/3, 7/5, 4/6, 1/3, 1/3, 1/3, 2/0, 52/52
G minor (2b), 0/0, 0/2, 3/3, 1/0, 0/0, 2/1, 2/1, 0/0, 0/0, 5/5, 3/3, 3/3, 2/1, 0/0, 0/0, 0/0, 0/0, 21/19
B minor (2#), 2/2, 6/6, 3/0, 1/0, 1/0, 6/2, 4/0, 1/0, 2/0, 5/1, 3/2, 6/1, 4/2, 1/0, 1/0, 1/0, 2/0, 49/16
Eb major (3b), 0/0, 0/0, 2/1, 1/1, 0/0, 1/0, 1/0, 0/0, 0/0, 4/2, 4/3, 2/1, 1/0, 0/0, 0/0, 0/0, 0/0, 16/8
A major (3#), 2/0, 7/3, 2/4, 1/3, 1/0, 6/4, 3/3, 1/3, 2/3, 5/3, 5/3, 6/4, 5/6, 1/3, 1/3, 1/3, 2/5, 51/53
C minor (3b), 0/0, 0/0, 2/1, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 4/4, 4/4, 2/1, 1/0, 0/0, 0/0, 0/0, 0/0, 16/10
F# minor (3#), 2/0, 7/3, 2/1, 1/0, 1/0, 4/2, 3/0, 1/0, 2/0, 4/1, 4/3, 4/1, 4/2, 1/0, 1/0, 1/0, 2/0, 44/13
Ab major (4b), 0/0, 1/0, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 3/2, 7/5, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 14/9
E major (4#), 2/1, 6/5, 1/0, 1/0, 1/0, 5/3, 2/1, 1/0, 2/1, 3/2, 5/3, 5/3, 5/2, 1/0, 1/0, 1/0, 2/1, 44/22
F minor (4b), 0/0, 1/2, 1/1, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/2, 5/3, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 12/9
C# minor (4#), 2/0, 7/3, 1/0, 1/0, 1/0, 3/0, 2/0, 1/0, 2/0, 3/2, 7/4, 3/0, 4/1, 1/0, 1/0, 1/0, 2/0, 42/10
Db major (5b), 0/0, 4/2, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/2, 8/7, 0/1, 1/1, 0/0, 0/0, 0/0, 0/0, 17/13
B major (5#), 1/0, 5/3, 0/0, 0/0, 0/0, 4/2, 1/0, 0/0, 1/0, 2/1, 6/3, 3/1, 4/2, 0/0, 0/0, 0/0, 1/0, 28/12
Bb minor (5b), 0/0, 2/0, 1/1, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/2, 6/3, 0/1, 1/0, 0/0, 0/0, 0/0, 0/0, 13/7
G# minor (5#), 1/0, 6/3, 0/0, 0/0, 0/0, 2/0, 1/0, 0/0, 1/0, 2/1, 10/6, 2/1, 3/1, 0/0, 0/0, 0/0, 1/0, 29/12
Gb major (6b), 0/0, 6/4, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 9/9, 1/0, 4/2, 0/0, 0/0, 0/0, 0/0, 24/16
F# major (6#), 0/0, 4/3, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 6/3, 1/1, 3/1, 0/0, 0/0, 0/0, 0/0, 18/9
Eb minor (6b), 0/0, 3/0, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/2, 7/4, 1/1, 2/1, 0/0, 0/0, 0/0, 0/0, 17/8
D# minor (6#), 0/0, 5/3, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 10/8, 1/1, 3/1, 0/0, 0/0, 0/0, 0/0, 23/14
Cb major (7b), 1/0, 8/6, 0/0, 0/0, 0/0, 6/4, 1/0, 0/0, 1/0, 2/1, 10/11, 4/3, 6/4, 0/0, 0/0, 0/0, 1/0, 40/29
C# major (7#), 0/0, 4/3, 1/1, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 7/4, 0/1, 2/2, 0/0, 0/0, 0/0, 0/0, 17/12
Ab minor (7b), 1/0, 4/1, 0/0, 0/0, 0/0, 2/0, 1/0, 0/0, 1/0, 2/2, 9/5, 2/1, 2/0, 0/0, 0/0, 0/0, 1/0, 25/9
A# minor (7#), 0/0, 4/3, 2/2, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 3/3, 9/8, 0/0, 2/2, 0/0, 0/0, 0/0, 0/0, 22/20
