 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, rowcost
G minor (2b), 0, 0, 2, 0, 2, 2, 1, 0, 0, 0, 4, 3, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 2, 2, 0, 0, 22
B minor (2#), 0, 1, 2, 1, 2, 2, 1, 0, 1, 1, 2, 0, 1, 1, 1, 1, 2, 0, 0, 1, 2, 1, 2, 2, 1, 1, 29
G minor mel (2b), 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 4, 3, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 16
B minor mel (2#), 1, 2, 2, 1, 2, 3, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 3, 1, 1, 35
Bb major blues (2b), 0, 1, 1, 1, 2, 1, 2, 0, 1, 0, 4, 1, 1, 0, 1, 3, 2, 0, 0, 1, 1, 1, 2, 1, 1, 0, 28
D major blues (2#), 2, 1, 1, 1, 1, 2, 0, 1, 0, 1, 1, 4, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 0, 1, 31
G minor blues (2b), 0, 1, 1, 1, 2, 1, 2, 0, 1, 0, 4, 3, 1, 0, 1, 3, 2, 0, 0, 1, 1, 1, 2, 1, 1, 0, 30
B minor blues (2#), 2, 1, 2, 1, 2, 3, 0, 1, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 3, 0, 1, 34
Bb dorian (2b), 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
D dorian (2#), 2, 1, 1, 1, 1, 2, 0, 1, 0, 1, 0, 4, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 1, 2, 0, 1, 28
Bb phrygian (2b), 2, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 4, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 15
D phrygian (2#), 2, 1, 1, 0, 1, 2, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 2, 1, 1, 0, 1, 2, 0, 0, 20
Bb lydian (2b), 1, 0, 2, 0, 2, 2, 1, 0, 0, 0, 4, 4, 0, 0, 0, 2, 1, 0, 1, 0, 2, 0, 2, 2, 0, 0, 26
D lydian (2#), 1, 0, 2, 0, 2, 2, 1, 0, 0, 0, 1, 4, 0, 0, 0, 2, 1, 0, 1, 0, 2, 0, 2, 2, 0, 0, 23
Bb mixolydian (2b), 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 17
D mixolydian (2#), 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 3, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
Bb aeolian (2b), 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 17
