 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, rowcost
C major (0), 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/2, 2/0, 0/0, 0/0,  , 0/0, 2/0, 0/0, 0/0, 7/2
A minor (0), 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 3/2, 0/0, 0/0,  , 0/0, 3/2, 0/0, 0/0, 9/5
F major (1b), 0/0, 1/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 2/0, 0/0, 0/0,  , 0/0, 2/0, 0/0, 0/0, 10/1
G major (1#), 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 2/2, 2/2, 0/0, 0/0,  , 0/0, 2/0, 0/0, 0/0, 10/4
D minor (1b), 0/0, 1/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/1, 2/1, 0/0, 0/0,  , 0/0, 2/1, 0/0, 0/0, 10/4
E minor (1#), 0/0, 0/0, 0/1, 0/0, 1/0, 0/0, 1/0, 1/2, 1/2, 0/0, 0/0, 0/0, 0/0, 2/1, 3/2, 0/0, 0/0,  , 0/0, 3/2, 0/0, 0/0, 12/10
Bb major (2b), 0/0, 1/1, 2/3, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/1, 1/1, 1/0, 1/0, 0/0, 0/0,  , 0/0, 1/1, 0/0, 0/0, 12/7
D major (2#), 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 3/1, 3/1, 1/0, 1/0,  , 0/0, 2/1, 1/0, 1/0, 20/4
G minor (2b), 0/0, 1/0, 2/0, 1/0, 1/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 1/1, 1/0, 0/0, 0/0,  , 0/0, 1/0, 0/0, 0/0, 12/2
B minor (2#), 0/0, 0/0, 0/0, 0/0, 2/3, 0/0, 1/2, 2/1, 2/1, 0/0, 1/0, 1/0, 1/0, 3/1, 4/2, 1/0, 1/0,  , 0/0, 3/2, 1/0, 1/0, 24/12
Eb major (3b), 0/0, 1/1, 3/3, 1/1, 3/1, 0/0, 0/0, 1/1, 1/1, 0/0, 0/0, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0,  , 0/0, 0/0, 0/0, 0/0, 12/10
A major (3#), 0/0, 0/0, 0/0, 0/0, 2/0, 1/0, 1/0, 2/2, 2/2, 0/0, 1/0, 1/0, 1/0, 2/1, 5/2, 1/0, 1/0,  , 0/0, 4/2, 1/0, 1/0, 26/9
C minor (3b), 0/0, 1/0, 3/1, 1/0, 2/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0,  , 0/0, 0/0, 0/0, 0/0, 11/1
F# minor (3#), 0/0, 0/0, 0/0, 0/0, 2/3, 1/0, 1/0, 3/3, 3/3, 0/0, 1/1, 2/1, 2/1, 2/2, 5/4, 1/0, 1/0,  , 0/0, 4/2, 1/1, 1/1, 30/22
Ab major (4b), 1/0, 1/1, 5/2, 1/0, 5/4, 0/0, 0/0, 1/1, 1/1, 1/0, 1/0, 2/1, 2/1, 0/0, 1/2, 0/0, 0/0,  , 1/0, 1/0, 0/0, 0/0, 24/13
E major (4#), 1/0, 0/0, 1/0, 0/0, 3/0, 1/0, 1/0, 2/1, 2/1, 1/0, 2/0, 2/0, 2/0, 2/1, 6/2, 1/0, 1/0,  , 1/0, 5/2, 1/0, 1/0, 36/7
F minor (4b), 1/0, 1/0, 4/1, 1/0, 3/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 2/1, 2/1, 0/0, 1/0, 0/0, 0/0,  , 1/0, 1/0, 0/0, 0/0, 21/3
C# minor (4#), 1/0, 0/0, 1/0, 0/0, 3/2, 2/0, 1/0, 4/5, 4/5, 1/0, 2/1, 3/1, 3/1, 2/1, 6/3, 1/0, 1/0,  , 1/0, 5/2, 1/0, 1/0, 43/21
Db major (5b), 2/2, 1/0, 5/6, 1/0, 6/5, 1/0, 0/0, 2/1, 2/1, 2/2, 2/2, 3/5, 3/5, 0/0, 6/4, 0/0, 0/0,  , 2/2, 6/4, 0/0, 0/0, 44/39
B major (5#), 1/0, 0/0, 2/1, 0/0, 4/2, 1/0, 1/0, 3/1, 3/1, 1/0, 2/1, 2/1, 2/1, 1/2, 6/4, 1/1, 1/1,  , 1/0, 5/3, 1/1, 1/1, 39/21
Bb minor (5b), 1/0, 1/0, 3/1, 1/1, 3/2, 1/0, 0/0, 2/1, 2/1, 1/0, 1/0, 2/1, 2/1, 0/0, 2/1, 0/0, 0/0,  , 1/0, 2/1, 0/0, 0/0, 25/10
