 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, rowcost
C major (0), 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0,  , 0, 2, 0, 0, 7
A minor (0), 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 4, 0, 0,  , 0, 4, 0, 0, 13
F major (1b), 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0,  , 0, 2, 0, 0, 10
G major (1#), 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 2, 2, 0, 0,  , 0, 2, 0, 0, 10
D minor (1b), 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 2, 2, 2, 3, 1, 1,  , 0, 2, 1, 1, 20
E minor (1#), 1, 0, 1, 0, 2, 0, 1, 1, 1, 1, 1, 1, 1, 2, 4, 0, 0,  , 1, 4, 0, 0, 22
Bb major (2b), 0, 1, 2, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0,  , 0, 1, 0, 0, 12
D major (2#), 0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 1, 1, 1, 3, 3, 1, 1,  , 0, 2, 1, 1, 20
G minor (2b), 0, 1, 1, 1, 2, 0, 1, 2, 2, 0, 0, 1, 1, 1, 1, 0, 0,  , 0, 1, 0, 0, 15
B minor (2#), 0, 0, 1, 0, 3, 0, 1, 2, 2, 0, 1, 1, 1, 2, 4, 1, 1,  , 0, 3, 1, 1, 25
Eb major (3b), 0, 1, 3, 1, 3, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0,  , 0, 0, 0, 0, 12
A major (3#), 0, 0, 0, 0, 2, 1, 1, 2, 2, 0, 1, 1, 1, 2, 5, 1, 1,  , 0, 4, 1, 1, 26
C minor (3b), 0, 0, 2, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0,  , 0, 0, 0, 0, 8
F# minor (3#), 0, 0, 0, 1, 3, 1, 0, 2, 2, 0, 1, 2, 2, 2, 5, 1, 1,  , 0, 4, 1, 1, 29
Ab major (4b), 1, 1, 5, 1, 5, 0, 0, 1, 1, 1, 1, 2, 2, 0, 1, 0, 0,  , 1, 1, 0, 0, 24
E major (4#), 1, 0, 1, 0, 3, 1, 1, 2, 2, 1, 2, 2, 2, 2, 6, 1, 1,  , 1, 5, 1, 1, 36
F minor (4b), 1, 1, 4, 0, 2, 0, 0, 0, 0, 1, 1, 2, 2, 0, 2, 0, 0,  , 1, 2, 0, 0, 19
C# minor (4#), 1, 1, 2, 0, 2, 2, 1, 4, 4, 1, 1, 2, 2, 1, 5, 0, 0,  , 1, 5, 0, 0, 35
Db major (5b), 2, 1, 5, 1, 6, 1, 0, 2, 2, 2, 2, 3, 3, 0, 6, 0, 0,  , 2, 6, 0, 0, 44
B major (5#), 1, 0, 2, 0, 4, 1, 1, 3, 3, 1, 2, 2, 2, 1, 6, 1, 1,  , 1, 5, 1, 1, 39
Bb minor (5b), 1, 1, 2, 1, 2, 1, 0, 2, 2, 1, 1, 2, 2, 1, 3, 0, 0,  , 1, 3, 0, 0, 26
G# minor (5#), 2, 0, 4, 0, 5, 0, 1, 2, 2, 2, 3, 4, 4, 1, 3, 1, 1,  , 2, 2, 1, 1, 41
Gb major (6b), 2, 0, 4, 1, 7, 2, 0, 3, 3, 2, 3, 4, 4, 1, 9, 1, 1,  , 2, 8, 1, 1, 59
F# major (6#), 1, 0, 2, 1, 5, 1, 0, 2, 2, 1, 2, 3, 3, 1, 6, 1, 1,  , 1, 5, 1, 1, 40
Eb minor (6b), 0, 0, 1, 1, 4, 1, 0, 2, 2, 0, 1, 2, 2, 1, 2, 1, 1,  , 0, 1, 1, 1, 24
D# minor (6#), 0, 0, 2, 1, 5, 2, 0, 3, 3, 0, 1, 2, 2, 1, 3, 1, 1,  , 0, 2, 1, 1, 31
Cb major (7b), 2, 0, 4, 0, 7, 2, 1, 4, 4, 2, 4, 4, 4, 2, 10, 2, 2,  , 2, 8, 2, 2, 68
C# major (7#), 1, 1, 3, 1, 4, 2, 0, 3, 3, 1, 1, 2, 2, 0, 5, 0, 0,  , 1, 5, 0, 0, 35
Ab minor (7b), 1, 0, 4, 0, 5, 0, 1, 2, 2, 1, 2, 3, 3, 1, 2, 1, 1,  , 1, 1, 1, 1, 33
A# minor (7#), 2, 1, 3, 2, 4, 2, 0, 4, 4, 2, 2, 3, 3, 1, 5, 0, 0,  , 2, 5, 0, 0, 45
