 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, rowcost
C major (0), 1/1, 1/0, 2/0, 0/0, 1/0, 1/0, 2/0, 0/0, 1/0, 1/0, 2/0, 0/0, 1/0, 1/0, 2/0, 0/0,  ,  ,  ,  ,  ,  ,  , 1/0, 2/1, 1/0, 2/0, 1/0, 2/1, 1/0, 2/0, 0/0, 1/0, 1/0, 2/1, 0/0, 1/0, 1/0, 2/0, 0/0, 36/4
A minor (0), 1/0, 1/0, 2/1, 0/0, 1/0, 1/0, 2/1, 0/0, 1/2, 1/1, 2/1, 0/0, 1/2, 1/1, 2/0, 0/0,  ,  ,  ,  ,  ,  ,  , 1/0, 2/1, 1/1, 3/2, 1/0, 2/1, 1/1, 3/2, 0/0, 1/0, 1/0, 2/0, 0/0, 1/0, 1/0, 2/0, 0/0, 38/17
F major (1b), 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 2/0, 0/0, 1/0, 1/0, 2/0, 0/0,  ,  ,  ,  ,  ,  ,  , 1/0, 2/0, 0/0, 2/0, 1/0, 2/0, 0/0, 2/0, 0/0, 1/0, 1/0, 2/0, 0/0, 1/0, 1/0, 2/0, 0/0, 30/0
G major (1#), 2/1, 1/0, 2/0, 1/0, 2/1, 1/0, 2/0, 1/0, 1/0, 1/0, 2/1, 1/0, 1/0, 1/0, 2/1, 1/0,  ,  ,  ,  ,  ,  ,  , 2/1, 2/3, 1/0, 2/0, 2/0, 2/1, 1/0, 2/0, 1/0, 1/0, 1/0, 2/1, 1/0, 1/0, 1/0, 2/1, 1/0, 47/11
D minor (1b), 1/0, 0/0, 1/1, 0/0, 1/1, 0/0, 1/1, 0/0, 1/0, 1/0, 2/1, 0/0, 1/0, 1/0, 2/2, 0/0,  ,  ,  ,  ,  ,  ,  , 1/1, 2/3, 0/0, 3/2, 1/1, 2/1, 0/0, 3/2, 0/0, 1/0, 1/0, 2/1, 0/0, 1/0, 1/0, 2/2, 0/0, 32/19
E minor (1#), 2/0, 1/1, 2/1, 1/0, 2/0, 1/1, 2/1, 1/0, 1/0, 1/0, 2/0, 1/0, 1/0, 1/0, 2/0, 1/0,  ,  ,  ,  ,  ,  ,  , 2/0, 2/1, 1/1, 3/2, 2/0, 2/1, 1/1, 3/2, 1/0, 1/0, 1/0, 2/0, 1/0, 1/0, 1/0, 2/0, 1/0, 49/12
Bb major (2b), 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 2/0, 0/0,  ,  ,  ,  ,  ,  ,  , 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 2/0, 0/0, 16/0
D major (2#), 3/0, 1/0, 2/1, 2/0, 3/0, 1/0, 2/1, 1/0, 1/0, 1/0, 1/1, 1/0, 1/0, 1/0, 1/0, 1/0,  ,  ,  ,  ,  ,  ,  , 2/0, 3/3, 2/1, 3/2, 2/0, 3/3, 2/1, 3/2, 1/0, 1/0, 1/0, 1/1, 1/0, 1/0, 1/0, 1/0, 1/0, 52/16
G minor (2b), 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 2/1, 0/0,  ,  ,  ,  ,  ,  ,  , 1/0, 1/1, 0/0, 1/0, 1/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 2/1, 0/0, 16/6
B minor (2#), 3/1, 1/0, 2/0, 2/1, 3/1, 1/0, 2/0, 1/0, 1/1, 1/0, 1/0, 1/0, 1/1, 1/0, 1/0, 1/0,  ,  ,  ,  ,  ,  ,  , 2/0, 3/1, 2/2, 3/2, 2/0, 3/1, 2/2, 3/2, 1/0, 1/1, 1/0, 1/0, 1/0, 1/1, 1/0, 1/0, 1/0, 52/17
