 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, rowcost
C major (0), 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 18
A minor (0), 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 2, 1, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1, 1, 1, 1, 29
F major (1b), 2, 2, 2, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 2, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 2, 0, 2, 2, 0, 0, 36
G major (1#), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
D minor (1b), 2, 2, 2, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 2, 2, 2, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 2, 1, 1, 1, 2, 1, 2, 2, 0, 0, 39
E minor (1#), 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 23
Bb major (2b), 2, 2, 2, 1, 1, 1, 0, 0, 2, 2, 2, 2, 1, 1, 0, 0, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 2, 0, 2, 0, 2, 2, 0, 0, 51
D major (2#), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 5
G minor (2b), 1, 1, 1, 1, 1, 1, 0, 0, 2, 2, 2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 34
B minor (2#), 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 13
Eb major (3b), 2, 2, 2, 2, 2, 1, 0, 1, 2, 2, 2, 2, 2, 2, 1, 0, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 2, 0, 2, 0, 2, 2, 0, 0, 60
A major (3#), 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 16
C minor (3b), 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 0, 2, 2, 0, 1, 0, 1, 1, 0, 0, 41
F# minor (3#), 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 1, 1, 1, 2, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 30
Ab major (4b), 3, 3, 3, 4, 3, 2, 0, 2, 2, 2, 2, 2, 3, 3, 2, 0, 3, 3, 3, 4, 3, 3, 1, 1, 2, 2, 3, 3, 2, 2, 3, 3, 2, 1, 3, 1, 3, 3, 0, 0, 90
E major (4#), 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 37
F minor (4b), 3, 3, 3, 3, 2, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 0, 3, 3, 3, 3, 2, 2, 0, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 3, 1, 3, 3, 0, 0, 66
C# minor (4#), 2, 2, 2, 2, 3, 1, 2, 2, 1, 1, 1, 0, 3, 2, 0, 1, 2, 2, 2, 2, 3, 3, 0, 0, 3, 1, 1, 1, 1, 1, 3, 1, 3, 1, 2, 1, 2, 2, 2, 2, 66
Db major (5b), 3, 3, 3, 5, 4, 3, 1, 3, 2, 2, 2, 1, 4, 4, 2, 0, 3, 3, 3, 5, 4, 4, 1, 0, 3, 2, 3, 3, 3, 3, 4, 3, 3, 2, 3, 2, 3, 3, 1, 1, 107
B major (5#), 1, 1, 1, 2, 2, 1, 1, 2, 0, 0, 0, 0, 2, 2, 1, 0, 1, 1, 1, 2, 2, 2, 0, 0, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 45
Bb minor (5b), 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 1, 0, 3, 2, 2, 2, 2, 2, 3, 2, 3, 1, 2, 1, 2, 2, 1, 1, 69
G# minor (5#), 3, 3, 3, 3, 1, 2, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 3, 3, 3, 3, 1, 1, 0, 1, 1, 3, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 0, 0, 72
Gb major (6b), 2, 2, 2, 4, 4, 3, 2, 4, 1, 1, 1, 1, 4, 5, 2, 0, 2, 2, 2, 4, 4, 4, 1, 0, 3, 2, 3, 3, 3, 4, 3, 3, 3, 3, 2, 3, 2, 2, 2, 2, 100
F# major (6#), 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 3, 1, 0, 1, 1, 1, 2, 2, 2, 1, 0, 2, 1, 2, 2, 2, 3, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 59
Eb minor (6b), 0, 0, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 3, 1, 0, 0, 0, 0, 1, 2, 2, 1, 0, 3, 1, 1, 1, 1, 2, 1, 1, 3, 1, 0, 1, 0, 0, 1, 1, 41
D# minor (6#), 0, 0, 0, 2, 4, 1, 2, 4, 1, 1, 1, 1, 4, 5, 2, 0, 0, 0, 0, 2, 4, 4, 1, 0, 4, 1, 1, 1, 1, 2, 1, 1, 4, 1, 0, 1, 0, 0, 2, 2, 61
