 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C major (0), 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/1, 1/0, 1/0, 0/0, 1/0, 1/1, 1/0, 1/1, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 15/3
A minor (0), 0/0, 0/0, 1/1, 0/0, 1/1, 0/0, 1/0, 1/0, 1/1, 1/1, 1/1, 0/0, 1/0, 1/1, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 1/0, 15/7
F major (1b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/1
G major (1#), 1/0, 1/0, 2/1, 0/0, 1/1, 1/0, 1/0, 1/0, 1/1, 1/1, 1/1, 0/0, 1/1, 2/1, 1/1, 2/1, 1/0, 1/0, 2/1, 1/0, 1/1, 1/0, 1/0, 1/0, 26/11
D minor (1b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/2
E minor (1#), 1/2, 1/1, 2/1, 0/0, 1/1, 1/1, 1/1, 1/1, 1/1, 2/1, 2/1, 0/0, 1/1, 2/1, 1/1, 2/1, 1/0, 1/0, 2/1, 1/0, 1/1, 1/1, 1/1, 1/1, 28/20
Bb major (2b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1
D major (2#), 1/0, 1/0, 2/0, 0/0, 2/1, 2/0, 1/0, 1/0, 1/1, 2/1, 2/1, 0/0, 1/0, 2/1, 1/0, 1/0, 1/0, 1/0, 2/0, 1/0, 2/1, 2/0, 1/0, 1/0, 31/6
G minor (2b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1
B minor (2#), 1/1, 1/1, 2/1, 0/0, 2/1, 2/2, 1/0, 1/0, 1/1, 3/1, 3/1, 0/0, 1/1, 2/2, 1/1, 1/1, 1/1, 1/1, 2/2, 1/1, 2/2, 2/2, 1/1, 1/1, 33/25
Eb major (3b), 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/1, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 11/1
A major (3#), 2/2, 2/1, 3/0, 1/0, 3/1, 3/0, 1/0, 1/0, 1/1, 2/1, 3/1, 0/0, 2/0, 3/1, 2/0, 2/0, 2/0, 2/0, 3/0, 1/0, 3/1, 3/0, 1/0, 1/0, 47/9
C minor (3b), 0/0, 1/0, 0/1, 1/0, 0/1, 0/0, 0/0, 0/0, 1/1, 1/0, 1/0, 0/0, 1/0, 1/1, 1/0, 1/1, 0/0, 1/0, 0/1, 1/0, 0/1, 0/0, 0/0, 0/0, 11/7
F# minor (3#), 2/2, 2/1, 3/1, 1/0, 3/1, 3/2, 1/0, 1/0, 1/1, 3/2, 4/2, 0/0, 2/1, 3/1, 2/1, 2/1, 2/1, 2/1, 3/1, 1/0, 3/1, 3/2, 1/0, 1/0, 49/22
Ab major (4b), 1/0, 2/2, 1/0, 2/2, 1/0, 1/0, 0/0, 0/0, 3/2, 3/2, 2/2, 1/0, 3/4, 2/2, 4/2, 0/0, 1/0, 2/2, 1/0, 2/2, 1/0, 1/0, 0/0, 0/0, 34/22
E major (4#), 3/2, 2/1, 4/1, 1/0, 4/1, 4/1, 1/0, 1/0, 2/1, 4/1, 4/1, 1/0, 2/1, 2/1, 3/2, 2/1, 3/1, 2/1, 4/1, 1/1, 4/1, 4/2, 1/0, 1/0, 60/21
F minor (4b), 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 2/1, 2/0, 1/0, 1/0, 1/0, 1/1, 2/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 22/2
C# minor (4#), 4/4, 3/2, 5/3, 2/2, 5/3, 5/3, 1/0, 1/0, 2/1, 4/2, 5/4, 1/0, 3/3, 3/3, 4/3, 3/2, 4/4, 3/2, 5/3, 1/0, 5/3, 5/3, 1/0, 1/0, 76/50
Db major (5b), 3/2, 3/2, 3/2, 3/2, 3/2, 3/2, 0/0, 0/0, 5/6, 4/4, 3/3, 2/2, 4/4, 3/3, 6/4, 1/1, 3/2, 3/2, 3/2, 2/2, 3/2, 3/2, 0/0, 0/0, 63/51
B major (5#), 3/1, 3/1, 3/1, 2/0, 3/1, 4/2, 0/0, 0/0, 3/1, 3/2, 3/2, 1/0, 3/1, 3/1, 4/1, 2/1, 3/1, 3/1, 3/1, 2/0, 3/1, 4/2, 0/0, 0/0, 58/21
Bb minor (5b), 2/0, 2/0, 2/0, 2/0, 2/0, 2/0, 0/0, 0/0, 2/0, 2/0, 2/0, 1/0, 2/0, 2/0, 3/0, 1/1, 2/0, 2/0, 2/0, 1/0, 2/0, 2/0, 0/0, 0/0, 38/1
G# minor (5#), 5/7, 4/2, 5/5, 3/2, 5/5, 6/6, 0/0, 0/0, 3/5, 4/4, 4/4, 2/2, 4/3, 4/3, 6/5, 3/3, 5/7, 4/2, 5/5, 2/0, 5/5, 6/6, 0/0, 0/0, 85/81
Gb major (6b), 4/6, 4/4, 4/4, 4/4, 5/4, 5/4, 0/0, 0/0, 5/6, 5/4, 5/4, 2/2, 5/6, 4/4, 7/6, 2/2, 4/6, 4/4, 4/4, 2/2, 5/4, 5/4, 0/0, 0/0, 85/84
F# major (6#), 2/2, 2/1, 2/1, 2/1, 3/1, 3/2, 0/0, 0/0, 3/1, 3/2, 3/2, 1/0, 3/2, 2/2, 4/2, 1/1, 2/2, 2/1, 2/1, 1/0, 3/1, 3/2, 0/0, 0/0, 47/27
Eb minor (6b), 2/0, 2/1, 2/0, 2/0, 3/0, 3/0, 0/0, 0/0, 2/1, 3/1, 3/1, 1/0, 2/2, 2/1, 3/1, 1/1, 2/0, 2/1, 2/0, 1/0, 3/0, 3/0, 0/0, 0/0, 44/10
D# minor (6#), 4/6, 4/4, 4/5, 4/4, 5/5, 5/5, 0/0, 0/0, 4/7, 5/5, 5/3, 2/0, 4/4, 4/3, 6/7, 2/2, 4/6, 4/4, 4/5, 2/2, 5/5, 5/5, 0/0, 0/0, 82/87
Cb major (7b), 5/6, 5/4, 5/4, 4/4, 6/6, 7/6, 0/0, 0/0, 5/6, 6/6, 6/6, 2/2, 5/6, 5/4, 7/6, 3/2, 5/6, 5/4, 5/4, 3/2, 6/6, 7/6, 0/0, 0/0, 102/96
C# major (7#), 3/4, 3/2, 3/3, 3/2, 3/3, 3/3, 0/0, 0/0, 3/1, 2/2, 3/3, 1/1, 4/4, 3/3, 5/3, 2/2, 3/4, 3/2, 3/3, 1/0, 3/3, 3/3, 0/0, 0/0, 57/51
Ab minor (7b), 3/0, 4/2, 3/0, 3/2, 3/0, 4/0, 0/0, 0/0, 3/2, 4/2, 4/2, 1/0, 4/4, 4/2, 5/2, 2/0, 3/0, 4/2, 3/0, 3/2, 3/0, 4/0, 0/0, 0/0, 67/22
A# minor (7#), 4/4, 4/4, 4/5, 4/4, 4/5, 4/5, 0/0, 0/0, 4/7, 4/4, 4/2, 2/0, 4/2, 4/2, 6/4, 2/1, 4/6, 4/4, 4/5, 2/2, 4/5, 4/5, 0/0, 0/0, 76/76
