id,title,composer,KSgt,KSest,notes,err,time
0,Autumn-Leaves,,,B- major (-2),1055,49,1.496
0,Blues-By-Five,,F major (-1),B- major (-2),1003,33,1.758
0,Bye-Bye-Blackbird,,,F major (-1),1226,45,1.500
0,C-Jam-Blues,,,C major (0),945,42,1.180
0,Come-Rain-or-Come-Shine,,F major (-1),C major (0),1396,63,1.522
0,Cottontail,,B- major (-2),E- major (-3),2005,126,2.798
0,Dear-Old-Stockholm,,F major (-1),C major (0),1255,24,1.873
0,Dolphin-dance,,E- major (-3),B- major (-2),1272,69,23.726
0,Doxy,,B- major (-2),F major (-1),1277,16,1.781
0,For-Regulars-Only,,D- major (-5),E- major (-3),1644,107,2.083
0,Four,,,E- major (-3),1867,85,2.105
0,Fried-Bananas,,,E- major (-3),1631,66,1.967
0,Gone-with-the-wind,,E- major (-3),B- major (-2),1448,79,1.651
0,Have-You-Met-Miss-Jones,,,F major (-1),1901,63,2.325
0,Honeysuckle-Rose,,,F major (-1),1542,59,2.137
0,I-ll-Remember-April,,,G major (1),1750,42,2.222
0,In-Your-Own-Sweet-Way,,E- major (-3),B- major (-2),1119,91,1.338
0,In-a-Mellow-Tone,,A- major (-4),E- major (-3),1172,55,1.707
0,Invitation,,E- major (-3),B- major (-2),1553,169,2.094
0,Isotope,,C major (0),F major (-1),1547,85,2.190
0,Just-Friends,,,F major (-1),1589,69,2.216
0,Ladybird,,C major (0),F major (-1),1681,48,1.918
0,Milestones,,E- major (-3),F major (-1),1382,115,1.910
0,Montmartre,,,D- major (-5),1636,190,2.299
0,Namely-You,,,B- major (-2),1265,50,2.147
0,Nows-the-time,,,F major (-1),1490,52,2.020
0,Oleo,,B- major (-2),F major (-1),1960,120,3.000
0,On-Green-Dolphin-Street,,,E- major (-3),1678,96,2.098
0,Out-of-the-Night,,A- major (-4),E- major (-3),980,41,1.390
0,Parisian-Thoroughfare,,F major (-1),C major (0),1807,71,2.838
0,Pennies-from-Heaven,,,C major (0),967,40,1.467
0,Satin-Doll,,,C major (0),1397,91,2.649
0,Scrapple-From-the-Apple,,,F major (-1),1714,114,2.268
0,Sonnymoon-for-Two,,,B- major (-2),1094,35,1.592
0,Soon,,,E- major (-3),1464,57,1.925
0,Star-Eyes,,,E- major (-3),1816,100,2.455
0,Stella-By-Starlight,,B- major (-2),F major (-1),1642,61,2.381
0,Step-Lightly,,,C major (0),906,38,1.207
0,Sweet-Georgia-Brown,,A- major (-4),E- major (-3),1151,49,2.285
0,Take-the-A-Train,,,C major (0),1407,31,1.782
0,Tangerine,,F major (-1),C major (0),1877,53,2.306
0,The-Rainbow-People,,,E- major (-3),1153,138,2.099
0,There-will-never-be-another-you,,E- major (-3),B- major (-2),1744,65,2.463
0,Three-Little-Words,,,C major (0),1831,102,2.206
0,UMMG,,D- major (-5),C# major (7),1613,1392,1.740
