 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C major (0), 1/0, 0/0, 1/0, 1/0, 1/1, 0/0, 1/1, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 2/0, 2/0, 1/0, 0/0, 1/0, 2/1, 0/0, 3/1, 1/0, 1/0, 1/0, 22/4
A minor (0), 1/0, 0/0, 1/0, 1/0, 1/1, 0/0, 1/1, 0/0, 0/0, 2/1, 2/2, 0/0, 1/0, 3/1, 2/3, 1/0, 0/0, 1/0, 3/2, 0/0, 3/4, 1/0, 1/0, 1/0, 26/15
F major (1b), 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 2/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 2/0, 0/0, 0/0, 1/0, 1/1, 0/0, 2/1, 0/0, 0/0, 0/0, 12/4
G major (1#), 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 3/1, 3/0, 2/0, 1/0, 1/0, 3/1, 0/0, 3/1, 2/0, 1/0, 1/0, 26/3
D minor (1b), 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 2/1, 2/2, 0/0, 0/0, 1/1, 2/2, 0/0, 2/3, 0/0, 0/0, 0/0, 13/11
E minor (1#), 1/2, 0/0, 1/3, 1/2, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 2/2, 0/0, 1/3, 3/3, 3/1, 2/1, 1/0, 1/0, 4/2, 0/0, 3/4, 2/3, 1/1, 1/1, 29/29
Bb major (2b), 0/0, 0/0, 0/0, 0/0, 1/1, 1/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 8/3
D major (2#), 2/0, 0/0, 2/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 2/2, 0/0, 1/0, 4/1, 4/1, 2/0, 2/0, 1/1, 5/2, 1/0, 4/2, 2/0, 1/0, 1/0, 36/10
G minor (2b), 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/2, 0/0, 0/0, 0/0, 8/4
B minor (2#), 2/1, 0/0, 2/3, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 3/2, 0/0, 1/0, 4/4, 4/2, 2/0, 2/2, 1/0, 5/3, 1/0, 4/2, 2/0, 1/0, 1/0, 38/20
Eb major (3b), 0/0, 0/0, 0/0, 0/0, 2/1, 1/1, 3/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 7/3
A major (3#), 2/2, 1/0, 2/3, 2/0, 1/0, 0/0, 1/0, 0/0, 0/0, 2/1, 3/2, 0/0, 1/0, 4/1, 3/1, 2/0, 2/0, 1/0, 4/2, 2/0, 3/4, 2/0, 1/0, 1/0, 40/16
C minor (3b), 0/0, 0/0, 0/0, 0/0, 2/0, 1/0, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 6/0
F# minor (3#), 2/0, 1/1, 2/0, 2/1, 1/1, 0/0, 1/1, 0/0, 0/0, 2/1, 3/2, 0/0, 1/0, 2/2, 3/0, 2/0, 2/0, 1/0, 4/3, 2/1, 3/1, 2/0, 1/0, 1/0, 38/14
Ab major (4b), 0/0, 0/0, 0/0, 0/0, 3/3, 1/1, 4/3, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 14/8
E major (4#), 2/1, 1/1, 2/3, 2/1, 1/1, 0/0, 1/0, 1/0, 1/0, 3/1, 2/2, 1/0, 1/0, 4/4, 2/2, 2/1, 2/3, 0/0, 5/4, 2/0, 2/3, 2/1, 1/0, 1/0, 41/28
F minor (4b), 0/0, 0/0, 0/0, 0/0, 2/1, 1/0, 3/1, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/1, 0/0, 0/0, 0/0, 12/4
C# minor (4#), 2/0, 2/0, 2/0, 3/0, 3/2, 0/0, 5/4, 1/0, 1/0, 3/2, 2/1, 1/0, 1/0, 2/2, 2/0, 2/0, 2/0, 0/0, 6/3, 3/3, 2/1, 2/0, 1/0, 1/0, 49/18
Db major (5b), 0/0, 1/0, 0/0, 1/0, 4/3, 1/1, 5/3, 2/6, 2/6, 5/4, 2/2, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/2, 1/0, 0/0, 0/0, 0/0, 0/0, 29/29
B major (5#), 1/1, 1/1, 1/3, 1/1, 2/1, 0/0, 2/1, 1/0, 1/0, 3/1, 2/1, 1/0, 0/0, 3/2, 2/1, 1/0, 2/2, 0/0, 4/3, 2/0, 1/2, 1/0, 0/0, 0/0, 32/20
Bb minor (5b), 0/0, 1/0, 0/0, 1/0, 3/1, 1/0, 4/1, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 1/0, 0/2, 0/0, 0/0, 0/0, 18/5
G# minor (5#), 1/0, 2/0, 1/0, 2/0, 4/3, 0/0, 6/5, 2/6, 2/6, 2/0, 3/1, 2/0, 0/0, 1/0, 2/0, 1/0, 2/0, 0/0, 6/6, 3/3, 1/1, 1/0, 0/0, 0/0, 44/31
Gb major (6b), 1/0, 2/2, 1/0, 2/2, 4/5, 1/1, 4/7, 2/6, 2/6, 5/4, 3/2, 2/2, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 5/4, 3/2, 1/0, 0/0, 0/0, 0/0, 41/43
F# major (6#), 1/0, 1/1, 1/0, 1/1, 2/1, 1/0, 2/2, 1/0, 1/0, 3/2, 2/2, 1/1, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 3/2, 2/2, 1/0, 0/0, 0/0, 0/0, 26/14
Eb minor (6b), 1/0, 1/0, 1/0, 1/0, 3/1, 1/1, 4/1, 1/0, 1/0, 1/0, 2/0, 1/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 3/0, 2/0, 1/0, 0/0, 0/0, 0/0, 27/3
D# minor (6#), 1/0, 2/0, 1/0, 2/0, 5/4, 1/0, 7/6, 2/6, 2/6, 2/0, 3/1, 2/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 5/5, 3/1, 1/2, 0/0, 0/0, 0/0, 42/31
Cb major (7b), 2/2, 2/2, 2/6, 2/2, 4/5, 0/0, 4/7, 2/6, 2/6, 5/4, 4/4, 2/2, 0/0, 5/4, 3/2, 1/0, 3/4, 0/0, 7/6, 4/4, 2/4, 1/0, 0/0, 0/0, 57/70
C# major (7#), 0/0, 2/0, 0/0, 2/0, 4/2, 1/0, 6/4, 1/0, 1/0, 3/2, 1/2, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/3, 2/3, 0/1, 0/0, 0/0, 0/0, 27/18
Ab minor (7b), 1/0, 1/0, 1/0, 1/0, 4/3, 0/0, 5/3, 1/0, 1/0, 1/0, 2/0, 1/0, 0/0, 1/0, 2/0, 1/0, 2/0, 0/0, 4/1, 2/0, 1/0, 1/0, 0/0, 0/0, 33/7
A# minor (7#), 0/0, 2/0, 0/0, 2/0, 5/4, 2/2, 7/6, 2/6, 2/6, 2/0, 2/1, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 4/4, 2/1, 0/0, 0/0, 0/0, 0/0, 34/30
