 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, rowcost
C major (0), 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 13
A minor (0), 1, 1, 1, 1, 1, 2, 0, 2, 0, 0, 1, 1, 1, 4, 1, 0, 0, 0, 0, 0, 1, 4, 1, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 25
A minor mel (0), 1, 1, 1, 1, 2, 3, 0, 2, 0, 0, 1, 1, 1, 4, 1, 0, 0, 0, 0, 1, 1, 4, 1, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 28
C major blues (0), 0, 0, 0, 0, 1, 3, 1, 3, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 2, 1, 1, 2, 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 21
A minor blues (0), 0, 0, 0, 0, 1, 3, 1, 3, 0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 2, 1, 1, 3, 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 23
C dorian (0), 0, 0, 0, 0, 1, 3, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 16
C phrygian (0), 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 10
C lydian (0), 0, 0, 0, 0, 1, 3, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 16
C mixolydian (0), 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 10
C aeolian (0), 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 13
C locrian (0), 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 7
F major (1b), 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 10
G major (1#), 0, 0, 0, 0, 1, 3, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 16
D minor (1b), 1, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 1, 2, 1, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 0, 25
E minor (1#), 1, 1, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 2, 4, 0, 0, 1, 0, 1, 2, 2, 4, 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 31
D minor mel (1b), 1, 1, 1, 1, 1, 2, 0, 3, 0, 0, 1, 1, 2, 3, 1, 0, 0, 1, 1, 0, 2, 3, 1, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 28
E minor mel (1#), 2, 2, 2, 2, 2, 2, 1, 2, 0, 1, 2, 2, 3, 5, 1, 0, 1, 1, 1, 2, 3, 5, 1, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2, 1, 46
F major blues (1b), 0, 0, 0, 0, 0, 2, 2, 3, 1, 0, 0, 0, 1, 2, 1, 1, 1, 1, 2, 0, 1, 2, 1, 1, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 25
G major blues (1#), 1, 1, 1, 1, 2, 3, 0, 3, 0, 0, 1, 1, 2, 3, 1, 0, 1, 1, 2, 1, 2, 3, 1, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 35
D minor blues (1b), 0, 0, 0, 0, 0, 2, 2, 3, 1, 0, 0, 0, 1, 2, 1, 1, 1, 1, 2, 0, 1, 2, 1, 1, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 25
E minor blues (1#), 1, 1, 1, 1, 2, 3, 0, 3, 0, 0, 1, 1, 2, 4, 1, 0, 1, 1, 2, 1, 2, 4, 1, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 37
F dorian (1b), 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 13
G dorian (1#), 1, 1, 1, 1, 2, 3, 0, 3, 0, 0, 1, 1, 2, 3, 1, 0, 0, 1, 1, 1, 2, 3, 1, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 31
F phrygian (1b), 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 7
G phrygian (1#), 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 13
F lydian (1b), 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 13
G lydian (1#), 1, 1, 1, 1, 2, 3, 0, 3, 0, 0, 1, 1, 2, 3, 1, 0, 0, 1, 1, 1, 2, 3, 1, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 31
F mixolydian (1b), 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 7
G mixolydian (1#), 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 13
