 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, rowcost
C major (0), 1/0, 0/0, 1/0, 0/0, 1/2, 0/0, 1/0, 0/0, 2/1, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 9/3
A minor (0), 1/2, 0/0, 1/2, 0/0, 1/2, 0/0, 1/2, 0/0, 2/1, 1/0, 1/1, 0/0, 1/2, 0/0, 0/0, 9/12
F major (1b), 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/0
G major (1#), 1/0, 0/0, 1/0, 0/0, 2/1, 1/0, 2/1, 0/0, 2/0, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 12/2
D minor (1b), 0/0, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/3
E minor (1#), 1/2, 0/0, 1/2, 0/0, 2/1, 1/0, 2/2, 0/0, 2/1, 1/0, 1/1, 0/0, 1/2, 0/0, 0/0, 12/11
Bb major (2b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0
D major (2#), 2/2, 1/0, 2/2, 1/0, 3/2, 1/0, 3/0, 1/0, 3/1, 1/0, 2/1, 1/0, 2/1, 1/0, 1/0, 25/9
G minor (2b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0
B minor (2#), 2/1, 1/0, 2/2, 1/0, 3/1, 1/1, 3/4, 1/0, 3/1, 1/0, 2/1, 1/0, 2/1, 1/0, 1/0, 25/12
Eb major (3b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0
A major (3#), 3/3, 1/0, 3/2, 1/0, 4/2, 1/0, 4/2, 1/0, 4/1, 1/1, 3/4, 1/0, 3/2, 1/0, 1/0, 32/17
C minor (3b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0
F# minor (3#), 3/1, 1/1, 3/2, 1/1, 4/3, 1/0, 4/2, 1/1, 4/4, 1/0, 3/1, 1/1, 3/1, 1/1, 1/1, 32/20
Ab major (4b), 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 5/0
E major (4#), 4/3, 1/0, 4/2, 1/0, 3/1, 1/0, 5/3, 1/0, 3/1, 1/0, 4/1, 1/0, 4/2, 1/0, 1/0, 35/13
F minor (4b), 1/0, 0/0, 1/0, 0/0, 0/2, 0/0, 1/0, 0/0, 0/1, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 5/3
C# minor (4#), 5/3, 1/0, 5/4, 1/0, 4/3, 1/0, 6/4, 1/0, 4/3, 1/0, 5/3, 1/0, 5/3, 1/0, 1/0, 42/23
Db major (5b), 3/2, 0/0, 3/2, 0/0, 1/0, 0/0, 3/2, 0/0, 1/0, 0/0, 3/2, 0/0, 3/2, 0/0, 0/0, 17/10
B major (5#), 3/1, 1/0, 3/2, 1/0, 3/1, 1/0, 4/2, 1/0, 2/1, 0/0, 3/1, 1/0, 3/1, 1/0, 1/0, 28/9
Bb minor (5b), 2/0, 0/0, 2/0, 0/0, 1/0, 0/0, 2/0, 0/0, 1/0, 0/0, 2/0, 0/0, 2/0, 0/0, 0/0, 12/0
G# minor (5#), 5/5, 1/0, 5/6, 1/0, 4/3, 1/0, 6/3, 1/0, 3/3, 0/0, 5/5, 1/0, 5/5, 1/0, 1/0, 40/30
Gb major (6b), 5/4, 1/0, 5/4, 1/0, 3/2, 0/0, 5/4, 1/0, 3/2, 0/0, 5/4, 1/0, 5/4, 1/0, 1/0, 37/24
F# major (6#), 3/1, 1/0, 3/2, 1/0, 2/1, 0/0, 3/2, 1/0, 2/4, 0/0, 3/1, 1/0, 3/1, 1/0, 1/0, 25/12
Eb minor (6b), 3/0, 1/0, 3/0, 1/0, 2/0, 0/0, 3/0, 1/0, 2/0, 0/0, 3/0, 1/0, 3/0, 1/0, 1/0, 25/0
D# minor (6#), 5/3, 1/0, 5/4, 1/0, 3/2, 0/0, 5/3, 1/0, 3/3, 0/0, 5/5, 1/0, 5/5, 1/0, 1/0, 37/25
Cb major (7b), 6/6, 2/2, 6/8, 2/2, 5/6, 1/0, 7/6, 2/2, 4/8, 0/0, 6/6, 2/2, 6/6, 2/2, 2/2, 53/58
C# major (7#), 3/3, 0/0, 3/3, 0/0, 2/2, 0/0, 3/3, 0/0, 2/3, 0/0, 3/3, 0/0, 3/3, 0/0, 0/0, 19/20
Ab minor (7b), 3/1, 1/0, 3/0, 1/0, 3/0, 1/0, 4/1, 1/0, 2/0, 0/0, 3/0, 1/0, 3/0, 1/0, 1/0, 28/2
A# minor (7#), 4/3, 0/0, 4/4, 0/0, 2/2, 0/0, 4/3, 0/0, 2/3, 0/0, 4/3, 0/0, 4/3, 0/0, 0/0, 24/21
