 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, rowcost
C major (0), 1, 0, 1, 0, 1, 0, 1, 0, 2, 1, 1, 0, 1, 0, 0, 9
A minor (0), 2, 0, 2, 0, 2, 0, 2, 0, 3, 1, 2, 0, 2, 0, 0, 16
F major (1b), 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2
G major (1#), 1, 0, 1, 0, 2, 1, 2, 0, 2, 1, 1, 0, 1, 0, 0, 12
D minor (1b), 1, 1, 1, 1, 2, 0, 1, 1, 2, 0, 1, 1, 1, 1, 1, 15
E minor (1#), 2, 0, 2, 0, 1, 1, 3, 0, 1, 1, 2, 0, 2, 0, 0, 15
Bb major (2b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
D major (2#), 2, 1, 2, 1, 3, 1, 3, 1, 3, 1, 2, 1, 2, 1, 1, 25
G minor (2b), 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3
B minor (2#), 1, 1, 1, 1, 3, 1, 2, 1, 2, 0, 1, 1, 1, 1, 1, 18
Eb major (3b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
A major (3#), 3, 1, 3, 1, 4, 1, 4, 1, 4, 1, 3, 1, 3, 1, 1, 32
C minor (3b), 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 7
F# minor (3#), 3, 1, 3, 1, 3, 0, 3, 1, 4, 1, 3, 1, 3, 1, 1, 29
Ab major (4b), 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 5
E major (4#), 4, 1, 4, 1, 3, 1, 5, 1, 3, 1, 4, 1, 4, 1, 1, 35
F minor (4b), 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 7
C# minor (4#), 4, 0, 4, 0, 3, 1, 5, 0, 3, 1, 4, 0, 4, 0, 0, 29
Db major (5b), 3, 0, 3, 0, 1, 0, 3, 0, 1, 0, 3, 0, 3, 0, 0, 17
B major (5#), 3, 1, 3, 1, 3, 1, 4, 1, 2, 0, 3, 1, 3, 1, 1, 28
Bb minor (5b), 2, 0, 2, 0, 1, 0, 2, 0, 1, 0, 2, 0, 2, 0, 0, 12
G# minor (5#), 3, 1, 3, 1, 2, 1, 4, 1, 1, 0, 3, 1, 3, 1, 1, 26
Gb major (6b), 5, 1, 5, 1, 3, 0, 5, 1, 3, 0, 5, 1, 5, 1, 1, 37
F# major (6#), 3, 1, 3, 1, 2, 0, 3, 1, 2, 0, 3, 1, 3, 1, 1, 25
Eb minor (6b), 2, 1, 2, 1, 2, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 20
D# minor (6#), 3, 1, 3, 1, 3, 0, 3, 1, 3, 0, 3, 1, 3, 1, 1, 27
Cb major (7b), 6, 2, 6, 2, 5, 1, 7, 2, 4, 0, 6, 2, 6, 2, 2, 53
C# major (7#), 3, 0, 3, 0, 2, 0, 3, 0, 2, 0, 3, 0, 3, 0, 0, 19
Ab minor (7b), 2, 1, 2, 1, 2, 1, 3, 1, 1, 0, 2, 1, 2, 1, 1, 21
A# minor (7#), 4, 0, 4, 0, 2, 0, 4, 0, 2, 0, 4, 0, 4, 0, 0, 24
