 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, rowcost
C major (0), 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 1/1, 2/1, 1/2, 2/2, 1/0, 1/1, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 15/10
A minor (0), 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 1/0, 2/0, 1/0, 2/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 15/0
F major (1b), 1/1, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/1, 1/0, 2/1, 1/0, 0/0, 2/1, 2/1, 1/2, 2/3, 1/1, 1/1, 1/1, 0/0, 0/0, 1/0, 1/0, 2/1, 1/0, 2/1, 1/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 29/16
G major (1#), 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 1/0, 1/1, 1/0, 1/2, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 10/6
D minor (1b), 1/0, 1/0, 0/1, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 2/0, 1/0, 0/0, 2/0, 2/1, 1/0, 2/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/1, 2/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 28/3
E minor (1#), 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 10/0
Bb major (2b), 1/1, 1/1, 1/0, 0/0, 2/1, 1/0, 3/1, 1/1, 2/0, 2/1, 2/1, 2/1, 1/0, 3/2, 1/1, 2/2, 2/3, 1/1, 2/1, 1/1, 1/0, 1/0, 1/1, 2/1, 2/1, 2/1, 2/1, 2/1, 2/1, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 48/27
D major (2#), 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/1, 1/0, 1/1, 0/0, 0/0, 2/1, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/1, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 21/4
G minor (2b), 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 2/0, 1/0, 2/1, 1/0, 2/1, 1/0, 1/0, 3/0, 1/0, 2/0, 2/2, 1/0, 2/0, 1/0, 1/0, 1/0, 1/0, 2/0, 1/0, 1/0, 2/0, 1/2, 2/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 41/6
B minor (2#), 0/0, 0/0, 1/1, 1/1, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 2/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 1/0, 1/0, 0/0, 0/0, 1/1, 1/1, 0/0, 1/0, 1/0, 1/0, 1/0, 21/5
