 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, rowcost
C major (0), 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 2, 1, 2, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 15
A minor (0), 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 16
F major (1b), 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 2, 1, 0, 2, 2, 1, 2, 1, 1, 1, 0, 0, 1, 1, 2, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 29
G major (1#), 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 10
D minor (1b), 1, 1, 1, 0, 2, 1, 2, 1, 1, 2, 2, 2, 0, 1, 3, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 2, 2, 1, 0, 1, 0, 0, 1, 1, 1, 1, 39
E minor (1#), 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 17
Bb major (2b), 1, 1, 1, 0, 2, 1, 3, 1, 2, 2, 2, 2, 1, 3, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 48
D major (2#), 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 21
G minor (2b), 0, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 3, 0, 2, 1, 0, 2, 0, 1, 1, 1, 2, 0, 1, 2, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 36
B minor (2#), 1, 0, 1, 2, 1, 1, 2, 0, 1, 2, 1, 2, 0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 2, 1, 2, 0, 0, 1, 1, 0, 1, 1, 1, 1, 31
Eb major (3b), 2, 1, 1, 1, 2, 1, 4, 1, 1, 3, 1, 3, 1, 3, 1, 2, 1, 2, 2, 2, 1, 1, 1, 2, 3, 3, 1, 3, 2, 0, 1, 0, 1, 0, 0, 0, 0, 54
A major (3#), 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 22
C minor (3b), 2, 0, 1, 1, 0, 1, 2, 0, 1, 1, 0, 1, 1, 2, 1, 2, 1, 2, 2, 2, 1, 1, 0, 1, 2, 1, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 34
F# minor (3#), 0, 1, 2, 0, 1, 2, 2, 0, 1, 1, 0, 1, 1, 1, 2, 1, 0, 0, 1, 0, 1, 2, 0, 2, 1, 1, 0, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 34
Ab major (4b), 3, 1, 2, 2, 3, 1, 5, 2, 1, 4, 2, 4, 1, 2, 1, 1, 1, 3, 1, 3, 1, 1, 2, 2, 5, 4, 2, 4, 2, 0, 2, 0, 1, 0, 0, 0, 0, 69
E major (4#), 0, 1, 2, 1, 2, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 1, 0, 1, 2, 1, 0, 1, 1, 1, 1, 29
