 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, rowcost
C major (0), 1, 2, 0, 3, 1, 2, 0, 1, 0, 1, 0, 1, 1, 1,  ,  ,  , 1,  ,  , 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 17
A minor (0), 1, 3, 0, 5, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0,  ,  ,  , 1,  ,  , 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 18
A minor mel (0), 2, 3, 1, 4, 2, 2, 1, 2, 1, 2, 1, 2, 2, 1,  ,  ,  , 1,  ,  , 1, 1, 2, 2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 35
C major blues (0), 2, 2, 1, 3, 2, 3, 1, 2, 1, 2, 1, 2, 2, 2,  ,  ,  , 1,  ,  , 1, 1, 2, 2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 35
A minor blues (0), 2, 3, 1, 5, 2, 3, 1, 2, 1, 2, 1, 2, 2, 2,  ,  ,  , 1,  ,  , 1, 1, 2, 2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 38
C dorian (0), 2, 2, 1, 2, 2, 3, 1, 2, 1, 2, 1, 2, 2, 2,  ,  ,  , 1,  ,  , 1, 1, 2, 2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 34
C phrygian (0), 0, 1, 0, 3, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1,  ,  ,  , 0,  ,  , 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 10
C lydian (0), 2, 2, 1, 2, 2, 3, 1, 2, 1, 2, 1, 2, 2, 2,  ,  ,  , 1,  ,  , 1, 1, 2, 2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 34
C mixolydian (0), 0, 1, 0, 3, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1,  ,  ,  , 0,  ,  , 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 10
C aeolian (0), 1, 2, 0, 3, 1, 2, 0, 1, 0, 1, 0, 1, 1, 1,  ,  ,  , 1,  ,  , 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 17
C locrian (0), 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1,  ,  ,  , 0,  ,  , 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 5
F major (1b), 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1,  ,  ,  , 0,  ,  , 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 9
