 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, rowcost
C major (0),  ,  ,  ,  , 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 4/2, 4/3, 3/3, 0/0, 1/1, 0/0, 1/0, 1/0, 1/1, 0/0, 1/0, 1/0, 1/1, 2/1, 1/0,  ,  ,  ,  ,  ,  , 1/1, 2/5, 2/3, 3/6, 1/1, 0/0, 0/0, 0/0, 0/0, 37/28
A minor (0),  ,  ,  ,  , 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/2, 1/0, 4/6, 3/4, 2/1, 0/0, 1/0, 0/0, 1/1, 1/3, 1/1, 0/0, 1/1, 1/3, 1/1, 2/1, 1/0,  ,  ,  ,  ,  ,  , 1/0, 2/5, 2/3, 3/0, 1/0, 0/0, 0/0, 0/0, 0/0, 35/32
F major (1b),  ,  ,  ,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/2, 4/3, 4/3, 0/0, 2/1, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/1,  ,  ,  ,  ,  ,  , 0/0, 3/5, 3/3, 3/8, 1/1, 0/0, 0/0, 0/0, 0/0, 26/27
G major (1#),  ,  ,  ,  , 2/2, 0/0, 2/0, 0/0, 2/0, 0/0, 2/0, 1/0, 1/0, 2/0, 3/6, 5/4, 2/2, 0/0, 0/0, 0/0, 1/1, 1/0, 2/2, 0/0, 1/0, 1/0, 2/2, 3/1, 0/0,  ,  ,  ,  ,  ,  , 1/0, 2/2, 2/2, 2/5, 1/1, 0/0, 0/0, 1/0, 0/0, 42/30
D minor (1b),  ,  ,  ,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/6, 3/6, 3/1, 0/0, 2/0, 0/0, 0/1, 0/3, 1/0, 0/0, 0/0, 0/0, 1/2, 1/1, 1/0,  ,  ,  ,  ,  ,  , 0/0, 3/2, 3/2, 3/8, 1/1, 0/0, 0/0, 0/0, 0/0, 25/33
E minor (1#),  ,  ,  ,  , 2/1, 0/0, 2/1, 0/0, 2/1, 0/0, 2/1, 1/1, 2/3, 2/4, 3/8, 4/4, 1/1, 0/0, 0/0, 0/0, 1/1, 1/3, 2/2, 0/0, 1/1, 1/3, 2/2, 3/2, 0/0,  ,  ,  ,  ,  ,  , 1/1, 2/0, 2/0, 2/0, 1/0, 0/2, 0/0, 1/2, 0/0, 41/44
Bb major (2b),  ,  ,  ,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/2, 4/2, 4/4, 0/0, 2/3, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1,  ,  ,  ,  ,  ,  , 0/0, 2/3, 2/5, 4/2, 1/0, 1/0, 1/0, 0/0, 0/0, 24/22
D major (2#),  ,  ,  ,  , 2/0, 0/0, 2/0, 0/0, 2/0, 0/0, 2/0, 1/0, 2/2, 2/0, 3/6, 3/4, 1/2, 0/0, 0/0, 0/0, 2/1, 2/3, 3/1, 0/0, 2/1, 2/3, 3/1, 3/1, 0/0,  ,  ,  ,  ,  ,  , 1/0, 1/3, 1/1, 1/0, 1/0, 1/1, 1/3, 1/1, 0/0, 45/34
G minor (2b),  ,  ,  ,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/6, 4/4, 4/3, 0/0, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0,  ,  ,  ,  ,  ,  , 0/0, 2/2, 2/2, 4/3, 1/0, 1/3, 1/1, 0/5, 0/0, 25/31
B minor (2#),  ,  ,  ,  , 2/1, 0/0, 2/1, 0/0, 2/1, 0/0, 2/1, 1/1, 3/3, 2/5, 3/6, 2/0, 1/0, 0/0, 0/2, 0/0, 2/2, 2/2, 3/2, 0/0, 2/2, 2/2, 3/2, 3/3, 0/0,  ,  ,  ,  ,  ,  , 1/1, 1/0, 1/0, 1/0, 1/0, 1/1, 1/3, 1/1, 0/0, 45/42
Eb major (3b),  ,  ,  ,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 3/2, 5/5, 1/0, 3/3, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1,  ,  ,  ,  ,  ,  , 1/0, 2/1, 2/2, 3/1, 0/0, 1/3, 1/1, 1/0, 1/0, 30/19
A major (3#),  ,  ,  ,  , 3/0, 1/0, 3/0, 1/0, 3/0, 1/0, 3/0, 2/0, 3/2, 2/0, 2/4, 2/1, 0/0, 0/0, 1/2, 0/0, 2/3, 2/5, 4/2, 1/0, 2/1, 2/3, 4/1, 4/1, 0/0,  ,  ,  ,  ,  ,  , 2/1, 1/0, 1/0, 0/0, 0/0, 1/1, 1/0, 2/2, 0/0, 56/29
