 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 2/1, 2/1, 2/1, 2/1, 3/0, 3/0, 2/1, 3/2, 2/2, 1/0, 2/1, 1/0, 25/10
A minor (0), 2/0, 2/0, 2/0, 2/0, 3/1, 3/1, 2/0, 3/1, 1/0, 1/2, 2/0, 1/0, 24/5
F major (1b), 1/1, 1/1, 1/1, 1/1, 2/1, 2/1, 1/1, 2/2, 2/2, 1/0, 1/1, 0/0, 15/12
G major (1#), 3/0, 2/0, 3/0, 2/0, 2/0, 2/0, 3/0, 4/1, 1/0, 1/2, 2/2, 1/1, 26/6
D minor (1b), 1/0, 1/0, 1/0, 1/0, 2/0, 2/0, 1/0, 2/1, 1/0, 1/0, 1/0, 0/0, 14/1
E minor (1#), 3/3, 2/2, 3/3, 2/2, 2/3, 2/3, 3/3, 4/3, 1/0, 1/0, 2/0, 1/0, 26/22
Bb major (2b), 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 3/1, 0/0, 1/0, 0/0, 12/1
D major (2#), 2/0, 1/0, 2/0, 1/0, 3/0, 3/0, 2/0, 3/1, 0/0, 2/0, 1/0, 1/0, 21/1
G minor (2b), 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/1, 2/0, 0/0, 1/0, 0/0, 11/1
B minor (2#), 2/1, 1/0, 2/1, 1/0, 3/2, 3/2, 2/4, 3/4, 0/0, 2/0, 1/0, 1/0, 21/14
Eb major (3b), 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 3/3, 0/0, 1/0, 0/0, 12/3
A major (3#), 2/0, 1/0, 2/0, 1/0, 3/1, 3/1, 2/0, 3/1, 0/0, 2/0, 1/2, 1/1, 21/6
C minor (3b), 1/0, 1/0, 1/0, 1/0, 1/1, 1/1, 1/0, 1/0, 3/1, 0/0, 1/0, 0/0, 12/3
F# minor (3#), 2/0, 1/0, 2/0, 1/0, 3/0, 3/0, 2/0, 3/0, 0/2, 2/0, 1/0, 1/0, 21/2
Ab major (4b), 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 2/3, 0/0, 0/0, 0/0, 4/3
E major (4#), 2/1, 1/0, 2/1, 1/0, 2/1, 2/1, 2/1, 2/1, 1/0, 1/0, 1/0, 1/0, 18/6
F minor (4b), 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 4/1
C# minor (4#), 2/0, 1/0, 2/0, 1/0, 2/0, 2/0, 2/0, 2/0, 1/1, 1/0, 1/0, 1/0, 18/1
Db major (5b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/4, 0/0, 0/0, 0/0, 3/4
B major (5#), 1/0, 0/0, 1/0, 0/0, 1/1, 1/1, 1/0, 1/0, 1/1, 1/0, 0/0, 0/0, 8/3
Bb minor (5b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 2/1
G# minor (5#), 1/0, 0/0, 1/0, 0/0, 1/1, 1/1, 1/0, 1/0, 2/2, 1/0, 0/0, 0/0, 9/4
Gb major (6b), 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 3/2, 1/0, 0/0, 0/0, 6/2
F# major (6#), 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 2/2, 1/0, 0/0, 0/0, 5/2
Eb minor (6b), 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 2/3, 1/0, 0/0, 0/0, 5/3
D# minor (6#), 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 3/2, 1/0, 0/0, 0/0, 6/2
Cb major (7b), 1/0, 0/0, 1/0, 0/0, 2/2, 2/2, 1/0, 1/0, 2/2, 2/6, 0/0, 0/0, 12/12
C# major (7#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 2/1
Ab minor (7b), 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/1, 1/0, 0/0, 0/0, 8/1
A# minor (7#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 4/6, 0/0, 0/0, 0/0, 4/6
