 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 2, 2, 2, 2, 3, 3, 2, 3, 2, 1, 2, 1, 25
A minor (0), 2, 2, 2, 2, 3, 3, 2, 3, 1, 1, 2, 1, 24
F major (1b), 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 1, 0, 15
G major (1#), 3, 2, 3, 2, 2, 2, 3, 4, 1, 1, 2, 1, 26
D minor (1b), 0, 0, 0, 0, 3, 3, 0, 1, 0, 2, 0, 0, 9
E minor (1#), 3, 2, 3, 2, 1, 1, 3, 3, 2, 0, 2, 1, 23
Bb major (2b), 1, 1, 1, 1, 1, 1, 1, 1, 3, 0, 1, 0, 12
D major (2#), 2, 1, 2, 1, 3, 3, 2, 3, 0, 2, 1, 1, 21
G minor (2b), 2, 1, 2, 1, 0, 0, 2, 2, 2, 0, 1, 0, 13
B minor (2#), 1, 0, 1, 0, 2, 2, 1, 2, 0, 2, 0, 0, 11
Eb major (3b), 1, 1, 1, 1, 1, 1, 1, 1, 3, 0, 1, 0, 12
A major (3#), 2, 1, 2, 1, 3, 3, 2, 3, 0, 2, 1, 1, 21
C minor (3b), 2, 2, 2, 2, 2, 2, 2, 2, 3, 0, 2, 1, 22
F# minor (3#), 1, 1, 1, 1, 3, 3, 1, 2, 1, 2, 1, 1, 18
Ab major (4b), 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 4
E major (4#), 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 18
F minor (4b), 0, 0, 0, 0, 2, 2, 0, 1, 1, 1, 0, 0, 7
C# minor (4#), 2, 1, 2, 1, 1, 1, 2, 2, 1, 0, 1, 1, 15
Db major (5b), 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
B major (5#), 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 8
Bb minor (5b), 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
G# minor (5#), 1, 0, 1, 0, 2, 2, 1, 1, 2, 1, 0, 0, 11
Gb major (6b), 0, 0, 0, 0, 1, 1, 0, 0, 3, 1, 0, 0, 6
F# major (6#), 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 5
Eb minor (6b), 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 0, 13
D# minor (6#), 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 0, 14
Cb major (7b), 1, 0, 1, 0, 2, 2, 1, 1, 2, 2, 0, 0, 12
C# major (7#), 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
Ab minor (7b), 1, 0, 1, 0, 2, 2, 1, 1, 1, 1, 0, 0, 10
A# minor (7#), 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
