 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, rowcost
C major (0), 0/0, 0/0, 2/1, 1/0, 2/1, 0/0, 2/1, 0/0, 2/1, 1/1, 1/2, 2/1, 1/1, 1/1, 1/0, 0/0, 0/0, 0/0, 2/1, 1/0, 2/1, 0/0, 2/1, 0/0, 2/1, 1/1, 1/2, 2/1, 1/1, 1/1, 2/1, 0/0, 0/0, 0/0, 0/0, 33/21
A minor (0), 0/0, 0/0, 2/1, 1/1, 1/1, 0/1, 1/2, 0/0, 1/0, 1/1, 2/1, 2/1, 2/1, 2/1, 1/1, 0/0, 0/0, 0/0, 2/1, 1/1, 1/1, 0/1, 1/2, 0/0, 1/0, 1/1, 2/1, 2/1, 2/1, 2/1, 1/1, 0/0, 0/0, 0/0, 0/0, 32/24
F major (1b), 0/0, 0/0, 2/1, 0/0, 2/1, 0/0, 2/1, 0/0, 2/1, 2/1, 1/1, 1/1, 1/1, 1/1, 1/1, 0/0, 0/0, 0/0, 2/1, 0/0, 2/1, 0/0, 2/1, 0/0, 2/1, 2/1, 1/1, 1/1, 1/1, 1/1, 2/1, 0/0, 0/0, 0/0, 0/0, 31/20
G major (1#), 0/0, 0/0, 2/2, 1/1, 2/1, 1/1, 2/2, 0/0, 1/0, 1/1, 1/1, 1/1, 1/1, 2/1, 1/1, 0/0, 0/0, 0/0, 2/1, 1/0, 2/1, 1/0, 2/1, 0/0, 1/0, 1/1, 1/1, 1/1, 1/1, 2/1, 2/1, 0/0, 0/0, 1/0, 1/0, 35/22
D minor (1b), 0/0, 0/0, 2/2, 0/0, 1/0, 0/1, 1/1, 0/0, 1/0, 2/1, 2/1, 2/1, 1/2, 2/1, 1/1, 0/0, 0/0, 0/0, 2/2, 0/0, 1/0, 0/1, 1/1, 0/0, 1/0, 2/1, 2/1, 2/1, 1/2, 2/1, 1/1, 0/0, 0/0, 0/0, 0/0, 30/22
E minor (1#), 0/0, 0/0, 2/1, 1/0, 1/1, 1/1, 1/2, 0/0, 1/0, 1/1, 2/1, 1/1, 2/1, 2/1, 1/1, 0/0, 0/0, 0/0, 2/1, 1/0, 1/1, 1/1, 1/2, 0/0, 1/0, 1/1, 2/1, 1/1, 2/1, 2/1, 1/1, 0/0, 0/0, 1/0, 1/0, 34/22
Bb major (2b), 0/0, 0/0, 1/0, 0/0, 2/1, 0/0, 2/1, 0/0, 2/1, 1/1, 1/1, 1/1, 2/1, 1/1, 1/1, 0/0, 0/0, 0/0, 1/0, 0/0, 2/1, 0/0, 2/1, 0/0, 2/1, 1/1, 1/1, 1/1, 2/1, 1/1, 2/1, 0/0, 0/0, 0/0, 0/0, 29/18
D major (2#), 1/0, 1/0, 3/2, 1/1, 2/1, 2/1, 1/1, 0/0, 0/0, 2/1, 2/1, 1/1, 1/1, 1/1, 1/1, 1/0, 1/0, 1/0, 3/2, 1/1, 2/1, 2/1, 1/1, 0/0, 0/0, 2/1, 2/1, 1/1, 1/1, 1/1, 1/1, 1/0, 1/0, 1/0, 1/0, 43/24
G minor (2b), 0/0, 0/0, 1/1, 0/0, 2/1, 0/1, 2/1, 0/0, 1/0, 2/1, 1/2, 2/1, 2/1, 2/1, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 2/1, 0/1, 2/1, 0/0, 1/0, 2/1, 1/2, 2/1, 2/1, 2/1, 2/1, 0/0, 0/0, 0/0, 0/0, 33/21
B minor (2#), 1/1, 1/2, 3/1, 1/0, 2/1, 2/1, 1/2, 0/0, 0/0, 2/1, 2/1, 1/1, 2/1, 1/1, 1/1, 1/0, 1/0, 1/0, 3/1, 1/0, 2/1, 2/1, 1/2, 0/0, 0/0, 2/1, 2/1, 1/1, 2/1, 1/1, 1/1, 1/0, 1/0, 1/1, 1/1, 45/27
Eb major (3b), 0/0, 0/0, 1/0, 0/0, 1/1, 1/0, 1/1, 0/0, 2/1, 1/1, 2/1, 1/1, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/1, 1/0, 1/1, 0/0, 2/1, 1/1, 2/1, 1/1, 1/1, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 25/17
A major (3#), 1/0, 1/0, 3/1, 2/1, 1/1, 3/1, 2/1, 0/0, 0/0, 2/1, 1/1, 2/1, 2/1, 1/1, 2/1, 1/0, 1/0, 1/0, 3/1, 2/1, 1/1, 3/1, 2/1, 0/0, 0/0, 2/1, 1/1, 2/1, 2/1, 1/1, 2/1, 1/0, 1/0, 1/0, 1/0, 51/22
C minor (3b), 0/0, 0/0, 1/1, 0/0, 1/1, 1/0, 1/1, 0/0, 2/1, 2/1, 2/1, 2/1, 2/1, 1/1, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/1, 1/0, 1/1, 0/0, 2/1, 2/1, 2/1, 2/1, 2/1, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 31/19
F# minor (3#), 1/1, 1/2, 2/0, 2/0, 1/1, 3/2, 2/1, 0/0, 0/0, 3/1, 1/1, 2/1, 2/1, 1/1, 2/1, 1/1, 1/1, 1/2, 2/2, 2/0, 1/1, 3/2, 2/1, 0/0, 0/0, 3/1, 1/1, 2/1, 2/1, 1/1, 2/2, 1/0, 1/1, 1/0, 1/0, 51/31
Ab major (4b), 1/0, 1/0, 0/0, 1/0, 2/2, 2/2, 3/2, 1/0, 3/1, 1/1, 2/3, 1/1, 2/1, 2/1, 1/0, 0/0, 1/0, 1/0, 0/0, 1/0, 2/2, 2/2, 3/2, 1/0, 3/1, 1/1, 2/3, 1/1, 2/1, 2/1, 2/2, 0/0, 1/0, 0/0, 0/0, 48/30
E major (4#), 2/0, 2/0, 2/1, 3/0, 1/1, 3/1, 3/2, 1/0, 1/0, 2/1, 1/1, 2/1, 1/1, 2/1, 3/1, 1/0, 2/0, 2/0, 2/1, 3/0, 1/1, 3/1, 3/2, 1/0, 1/0, 2/1, 1/1, 2/1, 1/1, 2/1, 2/1, 1/0, 2/0, 1/0, 1/0, 63/22
