 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, rowcost
C major (0), 0/0, 0/0, 0/0, 0/0, 1/1, 2/1, 2/2, 3/2, 0/0, 2/1, 0/0, 2/1, 1/0, 2/1, 0/0, 1/1, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 2/1, 2/2, 0/0, 1/0, 1/0, 24/14
A minor (0), 0/0, 0/0, 0/0, 0/0, 1/0, 2/1, 3/2, 4/2, 0/0, 2/1, 0/0, 2/1, 2/1, 2/1, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/1, 3/2, 0/0, 1/1, 1/0, 28/14
F major (1b), 0/0, 1/0, 1/0, 1/0, 1/1, 3/1, 3/2, 2/2, 0/0, 2/1, 0/0, 1/0, 1/0, 1/0, 0/0, 2/1, 3/2, 1/0, 0/0, 1/0, 1/0, 1/0, 1/1, 3/1, 3/2, 0/0, 0/0, 0/0, 33/14
G major (1#), 0/0, 0/0, 0/0, 0/0, 1/1, 2/1, 3/2, 2/2, 0/0, 1/1, 0/0, 2/0, 3/1, 2/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 2/1, 3/2, 0/0, 1/1, 1/0, 25/13
D minor (1b), 0/0, 1/1, 1/1, 1/1, 1/1, 3/1, 4/2, 3/1, 0/0, 2/3, 0/0, 1/0, 2/1, 1/0, 0/0, 2/2, 2/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/1, 3/1, 4/2, 0/0, 0/2, 0/0, 36/20
E minor (1#), 0/0, 0/0, 0/0, 0/0, 1/0, 2/2, 4/2, 3/2, 0/0, 1/1, 0/0, 2/1, 3/1, 2/1, 1/0, 0/1, 0/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/2, 4/2, 0/0, 1/1, 1/1, 28/18
Bb major (2b), 0/0, 3/2, 2/1, 2/1, 2/1, 3/2, 3/3, 1/1, 0/0, 3/1, 0/0, 0/0, 1/0, 0/0, 0/0, 2/3, 4/3, 3/2, 0/0, 3/2, 2/1, 2/1, 2/1, 3/2, 2/2, 1/0, 0/0, 0/0, 44/29
D major (2#), 1/0, 1/0, 1/0, 1/0, 1/1, 1/2, 2/3, 3/3, 1/0, 2/1, 1/0, 3/0, 4/1, 3/0, 2/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/1, 1/2, 2/3, 1/0, 2/1, 2/0, 41/18
G minor (2b), 0/0, 2/0, 1/0, 1/0, 2/1, 3/1, 5/2, 2/1, 0/0, 3/1, 0/0, 0/0, 2/1, 0/0, 0/0, 2/2, 3/0, 1/0, 0/0, 2/0, 1/0, 1/0, 2/1, 3/1, 4/2, 1/0, 0/0, 0/0, 41/13
B minor (2#), 1/1, 1/0, 1/0, 1/0, 1/0, 1/2, 3/2, 4/2, 1/0, 3/1, 1/0, 3/1, 4/2, 3/1, 2/1, 0/0, 0/0, 1/3, 1/0, 1/0, 1/0, 1/0, 1/0, 1/2, 3/2, 1/0, 2/2, 2/1, 45/23
Eb major (3b), 0/0, 4/4, 3/4, 3/4, 1/1, 3/2, 4/4, 1/1, 0/0, 3/3, 0/0, 0/0, 1/0, 0/0, 0/0, 3/1, 4/4, 3/2, 0/0, 4/3, 3/1, 3/1, 1/2, 3/2, 3/3, 2/4, 0/0, 0/0, 52/46
A major (3#), 1/0, 2/1, 2/1, 2/1, 1/0, 1/2, 2/2, 5/4, 1/0, 3/2, 1/0, 4/1, 4/5, 4/1, 2/0, 0/0, 1/0, 1/3, 1/0, 2/0, 2/0, 2/0, 1/0, 1/2, 2/2, 1/0, 3/1, 3/1, 55/29
