 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, rowcost
F phrygian (1b), 0, 0, 1, 1, 1, 0, 2, 1, 4, 0, 3, 1, 2, 0, 3, 1, 0, 0, 1, 1, 1, 0, 2, 1, 4, 0, 3, 1, 2, 2, 1,  , 0, 1, 0, 0, 1, 3, 1, 1, 1, 47
G phrygian (1#), 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 3,  , 1, 2, 1, 2, 3, 3, 3, 3, 2, 80
F lydian (1b), 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 3,  , 1, 2, 1, 2, 3, 3, 3, 3, 2, 80
G lydian (1#), 2, 2, 5, 0, 2, 2, 5, 0, 3, 2, 1, 3, 3, 2, 1, 3, 2, 2, 5, 0, 2, 2, 5, 0, 3, 2, 1, 3, 3, 3, 4,  , 2, 3, 3, 4, 3, 3, 5, 2, 1, 99
F mixolydian (1b), 0, 0, 1, 1, 1, 0, 2, 1, 4, 0, 3, 1, 2, 0, 3, 1, 0, 0, 1, 1, 1, 0, 2, 1, 4, 0, 3, 1, 2, 2, 1,  , 0, 1, 0, 0, 1, 3, 1, 1, 1, 47
G mixolydian (1#), 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 3,  , 1, 2, 1, 2, 3, 3, 3, 3, 2, 80
F aeolian (1b), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
G aeolian (1#), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
F locrian (1b), 0, 0, 1, 1, 1, 0, 1, 1, 3, 0, 3, 0, 1, 0, 3, 0, 0, 0, 1, 1, 1, 0, 1, 1, 3, 0, 3, 0, 1, 2, 0,  , 0, 1, 0, 1, 1, 3, 0, 1, 1, 37
G locrian (1#), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
Bb major (2b), 0, 0, 1, 1, 1, 0, 2, 1, 4, 0, 3, 1, 2, 0, 3, 1, 0, 0, 1, 1, 1, 0, 2, 1, 4, 0, 3, 1, 2, 3, 1,  , 0, 2, 0, 0, 1, 3, 1, 1, 1, 49
D major (2#), 2, 2, 5, 0, 2, 2, 6, 0, 2, 2, 1, 4, 2, 2, 1, 4, 2, 2, 5, 0, 2, 2, 6, 0, 2, 2, 1, 4, 2, 3, 4,  , 2, 3, 3, 4, 3, 3, 5, 2, 1, 100
G minor (2b), 0, 0, 2, 1, 2, 1, 3, 0, 3, 0, 3, 1, 3, 0, 3, 1, 0, 0, 2, 1, 2, 1, 3, 0, 3, 0, 3, 1, 3, 2, 1,  , 0, 1, 1, 1, 0, 3, 2, 0, 0, 53
B minor (2#), 1, 1, 5, 0, 2, 2, 4, 0, 3, 1, 1, 3, 3, 1, 1, 3, 1, 1, 5, 0, 2, 2, 4, 0, 3, 1, 1, 3, 3, 1, 3,  , 1, 1, 2, 5, 3, 1, 4, 1, 1, 80
G minor mel (2b), 0, 0, 3, 1, 3, 2, 4, 0, 3, 1, 2, 1, 3, 1, 2, 1, 0, 0, 3, 1, 3, 2, 4, 0, 3, 1, 2, 1, 3, 1, 2,  , 0, 1, 1, 2, 1, 2, 3, 1, 1, 65
B minor mel (2#), 1, 1, 5, 0, 3, 3, 5, 0, 4, 2, 1, 2, 4, 2, 1, 2, 2, 1, 5, 0, 3, 3, 5, 0, 4, 2, 1, 2, 4, 2, 2,  , 1, 1, 2, 6, 3, 2, 3, 1, 1, 92
Bb major blues (2b), 1, 1, 3, 1, 2, 1, 3, 1, 4, 2, 3, 1, 2, 1, 3, 1, 1, 1, 3, 1, 2, 1, 3, 1, 4, 2, 3, 1, 2, 3, 3,  , 1, 2, 1, 3, 3, 3, 3, 2, 2, 81
D major blues (2#), 2, 2, 5, 1, 4, 3, 7, 1, 4, 3, 1, 4, 3, 3, 1, 4, 3, 2, 5, 1, 4, 3, 7, 1, 4, 3, 1, 4, 3, 4, 4,  , 2, 3, 3, 5, 4, 4, 5, 3, 2, 128
G minor blues (2b), 1, 1, 3, 1, 2, 1, 3, 1, 4, 2, 3, 1, 2, 1, 3, 1, 1, 1, 3, 1, 2, 1, 3, 1, 4, 2, 3, 1, 2, 2, 3,  , 1, 1, 1, 3, 3, 3, 3, 2, 2, 79
B minor blues (2#), 2, 2, 6, 1, 4, 3, 7, 1, 4, 3, 1, 4, 3, 3, 1, 4, 3, 2, 6, 1, 4, 3, 7, 1, 4, 3, 1, 4, 3, 3, 4,  , 2, 2, 3, 7, 5, 3, 5, 3, 2, 130
Bb dorian (2b), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 2, 2,  , 0, 2, 0, 1, 2, 2, 2, 2, 2, 61
D dorian (2#), 2, 2, 5, 0, 3, 3, 7, 0, 3, 3, 1, 3, 3, 3, 1, 3, 3, 2, 5, 0, 3, 3, 7, 0, 3, 3, 1, 3, 3, 4, 3,  , 2, 3, 3, 5, 3, 4, 4, 2, 1, 112
Bb phrygian (2b), 1, 1, 4, 1, 3, 2, 6, 1, 4, 3, 1, 2, 2, 3, 1, 2, 2, 1, 4, 1, 3, 2, 6, 1, 4, 3, 1, 2, 2, 3, 2,  , 1, 2, 1, 4, 4, 4, 2, 3, 2, 97
D phrygian (2#), 1, 1, 5, 1, 4, 3, 7, 0, 3, 3, 1, 2, 3, 3, 1, 2, 2, 1, 5, 1, 4, 3, 7, 0, 3, 3, 1, 2, 3, 3, 2,  , 1, 2, 2, 5, 3, 4, 3, 2, 1, 103
Bb lydian (2b), 1, 1, 4, 1, 3, 2, 5, 1, 4, 2, 3, 2, 3, 2, 3, 2, 1, 1, 4, 1, 3, 2, 5, 1, 4, 2, 3, 2, 3, 3, 3,  , 1, 2, 2, 3, 3, 4, 4, 3, 2, 101
