 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
C major (0), 0/0, 0/0, 0/0, 3/2, 1/0, 0/0, 0/0, 0/0, 1/1, 3/2, 3/2, 1/0, 3/1, 2/1, 2/1, 2/4, 1/0, 0/0, 0/0, 0/0, 3/2, 1/0, 0/0, 0/0, 0/0, 26/16
A minor (0), 0/0, 0/0, 0/0, 3/1, 1/3, 0/0, 0/0, 0/0, 1/1, 4/2, 3/1, 1/4, 3/5, 3/2, 2/3, 3/5, 1/0, 0/0, 0/0, 0/0, 3/1, 1/3, 0/0, 0/0, 0/0, 29/31
F major (1b), 0/0, 0/0, 0/0, 2/2, 0/0, 0/0, 1/0, 1/0, 2/1, 2/2, 2/2, 0/0, 3/1, 3/2, 3/1, 1/0, 0/0, 0/0, 0/0, 0/0, 2/2, 0/0, 0/0, 1/0, 1/0, 24/13
G major (1#), 1/0, 1/0, 1/0, 3/1, 2/1, 1/0, 1/0, 0/0, 1/1, 4/2, 3/1, 1/0, 3/4, 4/1, 3/1, 3/4, 1/0, 1/2, 1/1, 1/1, 3/1, 2/1, 1/0, 1/0, 0/0, 43/22
D minor (1b), 0/0, 0/2, 0/0, 2/1, 0/0, 0/0, 1/1, 1/0, 2/1, 3/2, 2/1, 0/0, 2/1, 4/4, 3/4, 2/1, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 1/1, 1/0, 26/20
E minor (1#), 1/0, 1/2, 1/0, 4/2, 3/2, 1/0, 1/0, 0/0, 1/0, 4/2, 3/1, 2/1, 4/5, 4/1, 3/1, 4/5, 2/1, 1/0, 1/2, 1/0, 4/2, 3/2, 1/0, 1/0, 0/0, 51/29
Bb major (2b), 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 1/1, 1/1, 1/2, 1/2, 1/1, 0/0, 2/1, 4/4, 3/1, 1/0, 0/0, 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 1/1, 1/1, 21/17
D major (2#), 2/2, 2/1, 2/1, 2/2, 3/3, 1/0, 2/0, 0/0, 1/1, 3/3, 2/3, 2/1, 4/4, 5/2, 4/1, 4/1, 2/0, 2/0, 2/0, 2/0, 2/1, 3/3, 1/0, 2/0, 0/0, 55/29
G minor (2b), 0/0, 0/0, 1/2, 1/1, 0/0, 0/0, 1/1, 1/0, 2/1, 2/1, 1/1, 0/0, 1/4, 4/1, 3/1, 1/4, 0/0, 0/0, 0/0, 1/2, 1/1, 0/0, 0/0, 1/1, 1/0, 22/21
B minor (2#), 2/2, 2/1, 2/1, 3/2, 4/3, 1/4, 2/3, 0/0, 1/0, 3/2, 2/1, 3/5, 5/5, 5/2, 4/2, 4/6, 3/1, 2/2, 2/1, 2/1, 3/2, 4/3, 1/4, 2/2, 0/0, 62/55
Eb major (3b), 1/0, 1/0, 3/2, 2/1, 1/0, 1/0, 2/1, 1/1, 1/0, 1/1, 1/1, 1/0, 2/1, 3/3, 2/2, 0/0, 1/0, 1/0, 1/0, 3/2, 2/1, 1/0, 1/0, 2/1, 1/1, 36/18
A major (3#), 2/0, 3/2, 2/0, 3/1, 3/2, 1/0, 2/0, 0/0, 1/1, 4/3, 3/3, 3/5, 6/5, 4/2, 3/1, 3/5, 2/1, 2/0, 3/2, 2/0, 3/1, 3/2, 1/0, 2/0, 0/0, 61/36
C minor (3b), 1/0, 1/0, 2/0, 2/1, 1/1, 1/0, 2/0, 1/0, 2/1, 1/2, 1/1, 1/0, 2/4, 2/1, 2/1, 0/0, 1/0, 1/0, 1/0, 2/0, 2/2, 1/1, 1/0, 2/0, 1/0, 34/15
F# minor (3#), 2/2, 3/3, 2/1, 4/2, 4/6, 1/4, 3/5, 0/0, 1/0, 4/2, 3/1, 4/5, 5/6, 4/4, 3/3, 3/6, 3/2, 2/4, 3/4, 2/3, 4/2, 4/6, 1/4, 3/4, 0/0, 68/79
Ab major (4b), 3/2, 2/2, 4/6, 4/3, 6/4, 2/4, 3/3, 1/1, 1/0, 2/1, 2/1, 2/2, 1/1, 2/2, 1/1, 0/0, 5/4, 3/2, 2/2, 4/6, 4/3, 6/4, 2/4, 3/3, 1/1, 66/62
E major (4#), 3/0, 3/1, 2/1, 5/2, 5/2, 1/0, 2/3, 0/0, 1/0, 5/2, 4/1, 4/1, 5/5, 4/1, 3/1, 3/5, 3/1, 3/0, 3/1, 2/1, 5/2, 5/2, 1/0, 2/2, 0/0, 74/34
F minor (4b), 2/0, 1/0, 2/0, 3/2, 2/0, 1/0, 2/1, 1/0, 2/1, 2/2, 2/1, 1/0, 1/1, 1/1, 1/1, 0/0, 1/0, 2/0, 1/0, 2/0, 3/2, 2/0, 1/0, 2/1, 1/0, 39/13
C# minor (4#), 3/2, 4/6, 2/3, 6/4, 5/5, 1/0, 3/2, 0/0, 1/0, 6/4, 5/3, 5/7, 5/8, 4/3, 3/1, 4/1, 3/2, 3/2, 4/6, 2/3, 6/4, 5/5, 1/0, 3/2, 0/0, 84/73
Db major (5b), 4/4, 3/4, 4/6, 6/5, 7/6, 2/4, 3/3, 1/0, 1/0, 4/2, 4/3, 3/2, 3/3, 2/2, 1/1, 1/0, 5/4, 4/4, 3/2, 4/6, 6/5, 7/6, 2/4, 3/3, 1/0, 84/79
B major (5#), 4/2, 4/1, 3/1, 4/2, 6/3, 2/0, 3/3, 0/0, 0/0, 4/2, 3/1, 3/5, 5/5, 4/2, 3/2, 2/1, 4/3, 4/2, 4/1, 3/1, 4/2, 6/3, 2/0, 3/2, 0/0, 80/44
Bb minor (5b), 2/0, 2/0, 2/2, 4/1, 2/0, 1/0, 2/1, 1/0, 1/0, 3/1, 3/1, 2/0, 2/1, 2/2, 1/1, 1/0, 1/0, 2/0, 2/0, 2/2, 4/1, 2/0, 1/0, 2/1, 1/0, 48/14
G# minor (5#), 5/4, 5/5, 3/1, 6/6, 7/7, 2/0, 4/4, 0/0, 0/0, 6/6, 5/5, 4/7, 6/5, 4/2, 3/1, 3/1, 4/2, 5/4, 5/5, 3/1, 6/6, 7/7, 2/0, 4/3, 0/0, 99/82
Gb major (6b), 5/4, 5/6, 5/6, 7/7, 8/6, 2/4, 4/3, 0/0, 0/0, 6/5, 5/5, 5/4, 5/4, 3/2, 2/1, 2/2, 6/4, 5/4, 5/6, 5/6, 7/7, 8/6, 2/4, 4/3, 0/0, 106/99
F# major (6#), 3/2, 3/3, 4/1, 4/2, 5/5, 1/0, 3/2, 0/0, 0/0, 4/2, 3/1, 3/5, 3/3, 3/2, 2/1, 1/1, 4/2, 3/2, 3/3, 4/1, 4/2, 5/5, 1/0, 3/2, 0/0, 69/47
Eb minor (6b), 3/1, 3/1, 4/2, 4/1, 3/2, 1/0, 3/1, 0/0, 0/0, 4/1, 3/1, 3/1, 3/1, 3/3, 2/2, 1/0, 2/0, 3/0, 3/0, 4/2, 4/1, 3/2, 1/0, 3/1, 0/0, 63/23
D# minor (6#), 5/6, 5/7, 5/5, 7/4, 5/2, 2/0, 4/1, 0/0, 0/0, 6/4, 5/3, 5/6, 5/5, 3/2, 2/1, 2/2, 3/0, 5/2, 5/4, 5/5, 7/4, 5/2, 2/0, 4/1, 0/0, 97/66
Cb major (7b), 7/8, 7/8, 5/10, 7/7, 10/12, 3/4, 5/7, 0/0, 0/0, 7/6, 5/5, 6/12, 8/6, 6/6, 4/3, 3/2, 7/6, 7/8, 7/8, 5/10, 7/7, 10/12, 3/4, 5/7, 0/0, 134/158
C# major (7#), 2/2, 3/5, 3/1, 5/4, 4/5, 1/0, 2/4, 1/0, 1/0, 4/4, 4/3, 3/3, 3/3, 2/2, 1/1, 2/2, 3/2, 2/2, 3/5, 3/1, 5/4, 4/5, 1/0, 2/3, 1/0, 65/61
Ab minor (7b), 5/2, 5/2, 4/6, 5/3, 8/4, 3/4, 5/3, 0/0, 0/0, 4/1, 3/1, 4/2, 4/1, 4/2, 3/1, 2/0, 6/4, 5/3, 5/4, 4/6, 5/4, 8/4, 3/4, 5/3, 0/0, 100/64
A# minor (7#), 4/2, 4/4, 4/9, 7/7, 4/12, 2/4, 3/6, 1/0, 1/0, 5/4, 5/3, 4/2, 4/4, 2/2, 1/1, 2/2, 2/0, 4/2, 4/4, 4/9, 7/7, 4/12, 2/4, 3/5, 1/0, 84/105
