 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, rowcost
C major (0), 0/0, 0/0, 1/1, 1/0, 1/0, 1/0, 2/0, 1/1, 1/0, 1/0, 3/1, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 3/1, 1/0, 1/1, 0/0, 0/0, 1/0, 3/1, 1/0, 2/0, 1/0, 0/0, 2/0, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 30/9
A minor (0), 0/0, 0/0, 2/1, 1/1, 1/0, 1/0, 3/1, 2/1, 1/0, 1/0, 3/2, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 4/2, 1/1, 1/1, 0/0, 0/0, 1/1, 2/1, 1/1, 2/4, 1/0, 0/0, 2/1, 4/5, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 36/24
F major (1b), 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 2/1, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 3/1, 1/0, 1/0, 0/0, 0/0, 1/0, 2/1, 1/0, 1/0, 0/0, 0/0, 2/2, 1/3, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 20/10
G major (1#), 0/0, 0/0, 2/1, 1/1, 1/0, 1/0, 3/1, 2/1, 1/0, 1/0, 3/1, 1/1, 1/0, 1/0, 1/0, 1/0, 1/0, 5/2, 1/0, 2/1, 1/0, 1/0, 1/0, 2/1, 1/0, 3/0, 2/0, 1/0, 3/0, 3/2, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 51/12
D minor (1b), 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 2/1, 3/2, 0/0, 0/0, 2/1, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 4/2, 1/0, 1/0, 0/0, 0/0, 1/0, 1/1, 1/0, 1/0, 0/0, 0/0, 2/2, 3/3, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 26/14
E minor (1#), 0/0, 0/0, 2/1, 1/1, 1/0, 1/0, 3/3, 2/1, 1/0, 1/0, 1/1, 2/1, 1/0, 1/0, 1/0, 1/0, 1/0, 5/4, 1/0, 2/3, 1/0, 1/0, 1/0, 2/2, 1/0, 3/3, 2/1, 1/0, 3/1, 5/5, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 52/27
Bb major (2b), 0/0, 0/0, 1/1, 1/0, 0/0, 0/0, 1/0, 3/1, 0/0, 0/0, 1/1, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 3/1, 0/0, 2/1, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 19/7
D major (2#), 1/0, 1/0, 3/1, 2/1, 1/0, 1/0, 4/1, 1/1, 1/0, 1/0, 4/3, 2/1, 1/0, 1/0, 1/0, 1/0, 1/0, 4/2, 1/1, 1/0, 2/0, 2/0, 2/1, 3/2, 1/1, 4/2, 2/0, 1/0, 4/1, 5/3, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 65/21
G minor (2b), 0/0, 0/0, 2/1, 1/1, 0/0, 0/0, 2/1, 4/2, 0/0, 0/0, 2/1, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 4/3, 0/0, 2/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 1/1, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 23/13
B minor (2#), 1/0, 1/0, 3/1, 2/1, 1/0, 1/0, 4/3, 1/1, 1/0, 1/0, 2/1, 2/1, 1/1, 1/1, 1/1, 1/1, 1/1, 2/4, 1/0, 3/3, 2/1, 2/3, 2/0, 3/1, 1/0, 4/3, 2/2, 3/3, 4/2, 5/6, 1/0, 1/0, 1/1, 1/1, 1/1, 1/1, 65/45
