 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C major (0), 0/0, 2/0, 1/0, 1/0, 0/0, 1/1, 0/0, 0/0, 1/2, 2/2, 2/1, 0/0, 1/0, 3/1, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 15/8
A minor (0), 0/0, 2/1, 1/1, 1/0, 0/0, 1/1, 0/0, 0/0, 1/0, 2/1, 1/1, 0/0, 1/0, 2/2, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 13/7
F major (1b), 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/2, 3/2, 2/1, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 10/7
G major (1#), 0/0, 2/2, 1/0, 1/0, 0/0, 1/1, 0/0, 1/0, 1/0, 3/1, 2/1, 1/0, 1/0, 3/1, 0/0, 0/0, 0/0, 1/0, 1/1, 1/0, 0/0, 0/0, 1/0, 1/0, 22/7
D minor (1b), 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/1, 2/1, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/1, 0/0, 0/0, 0/1, 0/0, 0/0, 9/6
E minor (1#), 0/0, 2/1, 2/1, 1/1, 0/0, 1/1, 0/0, 1/0, 1/0, 3/1, 1/1, 1/0, 1/2, 2/3, 0/0, 0/0, 0/0, 1/1, 1/1, 1/0, 0/0, 0/0, 1/0, 1/0, 21/13
Bb major (2b), 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/2, 3/2, 1/1, 1/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 11/6
D major (2#), 1/0, 3/2, 2/1, 1/0, 1/0, 2/1, 0/0, 1/0, 0/0, 2/1, 3/1, 1/0, 1/0, 3/1, 0/0, 0/0, 0/0, 1/1, 2/1, 1/0, 1/0, 1/0, 1/0, 1/0, 29/9
G minor (2b), 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/0, 2/1, 1/1, 1/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/0, 0/0, 0/0, 10/5
B minor (2#), 1/0, 3/1, 3/1, 1/0, 1/0, 2/1, 0/0, 1/1, 0/0, 1/1, 2/0, 3/2, 1/0, 2/1, 0/0, 0/0, 0/0, 1/1, 2/1, 1/1, 1/0, 1/0, 1/1, 1/1, 29/13
Eb major (3b), 0/0, 0/0, 1/0, 0/0, 0/0, 1/1, 1/0, 1/0, 1/0, 3/1, 1/1, 2/1, 0/0, 1/1, 1/0, 1/0, 0/0, 1/0, 2/1, 0/0, 0/0, 2/1, 0/0, 0/0, 19/7
A major (3#), 1/0, 2/1, 2/1, 1/0, 1/0, 3/1, 0/0, 1/0, 0/0, 3/2, 2/1, 1/2, 1/2, 2/2, 0/0, 0/0, 0/0, 2/1, 2/0, 2/0, 1/0, 2/1, 1/0, 1/0, 31/14
C minor (3b), 0/0, 0/0, 1/0, 0/0, 0/0, 1/1, 1/0, 1/0, 1/2, 2/2, 1/1, 1/0, 0/0, 1/1, 1/0, 1/0, 0/0, 1/0, 1/1, 0/0, 0/0, 2/0, 0/0, 0/0, 16/8
F# minor (3#), 1/0, 2/0, 3/1, 1/0, 1/0, 3/2, 0/0, 1/0, 0/0, 2/1, 2/0, 3/2, 1/0, 2/1, 0/0, 0/0, 0/0, 2/2, 2/1, 2/1, 1/0, 2/1, 1/0, 1/0, 33/12
Ab major (4b), 0/0, 0/0, 2/2, 0/0, 0/0, 1/1, 2/2, 2/2, 0/0, 2/1, 1/1, 2/1, 0/0, 2/1, 2/2, 2/2, 1/0, 4/2, 2/1, 0/0, 0/0, 3/3, 0/0, 0/0, 28/21
E major (4#), 1/0, 1/2, 3/3, 1/0, 1/3, 3/2, 0/0, 1/1, 0/0, 3/2, 1/1, 1/2, 1/0, 3/1, 0/0, 0/0, 1/0, 3/2, 2/1, 2/1, 1/0, 2/0, 1/0, 1/0, 33/21
F minor (4b), 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 2/1, 1/1, 1/0, 0/0, 2/1, 1/0, 1/0, 1/0, 2/0, 1/0, 0/0, 0/0, 2/0, 0/0, 0/0, 18/3
C# minor (4#), 1/0, 1/0, 3/1, 1/0, 1/0, 4/1, 0/0, 1/0, 0/0, 3/2, 1/0, 3/2, 1/0, 3/1, 0/0, 0/0, 1/0, 4/3, 2/1, 3/2, 1/0, 3/3, 1/0, 1/0, 39/16
Db major (5b), 0/0, 0/0, 2/2, 0/0, 0/0, 2/1, 2/2, 2/2, 0/0, 1/1, 1/1, 2/1, 0/0, 4/3, 2/2, 2/2, 2/6, 6/4, 2/1, 1/0, 0/0, 4/3, 0/0, 0/0, 35/31
B major (5#), 1/0, 1/2, 2/3, 0/0, 1/0, 2/1, 1/0, 2/0, 0/0, 2/1, 1/1, 3/2, 0/0, 2/1, 1/0, 1/0, 1/0, 4/1, 2/2, 2/1, 1/0, 3/0, 1/0, 1/0, 35/15
Bb minor (5b), 0/0, 0/0, 1/0, 0/0, 0/0, 2/0, 1/0, 1/0, 0/0, 1/1, 1/1, 1/0, 0/0, 2/1, 1/0, 1/0, 1/0, 3/0, 1/1, 1/0, 0/0, 3/1, 0/0, 0/0, 21/5
G# minor (5#), 1/0, 1/0, 2/1, 0/0, 1/0, 3/1, 1/0, 2/0, 0/0, 3/2, 1/0, 3/2, 0/0, 2/3, 1/0, 1/0, 2/6, 6/5, 2/1, 3/1, 1/0, 4/2, 1/0, 1/0, 42/24
Gb major (6b), 1/0, 1/0, 3/2, 0/0, 1/0, 4/3, 2/2, 2/2, 0/0, 2/2, 2/1, 2/1, 0/0, 4/3, 2/2, 2/2, 2/6, 7/6, 3/1, 2/2, 1/0, 6/5, 0/0, 0/0, 49/40
F# major (6#), 1/0, 1/0, 2/1, 0/0, 1/0, 3/2, 1/0, 1/0, 0/0, 1/1, 2/0, 2/2, 0/0, 3/1, 1/0, 1/0, 1/0, 4/2, 3/1, 1/1, 1/0, 4/1, 0/0, 0/0, 34/12
Eb minor (6b), 1/0, 1/0, 2/0, 0/0, 1/0, 3/1, 1/0, 1/0, 0/0, 1/1, 2/1, 2/1, 0/0, 2/1, 1/0, 1/0, 1/0, 3/1, 3/1, 1/0, 1/0, 4/1, 0/0, 0/0, 32/8
D# minor (6#), 1/0, 1/0, 3/0, 0/0, 1/0, 4/1, 2/2, 2/2, 0/0, 2/2, 2/1, 2/2, 0/0, 3/1, 2/0, 2/0, 2/0, 6/7, 3/1, 2/1, 1/0, 6/3, 0/0, 0/0, 47/23
