 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, rowcost
C major (0), 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 16
A minor (0), 2, 1, 2, 0, 1, 2, 1, 0, 0, 0, 1, 1, 1, 0, 1, 2, 0, 2, 1, 2, 0, 1, 2, 1, 0, 2, 1, 1, 1, 29
A minor mel (0), 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 14
C major blues (0), 2, 1, 2, 0, 2, 1, 2, 0, 0, 2, 1, 2, 0, 2, 1, 1, 0, 2, 1, 2, 0, 2, 1, 2, 0, 2, 1, 0, 0, 32
A minor blues (0), 2, 1, 2, 0, 2, 1, 2, 0, 0, 2, 1, 2, 0, 2, 1, 1, 0, 2, 1, 2, 0, 2, 1, 2, 0, 2, 1, 0, 0, 32
C dorian (0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
C phrygian (0), 2, 1, 2, 0, 1, 1, 1, 0, 0, 1, 1, 2, 0, 1, 1, 1, 0, 2, 1, 2, 0, 1, 1, 1, 0, 2, 1, 0, 0, 26
C lydian (0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
C mixolydian (0), 2, 1, 2, 0, 1, 1, 1, 0, 0, 1, 1, 2, 0, 1, 1, 1, 0, 2, 1, 2, 0, 1, 1, 1, 0, 2, 1, 0, 0, 26
C aeolian (0), 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 16
C locrian (0), 2, 1, 2, 0, 2, 1, 2, 0, 0, 2, 1, 2, 0, 2, 1, 1, 0, 2, 1, 2, 0, 2, 1, 2, 0, 2, 1, 0, 0, 32
F major (1b), 3, 1, 3, 0, 1, 1, 1, 0, 0, 1, 1, 2, 0, 1, 1, 2, 0, 3, 1, 3, 0, 1, 1, 1, 0, 3, 1, 0, 0, 32
G major (1#), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
D minor (1b), 2, 1, 2, 0, 1, 1, 1, 1, 0, 2, 1, 2, 0, 2, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 1, 2, 1, 0, 0, 31
E minor (1#), 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 8
D minor mel (1b), 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 21
E minor mel (1#), 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 0, 1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 13
F major blues (1b), 3, 2, 3, 1, 3, 2, 2, 0, 0, 2, 2, 3, 0, 2, 2, 3, 0, 3, 2, 3, 1, 3, 2, 2, 0, 3, 2, 0, 0, 51
G major blues (1#), 2, 1, 2, 0, 1, 1, 1, 1, 0, 2, 1, 2, 0, 2, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 1, 2, 1, 0, 0, 31
D minor blues (1b), 2, 2, 2, 1, 3, 2, 2, 0, 0, 2, 2, 3, 0, 2, 2, 2, 0, 2, 2, 2, 1, 3, 2, 2, 0, 2, 2, 0, 0, 45
E minor blues (1#), 2, 1, 2, 0, 1, 1, 1, 1, 0, 2, 1, 2, 0, 2, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 1, 2, 1, 0, 0, 31
F dorian (1b), 2, 0, 2, 0, 1, 1, 1, 0, 0, 0, 1, 2, 0, 0, 1, 2, 0, 2, 0, 2, 0, 1, 1, 1, 0, 2, 0, 0, 0, 22
G dorian (1#), 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6
F phrygian (1b), 3, 1, 3, 0, 2, 1, 2, 0, 0, 2, 1, 2, 0, 2, 1, 2, 0, 3, 1, 3, 0, 2, 1, 2, 0, 3, 1, 0, 0, 38
G phrygian (1#), 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 16
F lydian (1b), 2, 0, 2, 0, 1, 1, 1, 0, 0, 0, 1, 2, 0, 0, 1, 2, 0, 2, 0, 2, 0, 1, 1, 1, 0, 2, 0, 0, 0, 22
G lydian (1#), 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6
F mixolydian (1b), 3, 1, 3, 0, 2, 1, 2, 0, 0, 2, 1, 2, 0, 2, 1, 2, 0, 3, 1, 3, 0, 2, 1, 2, 0, 3, 1, 0, 0, 38
G mixolydian (1#), 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 16
