id,title,composer,KSgt,KSest,notes,err,time_1,time_2,time_3
0,Afro blue,,(-4),E- major (-3),215,0,0.027,0.002,0.005
0,Afternoon in Paris,,,C major (0),246,1,0.028,0.002,0.005
0,Airegin,,,A- major (-4),270,33,0.031,0.005,0.007
0,Alice in wonderland,,,C major (0),302,10,0.040,0.004,0.007
0,All blues,,,C major (0),69,3,0.009,0.001,0.002
0,All in love is fair,,,F major (-1),281,12,0.033,0.003,0.006
0,All my tomorrows,,,G major (1),319,10,0.037,0.002,0.007
0,All of me,,,C major (0),176,12,0.021,0.002,0.004
0,All of you,,,E- major (-3),228,9,0.028,0.002,0.005
0,All the things you are,,(-4),E- major (-3),226,33,0.028,0.003,0.005
0,Alone together,,,d minor (-1),253,4,0.031,0.002,0.006
0,Ana Maria,,,E- major (-3),356,51,0.045,0.004,0.008
0,Angel eyes,,,c minor (-3),397,28,0.048,0.004,0.010
0,Anthropology,,,B- major (-2),318,18,0.035,0.002,0.006
0,April in Paris,,,C major (0),272,24,0.033,0.005,0.007
0,April in Paris-mod,,,C major (0),271,18,0.034,0.002,0.006
0,Autumn leaves,,,g minor (-2),163,1,0.020,0.002,0.004
0,Avalon,,,B- major (-2),126,2,0.016,0.002,0.003
0,Beautiful love,,,d minor (-1),138,2,0.017,0.002,0.003
0,Bessie's blues,,(-3),A- major (-4),189,2,0.020,0.001,0.004
0,Bewitched,,,C major (0),256,11,0.030,0.002,0.006
0,Birth of the blues,,,C major (0),302,27,0.036,0.002,0.007
0,Black Orpheus,,,C major (0),334,18,0.041,0.003,0.007
0,Black and tan fantasy,,(-5),B- major (-2),205,7,0.024,0.003,0.005
0,Black narcissus,,(-6),E major (4),182,112,0.023,0.005,0.006
0,Black nile,,(-1),B- major (-2),351,29,0.044,0.003,0.008
0,Blessed relief,,,F major (-1),199,8,0.023,0.002,0.004
0,Blue Monk,,(-2),d minor (-1),114,6,0.012,0.001,0.002
0,Blue bossa,,,E- major (-3),102,3,0.012,0.001,0.002
0,Blue in green,,(0),F major (-1),108,10,0.014,0.001,0.002
0,Blue moon,,,E- major (-3),474,28,0.056,0.003,0.010
0,Blue room,,,F major (-1),253,0,0.030,0.002,0.006
0,Blue trane,,,E- major (-3),129,2,0.016,0.001,0.003
0,Bluesette,,(-2),E- major (-3),122,4,0.016,0.002,0.003
0,Bohemia after dark,,,g minor (-2),258,4,0.029,0.002,0.005
0,Boplicity,,,F major (-1),291,14,0.032,0.002,0.006
0,Bud's blues,,(-2),E- major (-3),74,5,0.009,0.001,0.002
0,But beautiful,,,G major (1),256,12,0.031,0.002,0.006
0,Bye bye blackbird,,(0),F major (-1),266,9,0.033,0.002,0.006
0,Caravan,,,f minor (-4),238,11,0.030,0.003,0.005
0,Ceora,,(-4),E- major (-3),284,32,0.031,0.005,0.008
0,Cherokee,,(-2),E- major (-3),313,52,0.041,0.008,0.009
0,Chicken feathers,,,g minor (-2),185,0,0.023,0.002,0.004
0,Come sunday,,,B- major (-2),212,15,0.026,0.002,0.005
0,Con Alma,,(0),F# major (6),130,70,0.016,0.002,0.003
0,Confirmation,,(-1),B- major (-2),379,25,0.040,0.002,0.008
0,Corcovado,,,C major (0),342,15,0.037,0.003,0.007
0,Cottontail,,,A- major (-4),197,9,0.023,0.002,0.004
0,Cry me a river,,(-3),B- major (-2),341,26,0.040,0.002,0.007
0,Crystal silence,,,C major (0),271,13,0.033,0.003,0.006
0,Daahood,,(-3),e- minor (-6),291,4,0.032,0.002,0.006
0,Dancing on the ceiling,,,F major (-1),200,9,0.024,0.002,0.004
0,Darn that dream,,(1),C major (0),329,11,0.040,0.002,0.007
