 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, rowcost
C major (0), 0, 2, 1, 2, 4, 3, 1,  , 2, 2, 1, 4, 2, 3, 3, 2, 4, 1, 2, 1, 1, 1, 42
A minor (0), 0, 2, 4, 1, 4, 2, 1,  , 1, 2, 1, 5, 3, 4, 3, 3, 2, 2, 2, 0, 0, 0, 42
F major (1b), 0, 1, 1, 1, 3, 3, 1,  , 2, 2, 1, 3, 2, 2, 2, 1, 4, 1, 3, 1, 1, 1, 36
G major (1#), 1, 2, 2, 2, 3, 3, 1,  , 1, 2, 1, 6, 4, 4, 3, 3, 3, 1, 2, 1, 1, 1, 47
D minor (1b), 0, 2, 2, 2, 3, 2, 0,  , 2, 1, 1, 4, 4, 4, 3, 1, 4, 2, 4, 1, 1, 1, 44
E minor (1#), 1, 5, 4, 5, 2, 2, 1,  , 1, 1, 0, 5, 3, 3, 2, 3, 3, 3, 3, 1, 1, 1, 50
Bb major (2b), 0, 0, 0, 1, 2, 2, 1,  , 3, 1, 0, 2, 1, 1, 3, 1, 3, 2, 2, 1, 1, 1, 28
D major (2#), 1, 3, 3, 3, 2, 2, 0,  , 1, 1, 1, 5, 5, 5, 4, 2, 4, 2, 3, 1, 1, 1, 50
G minor (2b), 1, 0, 1, 1, 2, 2, 1,  , 2, 1, 0, 5, 3, 2, 2, 2, 2, 2, 3, 1, 1, 1, 35
B minor (2#), 1, 4, 6, 4, 2, 2, 0,  , 1, 1, 1, 3, 5, 4, 4, 3, 3, 3, 3, 1, 1, 1, 53
Eb major (3b), 0, 1, 0, 2, 2, 1, 1,  , 2, 1, 0, 2, 1, 1, 4, 2, 3, 1, 3, 0, 0, 0, 27
A major (3#), 1, 3, 6, 2, 2, 1, 0,  , 0, 1, 1, 5, 5, 5, 4, 2, 3, 3, 3, 0, 0, 0, 47
C minor (3b), 0, 2, 0, 3, 3, 1, 1,  , 2, 1, 0, 3, 1, 2, 4, 3, 3, 2, 3, 0, 0, 0, 34
F# minor (3#), 0, 5, 5, 4, 1, 1, 0,  , 1, 1, 1, 2, 2, 3, 2, 2, 3, 4, 4, 0, 0, 0, 41
Ab major (4b), 0, 4, 1, 4, 1, 0, 0,  , 2, 0, 0, 1, 0, 0, 5, 3, 2, 2, 3, 0, 0, 0, 28
E major (4#), 1, 6, 5, 5, 1, 0, 0,  , 0, 0, 0, 4, 4, 4, 3, 2, 4, 4, 4, 0, 0, 0, 47
F minor (4b), 0, 3, 2, 3, 2, 1, 0,  , 1, 1, 1, 2, 1, 1, 2, 1, 3, 2, 3, 0, 0, 0, 29
C# minor (4#), 1, 5, 4, 4, 1, 0, 0,  , 0, 0, 0, 1, 1, 1, 3, 1, 2, 3, 3, 0, 0, 0, 30
Db major (5b), 0, 6, 5, 5, 0, 0, 0,  , 1, 0, 0, 0, 0, 0, 5, 3, 4, 6, 3, 0, 0, 0, 38
B major (5#), 1, 5, 5, 4, 1, 0, 0,  , 0, 0, 0, 2, 4, 3, 4, 3, 4, 4, 3, 0, 0, 0, 43
Bb minor (5b), 0, 1, 1, 2, 0, 1, 0,  , 2, 0, 0, 0, 0, 0, 2, 0, 2, 3, 1, 1, 1, 1, 18
G# minor (5#), 1, 5, 4, 5, 2, 0, 0,  , 1, 0, 0, 3, 2, 1, 3, 3, 3, 3, 3, 0, 0, 0, 39
Gb major (6b), 0, 7, 6, 6, 0, 0, 0,  , 1, 0, 0, 1, 1, 1, 4, 4, 5, 7, 4, 0, 0, 0, 47
F# major (6#), 0, 5, 4, 4, 0, 0, 0,  , 1, 0, 0, 1, 1, 1, 3, 3, 4, 5, 3, 0, 0, 0, 35
Eb minor (6b), 0, 2, 1, 3, 1, 1, 1,  , 1, 1, 0, 2, 2, 2, 3, 3, 4, 2, 4, 0, 0, 0, 33
D# minor (6#), 0, 3, 1, 4, 1, 1, 1,  , 1, 1, 0, 2, 2, 2, 4, 4, 5, 2, 5, 0, 0, 0, 39
Cb major (7b), 1, 8, 8, 7, 1, 0, 0,  , 0, 0, 0, 3, 6, 5, 6, 5, 6, 7, 5, 0, 0, 0, 68
C# major (7#), 0, 4, 3, 3, 0, 0, 0,  , 1, 0, 0, 0, 0, 0, 4, 2, 3, 4, 2, 0, 0, 0, 26
Ab minor (7b), 1, 5, 3, 5, 2, 0, 0,  , 1, 0, 0, 3, 2, 1, 4, 4, 2, 2, 4, 0, 0, 0, 39
A# minor (7#), 0, 2, 2, 3, 0, 1, 0,  , 3, 0, 0, 0, 0, 0, 2, 0, 4, 5, 1, 1, 1, 1, 26
