 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, rowcost
C major (0), 0/0, 1/0, 0/0, 1/0, 2/1, 1/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 2/1, 0/0, 12/7
A minor (0), 0/0, 1/0, 0/0, 1/0, 1/0, 1/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 3/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/1, 0/0, 11/4
F major (1b), 0/0, 0/0, 0/0, 0/0, 2/1, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 1/1, 0/0, 10/7
G major (1#), 0/0, 1/0, 0/0, 1/0, 2/1, 1/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 2/1, 1/1, 0/0, 22/6
D minor (1b), 0/0, 0/0, 0/0, 0/0, 1/0, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 2/1, 0/0, 10/5
E minor (1#), 0/0, 4/2, 0/0, 4/2, 1/0, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 4/3, 1/0, 1/0, 1/0, 1/0, 1/0, 1/2, 1/0, 0/0, 1/0, 1/0, 1/0, 1/2, 0/0, 1/0, 1/0, 1/1, 0/0, 29/14
Bb major (2b), 0/0, 0/0, 0/0, 0/0, 2/1, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 3/3, 2/1, 1/0, 16/8
D major (2#), 0/0, 1/0, 0/0, 1/0, 1/0, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/2, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 2/1, 1/1, 0/0, 23/6
G minor (2b), 0/0, 0/0, 0/0, 0/0, 2/1, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 3/1, 3/1, 1/0, 17/6
B minor (2#), 0/0, 4/2, 0/0, 4/2, 1/0, 3/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 4/3, 1/2, 1/1, 1/1, 1/4, 1/1, 1/3, 1/1, 0/0, 1/2, 1/1, 1/1, 2/2, 0/0, 4/2, 1/0, 2/1, 0/0, 35/31
