id,title,composer,KSgt,KSest,notes,err,time
101,101-Beethoven-bagatelle4op33,,(3),E major (4),70,0,0.030
102,102-Beethoven-quatuor16op135,,,b- minor (-5),96,0,0.029
103,103-SaintSaens-elephant,,,E- major (-3),57,0,0.016
104,104-Haendel-concertogrosso4op6,,,a minor (0),81,0,0.034
105,105-Schubert-gloria,,D major (2),A major (3),67,0,0.016
106,106-Bach-polonaise,,,G major (1),127,0,0.075
107,107-Wolf-chantEspagnol8,,D major (2),e minor (1),85,1,0.033
108,108-Beethoven-quatuor13op130,,,G major (1),61,0,0.016
109,109-Kuhlau-sonatineop60n1,,F major (-1),a minor (0),90,0,0.046
110,110-Haendel-concertogrosso3,,,e minor (1),86,0,0.023
111,111-Mozart-sonateKV570,,(-2),d minor (-1),98,1,0.126
112,112-Haydn-fantasia,,,C major (0),68,0,0.032
113,113-Gretchaninoff-retour,,,G major (1),89,0,0.030
114,114-Clementi-rondoSonateop25,,,G major (1),86,0,0.032
115,115-Clementi-sonatineop36n1,,(0),G major (1),91,0,0.046
117,117-Schumann-trio2,,,b- minor (-5),72,0,0.018
118,118-Greensleeves,,,g minor (-2),75,0,0.024
119,119-Mendelssohn-romances31op67,,,E- major (-3),74,0,0.050
120,120-Bach-gavotte,,,e minor (1),130,0,0.052
121,121-Beethoven-adagioSonate1op2,,,F major (-1),51,1,0.028
122,122-pop,,,C major (0),58,0,0.016
123,123-Mozart-Canzonetta,,,b minor (2),60,0,0.017
124,124-Schubert-quatuor13op29,,,C major (0),82,3,0.031
125,125-Wolf-melodie5,,A major (3),b minor (2),66,0,0.021
126,126-Milhaud-suiteProvencale,,C major (0),D major (2),61,0,0.018
127,127-Lemoine-etude38,,C major (0),e minor (1),93,0,0.029
128,128-Wolf-melodiesItalienne26,,E- major (-3),g minor (-2),94,6,0.052
129,129-Mozart-sonateKV331,,,A major (3),60,0,0.018
130,130-Haendel-concertogrosso10,,,d minor (-1),85,0,0.048
131,131-negrospiritual,,,G major (1),73,0,0.034
132,132-Bach-Brandegourgeois4,,,G major (1),108,0,0.029
133,133-Mozart-KV282,,,c minor (-3),107,2,0.043
134,134-Purcell-gigue,,,a minor (0),81,0,0.033
135,135-Schumann-concertola,,,d minor (-1),66,0,0.033
136,136-Schumann-Myrten25op25,,,c minor (-3),77,2,0.021
138,138-Wolf-melodie1,,,A major (3),90,3,0.030
140,140-Clementi-sonate3op25,,B- major (-2),d minor (-1),112,1,0.063
141,141-Puig-Roget,,,C major (0),67,0,0.025
142,142-Wolf-chantsitaliens35,,(-3),g minor (-2),77,3,0.027
143,143-Wolf-melodiesespagnoles1,,,d minor (-1),91,9,0.032
144,144-Wolf-melodiesespagnoles13,,,b minor (2),67,0,0.017
145,145-Clementi-sonate3op25,,,g minor (-2),87,1,0.049
146,146-Clementi-sonatine2op35,,,e minor (1),117,0,0.041
147,147-Beethoven-rondosonateop28,,,D major (2),56,0,0.020
148,148-Mozart-concertofluteKV314,,,b minor (2),61,1,0.032
149,149-Wolf-melodiesespagnoles2,,,a minor (0),91,1,0.027
151,151-Mozart-duettinoDonJuanI97,,,A major (3),70,0,0.018
152,152-Clementi-sonate5op36,,,C major (0),89,0,0.029
153,153-Wolf-chansonsItaliennes21,,F major (-1),a minor (0),90,0,0.046
154,154-Clementi-sonatine1op37,,,c minor (-3),83,1,0.067
155,155-CPEBach-ariavar2,,,A major (3),57,0,0.015
156,156-Haendel-hornpipeconcertogrosso7,,,B- major (-2),79,0,0.078
157,157-Wolf-melodiesitaliennes20,,,g minor (-2),96,1,0.025
158,158-Beethoven-quatuor1op18,,,F major (-1),94,0,0.098
159,159-Dussek-rondo,,,B- major (-2),141,0,0.049
160,160-Beethoven-trio2op70,,,C major (0),49,0,0.015
161,161-Rimsky-Korsakov-Scheherazade,,,G major (1),117,0,0.075
162,162-Chopin-nocturne1op32,,B major (5),C- major (-7),53,52,0.039
163,163-Beethoven-septuorop20,,,c minor (-3),61,1,0.036
164,164-Clementi-rondosonatine2op38,,,B- major (-2),53,0,0.019
165,165-Balbastre-pastorale,,,a minor (0),57,0,0.021
168,168-Beethoven-quatuor1op18,,F major (-1),a minor (0),94,19,0.027
169,169-Wolf-chantsitaliens29,,,a minor (0),93,19,0.053
171,171-Mozart-concertobasson,,,d minor (-1),79,0,0.116
172,172-Beethoven-trio2op70,,,C major (0),65,0,0.026
173,173-Kuhlau-sonative1op60,,,d minor (-1),132,0,0.079
174,174-negrospiritual,,C major (0),B- major (-2),69,0,0.033
177,177-Boulnois-berceuse,,C major (0),e minor (1),84,2,0.037
178,178-Poulenc,,D major (2),A major (3),85,0,0.024
179,179-Clementi-canone33,,,a minor (0),83,0,0.025
180,180-Haendel-concertogrosso9op6,,,F major (-1),58,0,0.019
201,201-Beethoven-variation1,,,e minor (1),97,1,0.037
202,202-Bach-sarabande,,,d minor (-1),86,1,0.026
203,203-Listz-preludes,,,a minor (0),113,4,0.060
205,205-Bach-credo,,,D major (2),105,0,0.052
206,206-Beethoven-sonateop26,,(-4),b- minor (-5),67,0,0.020
207,207-Bach-aria,,,e minor (1),134,0,0.076
209,209-Beethoven-rondoop13,,,c minor (-3),87,0,0.036
210,210-Schubert-benedictus,,,G major (1),78,0,0.039
211,211-Haydn,,,C major (0),132,0,0.118
213,213-Beethoven-sonate2op14,,,G major (1),85,0,0.029
214,214-Schumann-trio3,,,c minor (-3),128,1,0.279
215,215-Debussy-passepied,,A major (3),c# minor (4),51,0,0.015
216,216-Haendel,,,D major (2),147,0,0.043
217,217-Beethoven-octuorop103,,(-2),d minor (-1),84,0,0.045
218,218-Beethoven-sonateop28,,,d minor (-1),85,2,0.029
219,219-Schubert-scherzo,,,g minor (-2),80,0,0.026
220,220-Mozart-sonateKV281,,,c minor (-3),136,1,0.055
221,221-Monteverdi-orfeo,,(-1),B- major (-2),31,0,0.009
222,222-Bartok-burlesque,,C major (0),g minor (-2),66,2,0.036
223,223-Monteverdi-Orfeo,,C major (0),e minor (1),43,6,0.011
224,224-Schumann-trio3op110,,,g minor (-2),61,0,0.022
225,225-Beethoven-variationsop24,,,F major (-1),97,0,0.035
226,226-Milhaud-Boeuf,,,a minor (0),102,1,0.038
227,227-Mozart-quintetK407,,,g minor (-2),105,1,0.040
228,228-Schuman-myrthen7op25,,,b- minor (-5),62,13,0.024
229,229-Liszt-melodie,,G major (1),c minor (-3),81,1,0.042
230,230-Schumann-trio2,,(-1),a minor (0),74,2,0.021
231,231-Duparc-elegie,,,d minor (-1),47,6,0.015
232,232-Beethoven-sonateop22,,,c minor (-3),70,1,0.044
233,233-Debussy-cloches,,,E major (4),64,0,0.018
234,234-Beethoven-symphonie2op36,,,A major (3),74,0,0.019
235,235-Schumann-quatuor1op41,,,a minor (0),142,1,0.067
236,236-Schubert-scherzo,,,G major (1),82,0,0.041
237,237-Beethoven-symphonie6,,,B- major (-2),122,0,0.071
239,239-Beethoven-themavar,,,G major (1),71,0,0.023
240,240-Haydn-sonate5,,,C major (0),124,0,0.039
241,241-Haendel-sicilianaconcertogrosso8,,,c minor (-3),116,0,0.069
243,243-Strauss-melodie1op56,,(-1),f minor (-4),87,3,0.034
244,244-Bach-concerto1violon,,C major (0),G major (1),129,2,0.417
245,245-Debussy-Arabesque2,,,e minor (1),184,0,0.122
246,246-Mozart-marcheflute,,,F major (-1),97,0,0.035
247,247-Schubert-Benedictus,,,G major (1),41,0,0.015
248,248-Mozart-sonateKV280,,,A- major (-4),97,1,0.030
249,249-Mozart-andateKV9b,,B- major (-2),d minor (-1),128,4,0.066
250,250-Cliquet-Pleyel,,,a minor (0),99,0,0.031
251,251-Schumann-Myrthen10op25,,,c minor (-3),67,0,0.016
252,252-Kuhlau-sonatine2op60,,,A major (3),68,0,0.021
253,253-Schubert-gloria,,,D major (2),50,0,0.012
254,254-Haydn-quatuor5op76,,,b minor (2),111,1,0.084
255,255-Mozart-sonateDomKV457,,,c minor (-3),174,3,1.198
256,256-Mozart-sonataKV309,,,F major (-1),138,0,0.121
257,257-Mozart-quintetteDomKV309,,E- major (-3),g minor (-2),112,0,0.087
258,258-Schumann-quatuor2FaMop41,,,d minor (-1),105,2,0.032
260,260-Monteverdi-Orfeo,,(0),e minor (1),84,6,0.024
262,262-Schumann-Myrthen23op25,,,D major (2),82,1,0.028
263,263-Clergue-Tom,,,F major (-1),70,0,0.023
265,265-Mozart-Aria15,,,c# minor (4),119,0,0.046
266,266-Debussy-Berger,,,f# minor (3),72,2,0.039
267,267-Lalo-RoidYs,,,d minor (-1),52,0,0.018
268,268-Scarlatti-sonatepastorale,,,e minor (1),115,0,0.070
269,269-Beethoven-quatuor1op18,,,d minor (-1),132,0,0.042
271,271-Duparc-elegie,,,d minor (-1),64,0,0.019
272,272-Bach-cantate140duetto,,,c minor (-3),184,0,1.583
273,273-Haendel-concerto2,,,F major (-1),115,0,0.112
274,274-Wolf-melodieespagnole6,,(3),b minor (2),123,5,0.047
275,275-Bartok-danceRoumaine1,,(0),G major (1),120,0,0.035
276,276-Bach-AnnaMagdalena,,,E- major (-3),69,0,0.036
277,277-Debussy-quatuorSolmop10,,(-2),c minor (-3),77,0,0.024
278,278-SaintSaens-Cygne,,,G major (1),122,1,0.061
302,302-Chopin-nocturne3op9,,,b minor (2),60,6,0.019
303,303-Bach-partita2sinfonia,,,c minor (-3),59,0,0.053
304,304-Bach-polonaise,,,d minor (-1),136,0,0.071
306,306-Haendel-concertogrosso3-4mvt,,,e minor (1),102,2,0.044
307,307-Mozart-fantaisiekv475,,,g minor (-2),78,0,0.038
308,308-Beethoven-sonateop81,,E- major (-3),g minor (-2),109,0,0.077
309,309-Poulenc-improvisation6,,,g minor (-2),129,4,0.052
311,311-Mozart-ariaCosifantutte,,,A major (3),91,0,0.029
312,312-Kuhlau-sonatineop20,,,d minor (-1),105,1,0.108
