id,title,composer,KSgt,KSest,notes,err,time
101,101-Beethoven-bagatelle4op33,,(3),NaN,70,0,0.001
102,102-Beethoven-quatuor16op135,,D- major (-5),NaN,96,1,0.001
103,103-SaintSaens-elephant,,E- major (-3),NaN,57,0,0.001
104,104-Haendel-concertogrosso4op6,,(0),NaN,81,0,0.001
105,105-Schubert-gloria,,D major (2),NaN,67,0,0.001
106,106-Bach-polonaise,,G major (1),NaN,127,0,0.001
107,107-Wolf-chantEspagnol8,,D major (2),NaN,85,8,0.001
108,108-Beethoven-quatuor13op130,,(1),NaN,61,0,0.001
109,109-Kuhlau-sonatineop60n1,,F major (-1),NaN,90,1,0.001
110,110-Haendel-concertogrosso3,,(1),NaN,86,0,0.001
111,111-Mozart-sonateKV570,,(-2),NaN,98,1,0.001
112,112-Haydn-fantasia,,(0),NaN,68,0,0.001
113,113-Gretchaninoff-retour,,G major (1),NaN,89,0,0.001
114,114-Clementi-rondoSonateop25,,G major (1),NaN,86,0,0.001
115,115-Clementi-sonatineop36n1,,(0),NaN,91,0,0.001
117,117-Schumann-trio2,,D- major (-5),NaN,72,0,0.001
118,118-Greensleeves,,B- major (-2),NaN,75,0,0.001
119,119-Mendelssohn-romances31op67,,E- major (-3),NaN,74,0,0.001
120,120-Bach-gavotte,,G major (1),NaN,130,0,0.002
121,121-Beethoven-adagioSonate1op2,,F major (-1),NaN,51,1,0.001
122,122-pop,,C major (0),NaN,58,0,0.001
123,123-Mozart-Canzonetta,,D major (2),NaN,60,1,0.001
124,124-Schubert-quatuor13op29,,C major (0),NaN,82,0,0.001
125,125-Wolf-melodie5,,A major (3),NaN,66,13,0.001
126,126-Milhaud-suiteProvencale,,C major (0),NaN,61,0,0.001
127,127-Lemoine-etude38,,C major (0),NaN,93,0,0.001
128,128-Wolf-melodiesItalienne26,,E- major (-3),NaN,94,5,0.001
129,129-Mozart-sonateKV331,,A major (3),NaN,60,0,0.001
130,130-Haendel-concertogrosso10,,F major (-1),NaN,85,0,0.001
131,131-negrospiritual,,G major (1),NaN,73,0,0.001
132,132-Bach-Brandegourgeois4,,G major (1),NaN,108,0,0.001
133,133-Mozart-KV282,,E- major (-3),NaN,107,4,0.001
134,134-Purcell-gigue,,C major (0),NaN,81,0,0.001
135,135-Schumann-concertola,,F major (-1),NaN,66,1,0.001
136,136-Schumann-Myrten25op25,,E- major (-3),NaN,77,0,0.001
138,138-Wolf-melodie1,,(3),NaN,90,15,0.001
140,140-Clementi-sonate3op25,,B- major (-2),NaN,112,1,0.002
141,141-Puig-Roget,,C major (0),NaN,67,0,0.001
